Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano,Cor ou raça (Código),Cor ou raça,Sexo (Código),Sexo,Idade (Código),Idade,Unidade de Medida (Código),Unidade de Medida,Nível Territorial (Código),Nível Territorial,Valor
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6557,Menos de 1 ano,45,Pessoas,6,Município,54337
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6558,1 ano,45,Pessoas,6,Município,55996
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6559,2 anos,45,Pessoas,6,Município,63010
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6560,3 anos,45,Pessoas,6,Município,66801
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6561,4 anos,45,Pessoas,6,Município,70504
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6562,5 anos,45,Pessoas,6,Município,68961
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6563,6 anos,45,Pessoas,6,Município,73757
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,100362,Total,45,Pessoas,6,Município,6211223
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2776,Branca,6794,Total,6557,Menos de 1 ano,45,Pessoas,6,Município,26909
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2776,Branca,6794,Total,6558,1 ano,45,Pessoas,6,Município,26742
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2776,Branca,6794,Total,6559,2 anos,45,Pessoas,6,Município,29501
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2776,Branca,6794,Total,6560,3 anos,45,Pessoas,6,Município,30184
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2776,Branca,6794,Total,6561,4 anos,45,Pessoas,6,Município,31496
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2776,Branca,6794,Total,6562,5 anos,45,Pessoas,6,Município,29746
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2776,Branca,6794,Total,6563,6 anos,45,Pessoas,6,Município,31345
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2776,Branca,6794,Total,100362,Total,45,Pessoas,6,Município,2821619
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2777,Preta,6794,Total,6557,Menos de 1 ano,45,Pessoas,6,Município,5762
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2777,Preta,6794,Total,6558,1 ano,45,Pessoas,6,Município,6542
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2777,Preta,6794,Total,6559,2 anos,45,Pessoas,6,Município,7517
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2777,Preta,6794,Total,6560,3 anos,45,Pessoas,6,Município,8342
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2777,Preta,6794,Total,6561,4 anos,45,Pessoas,6,Município,9186
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2777,Preta,6794,Total,6562,5 anos,45,Pessoas,6,Município,9252
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2777,Preta,6794,Total,6563,6 anos,45,Pessoas,6,Município,9863
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2777,Preta,6794,Total,100362,Total,45,Pessoas,6,Município,968428
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2778,Amarela,6794,Total,6557,Menos de 1 ano,45,Pessoas,6,Município,66
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2778,Amarela,6794,Total,6558,1 ano,45,Pessoas,6,Município,67
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2778,Amarela,6794,Total,6559,2 anos,45,Pessoas,6,Município,81
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2778,Amarela,6794,Total,6560,3 anos,45,Pessoas,6,Município,81
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2778,Amarela,6794,Total,6561,4 anos,45,Pessoas,6,Município,68
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2778,Amarela,6794,Total,6562,5 anos,45,Pessoas,6,Município,87
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2778,Amarela,6794,Total,6563,6 anos,45,Pessoas,6,Município,97
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2778,Amarela,6794,Total,100362,Total,45,Pessoas,6,Município,10514
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2779,Parda,6794,Total,6557,Menos de 1 ano,45,Pessoas,6,Município,21576
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2779,Parda,6794,Total,6558,1 ano,45,Pessoas,6,Município,22615
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2779,Parda,6794,Total,6559,2 anos,45,Pessoas,6,Município,25892
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2779,Parda,6794,Total,6560,3 anos,45,Pessoas,6,Município,28147
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,2779,Parda,6794,Total,6561,4 anos,45,Pessoas,6,Município,29716
