bairro;codbairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
Saúde;1;1;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;54;71;74;88;103;138;274;255;216;213;151
Gamboa;2;2;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;669;752;728;759;983;967;1826;1719;1333;1037;640
Santo Cristo;3;3;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;534;567;585;692;853;767;1449;1459;1179;1051;800
Caju;4;4;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;1529;1747;1651;1696;1992;1908;4044;3796;2669;1818;1208
Centro;5;5;CENTRO;2;II Centro;Centro;1.1;Área de Planejamento 1;1;622;599;650;825;1326;1963;4123;3504;3313;3232;3342
Catumbi;6;6;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;662;736;786;802;987;1065;1753;1732;1482;1145;1051
Rio Comprido;7;7;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;1908;2388;2151;2192;2983;3060;6439;6071;5029;4143;3482
Cidade Nova;8;8;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;211;252;272;283;383;400;672;716;616;532;408
Estácio;9;9;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;1280;1645;1199;1222;1605;1841;4177;3549;2829;2247;1645
Imperial de São Cristóvão;10;10;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;1257;1410;1438;1494;1759;1817;4025;4117;3265;2792;2518
Mangueira;11;11;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;1228;1424;1412;1453;1686;1539;2783;2429;1983;1488;945
Benfica;12;12;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;1055;1333;1243;1353;1563;1566;3195;3128;2680;2117;1721
Paquetá;13;13;PAQUETA;21;XXI Paquetá;Centro;1.1;Área de Planejamento 1;1;145;159;159;170;192;185;394;420;489;616;555
Santa Teresa;14;14;SANTA TEREZA;23;XXIII Santa Teresa;Centro;1.1;Área de Planejamento 1;1;1594;1846;1751;1808;2496;3055;6214;5582;4689;3966;3154
Flamengo;15;15;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;1210;1314;1285;1384;1980;3009;7068;6101;5578;5898;8231
Glória;16;16;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;169;168;150;192;317;622;1330;1064;936;1015;1151
Laranjeiras;17;17;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;1389;1737;1600;1596;1934;2430;5827;6207;5349;5317;6293
Catete;18;18;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;830;948;906;968;1341;1771;3886;3351;2794;2462;3019
Cosme Velho;19;19;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;325;391;378;386;420;397;856;962;772;755;762
Botafogo;20;20;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;2761;3173;3043;2981;4238;5922;13211;11936;9767;9225;10703
Humaitá;21;21;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;454;536;529;506;522;754;1937;2108;1691;1823;2184
Urca;22;22;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;252;289;227;222;228;258;791;966;664;569;745
Leme;23;23;COPACABANA;5;V Copacabana;Zona Sul;2.1;Área de Planejamento 2;2;422;456;450;464;681;879;1958;1760;1631;1567;2194
Copacabana;24;24;COPACABANA;5;V Copacabana;Zona Sul;2.1;Área de Planejamento 2;2;3528;4019;3986;4456;6685;9168;19900;17784;16862;17823;24380
Ipanema;25;25;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;1314;1412;1389;1389;1684;2190;5439;5269;4956;5027;7300
Leblon;26;26;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;1199;1360;1443;1385;1617;1947;4950;5556;4930;5426;7877
Lagoa;27;27;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;772;816;852;753;795;800;2320;2863;2578;2815;3298
Jardim Botânico;28;28;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;587;695;704;703;832;891;2064;2401;2333;2161;2494
Gávea;29;29;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;459;664;682;656;769;782;1852;2179;1827;1920;2384
Vidigal;30;30;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;853;995;967;1094;1370;1400;2456;2186;1724;1191;876
São Conrado;31;31;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;337;434;424;440;529;574;1268;1456;1288;1335;1650
Praça da Bandeira;32;32;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;261;263;282;303;424;532;1165;978;1000;929;1077
Tijuca;33;33;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;4764;5782;5738;6180;7969;9595;19867;20153;19295;19187;23520
Alto da Boa Vista;34;34;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;418;497;477;605;730;692;1301;1461;1340;1235;1036
Maracanã;35;35;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;837;877;954;1009;1362;1604;3608;3463;3096;3195;3483
