bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Sexo masculino, 0 a 4 anos;Sexo masculino, 5 a 9 anos;Sexo masculino, 10 a 14 anos;Sexo masculino, 15 a 19 anos;Sexo masculino, 20 a 24 anos;Sexo masculino, 25 a 29 anos;Sexo masculino, 30 a 39 anos;Sexo masculino, 40 a 49 anos;Sexo masculino, 50 a 59 anos;Sexo masculino, 60 a 69 anos;Sexo masculino, 70 anos ou mais;Sexo feminino, 0 a 4 anos;Sexo feminino, 5 a 9 anos;Sexo feminino, 10 a 14 anos;Sexo feminino, 15 a 19 anos;Sexo feminino, 20 a 24 anos;Sexo feminino, 25 a 29 anos;Sexo feminino, 30 a 39 anos;Sexo feminino, 40 a 49 anos;Sexo feminino, 50 a 59 anos;Sexo feminino, 60 a 69 anos;Sexo feminino, 70 anos ou mais
Abolição;70;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;260;259;314;345;402;470;741;673;719;464;399;246;266;321;319;424;470;855;888;972;690;859
Acari;111;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;1259;1273;1391;1215;1277;1245;2146;1476;997;535;263;1226;1316;1438;1348;1369;1406;2201;1639;1218;634;475
Água Santa;67;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;218;211;268;324;470;613;900;706;516;293;194;193;247;248;245;299;353;668;600;529;324;337
Alto da Boa Vista;34;TIJUCA;8;VIII Tijuca;Tijuca;22;Área de Planejamento 2;2;232;279;368;325;356;331;644;621;586;354;332;240;319;329;305;345;375;707;691;667;428;509
Anchieta;107;ANCHIETA;22;XXII Anchieta;Pavuna;36;Área de Planejamento 3;3;1806;2085;2421;2356;2297;2242;3990;3563;2969;1596;1049;1728;1906;2394;2271;2313;2392;4533;4184;3655;2090;1812
Andaraí;37;VILA ISABEL;9;IX Vila Isabel;Tijuca;22;Área de Planejamento 2;2;878;924;1066;1255;1407;1586;2672;2389;2346;1457;1390;836;873;1145;1222;1445;1746;3101;2998;3376;2291;2962
Anil;116;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;41;Área de Planejamento 4;4;593;671;822;850;932;951;1695;1705;1522;963;638;564;594;775;849;909;1062;2049;1983;1794;1161;1090
Bancários;97;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;369;401;443;478;561;553;949;839;614;436;280;351;391;422;440;517;575;1072;943;881;531;466
Bangu;141;BANGU;17;XVII Bangu;Bangu;51;Área de Planejamento 5;5;7671;8534;10446;9899;10288;10027;17094;15987;12927;7209;4870;7408;8444;9981;9887;9973;10458;19141;18399;15923;9774;8785
Barra da Tijuca;128;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;3315;3333;3570;3579;4279;5115;10512;9559;9213;6620;4624;3279;3050;3272;3585;4680;6067;12840;10949;10744;7470;6269
Barra de Guaratiba;152;GUARATIBA;26;XXVI Guaratiba;Guaratiba;54;Área de Planejamento 5;5;97;97;137;154;137;148;244;285;226;148;94;88;96;132;139;165;148;257;271;240;158;116
Barros Filho;112;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;483;506;614;612;540;578;1032;954;703;414;268;461;526;622;602;571;599;1101;1062;888;493;420
Benfica;12;SAO CRISTOVAO;7;VII São Cristóvão;Centro;11;Área de Planejamento 1;1;826;894;981;872;1162;1288;2213;1671;1259;690;465;710;840;971;875;1074;1196;2116;1712;1425;903;938
Bento Ribeiro;89;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1085;1218;1487;1567;1599;1710;2962;2757;2616;1625;1373;1050;1120;1486;1497;1686;1721;3327;3559;3335;2374;2553
Bonsucesso;40;RAMOS;10;X Ramos;Ramos;31;Área de Planejamento 3;3;439;450;560;628;679;750;1266;1200;1110;748;727;423;470;551;609;722;808;1424;1451;1425;968;1303
Botafogo;20;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;1646;1560;1700;2183;2992;3911;6555;5267;4809;3167;3116;1529;1527;1715;2063;3175;4207;7431;6645;6614;4738;6340
Brás de Pina;45;PENHA;11;XI Penha;Penha;35;Área de Planejamento 3;3;1606;1785;2156;2390;2477;2395;4164;3993;3278;1945;1582;1593;1764;2158;2165;2384;2494;4648;4646;3922;2764;2913
Cachambi;65;MEIER;13;XIII Méier;Méier;32;Área de Planejamento 3;3;884;1016;1270;1253;1409;1640;3220;2848;2503;1590;1469;925;1007;1225;1244;1561;1832;3624;3364;3417;2333;2781
Cacuia;93;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;316;328;392;403;410;455;843;754;608;381;292;272;324;368;378;423;507;904;904;747;520;484
Caju;4;PORTUARIA;1;I Portuária;Centro;11;Área de Planejamento 1;1;798;826;922;784;1040;1004;1594;1188;805;456;355;816;805;922;872;1080;974;1669;1401;964;607;595
Camorim;129;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;42;Área de Planejamento 4;4;69;65;73;73;97;105;215;127;91;44;23;67;71;78;73;75;118;201;136;98;38;33
Campinho;78;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;258;318;343;348;352;360;745;650;550;315;302;292;300;386;362;381;445;939;743;667;526;574
Campo dos Afonsos;136;REALENGO;33;XXXIII Realengo;Bangu;51;Área de Planejamento 5;5;39;71;77;76;43;19;72;249;33;1;6;38;51;78;75;53;32;111;190;32;7;12
Campo Grande;144;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;52;Área de Planejamento 5;5;9906;11403;13686;12939;12776;13016;24267;22278;18156;10349;6606;9685;10849;13176;12972;13002;13969;27475;25410;22001;13277;11172
Cascadura;82;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;1012;1148;1258;1241;1289;1412;2371;2046;1877;1162;988;980;1031;1286;1274;1362;1478;2714;2529;2445;1669;1884
Catete;18;BOTAFOGO;4;IV Botafogo;Zona Sul;21;Área de Planejamento 2;2;489;472;541;612;871;1139;1858;1531;1308;865;953;484;465;576;632;857;1175;2108;1823;1837;1473;1988
Catumbi;6;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;399;486;521;488;498;481;910;733;621;383;317;410;441;515;476;508;554;997;875;789;526;628
Cavalcanti;80;MADUREIRA;15;XV Madureira;Madureira;33;Área de Planejamento 3;3;453;531;640;631;609;654;1100;1078;863;576;409;565;500;661;606;683;660;1300;1177;995;747;703
Centro;5;CENTRO;2;II Centro;Centro;11;Área de Planejamento 1;1;678;654;832;964;1532;2073;3504;3059;2711;1725;1557;651;711;836;1001;1492;2080;3278;3133;3304;2547;2820
Cidade de Deus;118;CIDADE DE DEUS;34;XXXIV Cidade de Deus;Jacarepaguá;41;Área de Planejamento 4;4;1402;1505;1752;1710;1543;1424;2546;2391;1537;779;600;1337;1499;1712;1573;1624;1631;2910;2743;1876;1267;1154
Cidade Nova;8;RIO COMPRIDO;3;III Rio Comprido;Centro;11;Área de Planejamento 1;1;176;161;201;194;218;261;460;347;319;166;156;150;166;193;195;209;235;456;360;359;240;244
Cidade Universitária;105;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;46;46;75;73;76;79;92;143;80;38;24;32;62;76;67;67;77;128;127;73;39;36
Cocotá;96;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;37;Área de Planejamento 3;3;89;105;143;156;182;217;336;314;318;200;196;99;90;144;117;178;220;376;388;410;274;325
Coelho Neto;110;PAVUNA;25;XXV Pavuna;Pavuna;36;Área de Planejamento 3;3;916;1079;1326;1207;1130;1182;2347;2103;1755;1114;872;871;1026;1214;1204;1189;1356;2727;2475;2243;1637;1450
