ano,tp_dependencia,dependencia,mat_0_a_3,mat_4_a_5,mat_inf,mat_inf_creche,mat_inf_pre
2007,1,federal,217,132,357,164,193
2007,2,estadual,302,562,851,236,615
2007,3,municipal,25995,80391,120373,29011,91362
2007,4,privada,34483,28568,65508,31170,34338
2008,1,federal,191,103,311,140,171
2008,2,estadual,300,627,976,339,637
2008,3,municipal,26961,76737,116842,30005,86837
2008,4,privada,47003,44982,91604,40538,51066
2009,1,federal,263,135,415,276,139
2009,2,estadual,268,387,689,289,400
2009,3,municipal,27621,75402,109441,30656,78785
2009,4,privada,44166,44882,88364,38394,49970
2010,1,federal,341,136,516,343,173
2010,2,estadual,392,452,717,288,429
2010,3,municipal,30225,74054,100520,33708,66812
2010,4,privada,49367,47883,96660,42111,54549
2011,1,federal,346,135,514,331,183
2011,2,estadual,277,421,608,274,334
2011,3,municipal,40176,74888,111304,38147,73157
2011,4,privada,54837,51352,105631,46291,59340
2012,1,federal,367,208,613,304,309
2012,2,estadual,68,243,284,81,203
2012,3,municipal,43401,75742,118230,46353,71877
2012,4,privada,56681,51813,108229,52362,55867
2013,1,federal,369,279,697,310,387
2013,2,estadual,100,266,298,84,214
2013,3,municipal,48044,76558,122673,51691,70982
2013,4,privada,60346,55768,116281,57455,58826
2014,1,federal,427,296,746,352,394
2014,2,estadual,107,246,285,58,227
2014,3,municipal,49298,76686,132545,53133,79412
2014,4,privada,61759,58461,121186,60804,60382
2015,1,federal,430,318,760,364,396
2015,2,estadual,73,197,234,43,191
2015,3,municipal,49526,76747,133395,53754,79641
2015,4,privada,59844,56041,117340,60389,56951
2016,1,federal,434,301,766,373,393
2016,2,estadual,75,152,177,32,145
2016,3,municipal,49552,80248,135949,53926,82023
2016,4,privada,60297,55963,118756,61746,57010
2017,1,federal,429,339,778,393,385
2017,2,estadual,66,130,154,53,101
2017,3,municipal,54504,83563,144768,59570,85198
2017,4,privada,59610,55000,117330,61416,55914
2018,1,federal,428,310,757,371,386
2018,2,estadual,69,148,174,32,142
2018,3,municipal,54522,84458,146556,59469,87087
2018,4,privada,58770,54813,116627,61059,55568
2019,1,federal,296,261,574,283,291
2019,2,estadual,98,132,200,64,136
2019,3,municipal,56318,87209,151702,61674,90028
2019,4,privada,59011,55543,117965,61766,56199
2020,1,federal,301,324,646,321,325
2020,2,estadual,74,143,197,72,125
2020,3,municipal,54506,88561,151434,59748,91686
2020,4,privada,52541,50683,106472,55557,50915
2021,1,federal,213,226,457,221,236
2021,2,estadual,20,125,130,23,107
2021,3,municipal,53847,86291,148767,59213,89554
2021,4,privada,47341,42197,93018,50151,42867
2022,1,federal,265,254,547,249,298
2022,2,estadual,30,141,165,36,129
2022,3,municipal,51196,84805,144202,56235,87967
2022,4,privada,63331,46500,113378,67259,46119
2023,1,federal,235,269,527,209,318
2023,2,estadual,30,85,121,35,86
2023,3,municipal,46642,84674,139698,51053,88645
2023,4,privada,67028,47156,117774,71465,46309
2024,1,federal,185,278,486,154,332
2024,2,estadual,23,98,132,29,103
2024,3,municipal,45706,81561,135345,49869,85476
2024,4,privada,69020,45704,118259,73827,44432
2025,1,federal,140,248,405,107,298
2025,2,estadual,0,102,107,0,107
2025,3,municipal,43761,77985,129216,47773,81443
2025,4,privada,66196,41852,111663,70772,40891
