Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano,Cor ou raça (Código),Cor ou raça,Sexo (Código),Sexo,Idade (Código),Idade,Unidade de Medida (Código),Unidade de Medida,Nível Territorial (Código),Nível Territorial,Valor
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6557,Menos de 1 ano,45,Pessoas,6,Município,54337
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6558,1 ano,45,Pessoas,6,Município,55996
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6559,2 anos,45,Pessoas,6,Município,63010
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6560,3 anos,45,Pessoas,6,Município,66801
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6561,4 anos,45,Pessoas,6,Município,70504
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6562,5 anos,45,Pessoas,6,Município,68961
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,6563,6 anos,45,Pessoas,6,Município,73757
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,6794,Total,100362,Total,45,Pessoas,6,Município,6211223
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,4,Homens,6557,Menos de 1 ano,45,Pessoas,6,Município,27633
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,4,Homens,6558,1 ano,45,Pessoas,6,Município,28155
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,4,Homens,6559,2 anos,45,Pessoas,6,Município,31707
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,4,Homens,6560,3 anos,45,Pessoas,6,Município,33798
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,4,Homens,6561,4 anos,45,Pessoas,6,Município,35648
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,4,Homens,6562,5 anos,45,Pessoas,6,Município,34820
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,4,Homens,6563,6 anos,45,Pessoas,6,Município,37794
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,4,Homens,100362,Total,45,Pessoas,6,Município,2882579
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,5,Mulheres,6557,Menos de 1 ano,45,Pessoas,6,Município,26704
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,5,Mulheres,6558,1 ano,45,Pessoas,6,Município,27841
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,5,Mulheres,6559,2 anos,45,Pessoas,6,Município,31303
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,5,Mulheres,6560,3 anos,45,Pessoas,6,Município,33003
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,5,Mulheres,6561,4 anos,45,Pessoas,6,Município,34856
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,5,Mulheres,6562,5 anos,45,Pessoas,6,Município,34141
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,5,Mulheres,6563,6 anos,45,Pessoas,6,Município,35963
3304557,Rio de Janeiro (RJ),93,População residente,2022,2022,95251,Total,5,Mulheres,100362,Total,45,Pessoas,6,Município,3328644
