Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano,Nível de ensino ou curso que frequentavam (Código),Nível de ensino ou curso que frequentavam,Grupo de idade (Código),Grupo de idade,Sexo (Código),Sexo,Cor ou raça (Código),Cor ou raça,Unidade de Medida (Código),Unidade de Medida,Nível Territorial (Código),Nível Territorial,Valor
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2483,0 ano,6794,Total,95251,Total,45,Pessoas,6,Município,4358
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2483,0 ano,6794,Total,2776,Branca,45,Pessoas,6,Município,1835
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2483,0 ano,6794,Total,2777,Preta,45,Pessoas,6,Município,641
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2483,0 ano,6794,Total,2778,Amarela,45,Pessoas,6,Município,-
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2483,0 ano,6794,Total,2779,Parda,45,Pessoas,6,Município,1883
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2483,0 ano,6794,Total,2780,Indígena,45,Pessoas,6,Município,-
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2484,1 ano,6794,Total,95251,Total,45,Pessoas,6,Município,17597
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2484,1 ano,6794,Total,2776,Branca,45,Pessoas,6,Município,8285
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2484,1 ano,6794,Total,2777,Preta,45,Pessoas,6,Município,2553
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2484,1 ano,6794,Total,2778,Amarela,45,Pessoas,6,Município,-
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2484,1 ano,6794,Total,2779,Parda,45,Pessoas,6,Município,6692
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2484,1 ano,6794,Total,2780,Indígena,45,Pessoas,6,Município,24
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2485,2 anos,6794,Total,95251,Total,45,Pessoas,6,Município,34907
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2485,2 anos,6794,Total,2776,Branca,45,Pessoas,6,Município,16579
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2485,2 anos,6794,Total,2777,Preta,45,Pessoas,6,Município,4313
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2485,2 anos,6794,Total,2778,Amarela,45,Pessoas,6,Município,63
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2485,2 anos,6794,Total,2779,Parda,45,Pessoas,6,Município,13916
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2485,2 anos,6794,Total,2780,Indígena,45,Pessoas,6,Município,36
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2486,3 anos,6794,Total,95251,Total,45,Pessoas,6,Município,49278
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2486,3 anos,6794,Total,2776,Branca,45,Pessoas,6,Município,22588
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2486,3 anos,6794,Total,2777,Preta,45,Pessoas,6,Município,6897
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2486,3 anos,6794,Total,2778,Amarela,45,Pessoas,6,Município,19
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2486,3 anos,6794,Total,2779,Parda,45,Pessoas,6,Município,19718
