Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano,Nível de ensino ou curso que frequentavam (Código),Nível de ensino ou curso que frequentavam,Grupo de idade (Código),Grupo de idade,Sexo (Código),Sexo,Cor ou raça (Código),Cor ou raça,Unidade de Medida (Código),Unidade de Medida,Nível Territorial (Código),Nível Territorial,Valor
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2483,0 ano,6794,Total,95251,Total,45,Pessoas,6,Município,4358
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2483,0 ano,4,Homens,95251,Total,45,Pessoas,6,Município,2334
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2483,0 ano,5,Mulheres,95251,Total,45,Pessoas,6,Município,2025
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2484,1 ano,6794,Total,95251,Total,45,Pessoas,6,Município,17597
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2484,1 ano,4,Homens,95251,Total,45,Pessoas,6,Município,9056
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2484,1 ano,5,Mulheres,95251,Total,45,Pessoas,6,Município,8541
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2485,2 anos,6794,Total,95251,Total,45,Pessoas,6,Município,34907
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2485,2 anos,4,Homens,95251,Total,45,Pessoas,6,Município,17291
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2485,2 anos,5,Mulheres,95251,Total,45,Pessoas,6,Município,17616
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2486,3 anos,6794,Total,95251,Total,45,Pessoas,6,Município,49278
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2486,3 anos,4,Homens,95251,Total,45,Pessoas,6,Município,25425
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2486,3 anos,5,Mulheres,95251,Total,45,Pessoas,6,Município,23852
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2487,4 anos,6794,Total,95251,Total,45,Pessoas,6,Município,61206
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2487,4 anos,4,Homens,95251,Total,45,Pessoas,6,Município,31299
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2487,4 anos,5,Mulheres,95251,Total,45,Pessoas,6,Município,29907
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2488,5 anos,6794,Total,95251,Total,45,Pessoas,6,Município,66163
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2488,5 anos,4,Homens,95251,Total,45,Pessoas,6,Município,34898
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,2488,5 anos,5,Mulheres,95251,Total,45,Pessoas,6,Município,31264
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,95253,Total,6794,Total,95251,Total,45,Pessoas,6,Município,233509
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,95253,Total,4,Homens,95251,Total,45,Pessoas,6,Município,120304
3304557,Rio de Janeiro (RJ),13282,Pessoas de até 5 anos de idade que frequentavam escola ou creche,2022,2022,95300,Total,95253,Total,5,Mulheres,95251,Total,45,Pessoas,6,Município,113205
