Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano,Grupo de idade (Código),Grupo de idade,Sexo (Código),Sexo,Cor ou raça (Código),Cor ou raça,Unidade de Medida (Código),Unidade de Medida,Nível Territorial (Código),Nível Territorial,Valor
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2483,0 ano,6794,Total,95251,Total,2,%,6,Município,8.04
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2483,0 ano,6794,Total,2776,Branca,2,%,6,Município,6.73
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2483,0 ano,6794,Total,2777,Preta,2,%,6,Município,11.35
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2483,0 ano,6794,Total,2778,Amarela,2,%,6,Município,-
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2483,0 ano,6794,Total,2779,Parda,2,%,6,Município,8.86
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2483,0 ano,6794,Total,2780,Indígena,2,%,6,Município,-
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2484,1 ano,6794,Total,95251,Total,2,%,6,Município,30.28
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2484,1 ano,6794,Total,2776,Branca,2,%,6,Município,29.45
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2484,1 ano,6794,Total,2777,Preta,2,%,6,Município,33.80
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2484,1 ano,6794,Total,2778,Amarela,2,%,6,Município,-
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2484,1 ano,6794,Total,2779,Parda,2,%,6,Município,29.94
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2484,1 ano,6794,Total,2780,Indígena,2,%,6,Município,100.00
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2485,2 anos,6794,Total,95251,Total,2,%,6,Município,55.19
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2485,2 anos,6794,Total,2776,Branca,2,%,6,Município,57.41
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2485,2 anos,6794,Total,2777,Preta,2,%,6,Município,59.30
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2485,2 anos,6794,Total,2778,Amarela,2,%,6,Município,48.77
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2485,2 anos,6794,Total,2779,Parda,2,%,6,Município,51.67
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2485,2 anos,6794,Total,2780,Indígena,2,%,6,Município,100.00
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2486,3 anos,6794,Total,95251,Total,2,%,6,Município,71.99
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2486,3 anos,6794,Total,2776,Branca,2,%,6,Município,74.29
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2486,3 anos,6794,Total,2777,Preta,2,%,6,Município,72.03
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2486,3 anos,6794,Total,2778,Amarela,2,%,6,Município,100.00
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2486,3 anos,6794,Total,2779,Parda,2,%,6,Município,69.54
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2486,3 anos,6794,Total,2780,Indígena,2,%,6,Município,33.35
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2487,4 anos,6794,Total,95251,Total,2,%,6,Município,82.92
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2487,4 anos,6794,Total,2776,Branca,2,%,6,Município,83.96
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2487,4 anos,6794,Total,2777,Preta,2,%,6,Município,80.82
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2487,4 anos,6794,Total,2778,Amarela,2,%,6,Município,100.00
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2487,4 anos,6794,Total,2779,Parda,2,%,6,Município,82.48
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2487,4 anos,6794,Total,2780,Indígena,2,%,6,Município,100.00
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2488,5 anos,6794,Total,95251,Total,2,%,6,Município,90.57
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2488,5 anos,6794,Total,2776,Branca,2,%,6,Município,90.73
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2488,5 anos,6794,Total,2777,Preta,2,%,6,Município,89.24
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2488,5 anos,6794,Total,2778,Amarela,2,%,6,Município,100.00
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2488,5 anos,6794,Total,2779,Parda,2,%,6,Município,90.83
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2488,5 anos,6794,Total,2780,Indígena,2,%,6,Município,77.78
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2489,6 anos,6794,Total,95251,Total,2,%,6,Município,97.01
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2489,6 anos,6794,Total,2776,Branca,2,%,6,Município,97.24
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2489,6 anos,6794,Total,2777,Preta,2,%,6,Município,96.80
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2489,6 anos,6794,Total,2778,Amarela,2,%,6,Município,100.00
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2489,6 anos,6794,Total,2779,Parda,2,%,6,Município,96.87
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2489,6 anos,6794,Total,2780,Indígena,2,%,6,Município,100.00
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,95253,Total,6794,Total,95251,Total,2,%,6,Município,25.32
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,95253,Total,6794,Total,2776,Branca,2,%,6,Município,24.36
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,95253,Total,6794,Total,2777,Preta,2,%,6,Município,24.48
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,95253,Total,6794,Total,2778,Amarela,2,%,6,Município,20.90
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,95253,Total,6794,Total,2779,Parda,2,%,6,Município,26.81
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,95253,Total,6794,Total,2780,Indígena,2,%,6,Município,20.14
