Município (Código),Município,Variável (Código),Variável,Ano (Código),Ano,Grupo de idade (Código),Grupo de idade,Sexo (Código),Sexo,Cor ou raça (Código),Cor ou raça,Unidade de Medida (Código),Unidade de Medida,Nível Territorial (Código),Nível Territorial,Valor
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2483,0 ano,6794,Total,95251,Total,2,%,6,Município,8.04
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2483,0 ano,4,Homens,95251,Total,2,%,6,Município,8.50
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2483,0 ano,5,Mulheres,95251,Total,2,%,6,Município,7.57
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2484,1 ano,6794,Total,95251,Total,2,%,6,Município,30.28
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2484,1 ano,4,Homens,95251,Total,2,%,6,Município,31.10
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2484,1 ano,5,Mulheres,95251,Total,2,%,6,Município,29.46
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2485,2 anos,6794,Total,95251,Total,2,%,6,Município,55.19
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2485,2 anos,4,Homens,95251,Total,2,%,6,Município,56.09
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2485,2 anos,5,Mulheres,95251,Total,2,%,6,Município,54.33
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2486,3 anos,6794,Total,95251,Total,2,%,6,Município,71.99
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2486,3 anos,4,Homens,95251,Total,2,%,6,Município,72.49
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2486,3 anos,5,Mulheres,95251,Total,2,%,6,Município,71.47
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2487,4 anos,6794,Total,95251,Total,2,%,6,Município,82.92
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2487,4 anos,4,Homens,95251,Total,2,%,6,Município,82.51
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2487,4 anos,5,Mulheres,95251,Total,2,%,6,Município,83.35
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2488,5 anos,6794,Total,95251,Total,2,%,6,Município,90.57
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2488,5 anos,4,Homens,95251,Total,2,%,6,Município,91.56
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2488,5 anos,5,Mulheres,95251,Total,2,%,6,Município,89.49
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2489,6 anos,6794,Total,95251,Total,2,%,6,Município,97.01
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2489,6 anos,4,Homens,95251,Total,2,%,6,Município,97.06
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,2489,6 anos,5,Mulheres,95251,Total,2,%,6,Município,96.96
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,95253,Total,6794,Total,95251,Total,2,%,6,Município,25.32
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,95253,Total,4,Homens,95251,Total,2,%,6,Município,26.76
3304557,Rio de Janeiro (RJ),3795,Taxa de frequência escolar bruta,2022,2022,95253,Total,5,Mulheres,95251,Total,2,%,6,Município,24.07
