cep,bairro,cidade,logradouro
20071000,Centro,Rio de Janeiro,Avenida Presidente Vargas
20040001,Centro,Rio de Janeiro,Avenida Rio Branco
20031005,Centro,Rio de Janeiro,Avenida Almirante Barroso
20770000,Méier,Rio de Janeiro,Rua Arquias Cordeiro
21044630,Maré,Rio de Janeiro,Rua Carlos Norberto de Andrade
21061020,Bonsucesso,Rio de Janeiro,Avenida Itaóca
20040911,Centro,Rio de Janeiro,Avenida Rio Branco
22641190,Itanhangá,Rio de Janeiro,Estrada de Itajuru
22775090,Barra Olímpica,Rio de Janeiro,Estrada Coronel Pedro Corrêa
21530015,Coelho Neto,Rio de Janeiro,Avenida Pastor Martin Luther King Jr
20270060,Praça da Bandeira,Rio de Janeiro,Rua Barão de Iguatemi
21381460,Piedade,Rio de Janeiro,Rua Cardoso Quintão
20550140,Maracanã,Rio de Janeiro,Rua Visconde de Itamarati
21340190,Bento Ribeiro,Rio de Janeiro,Estrada Henrique de Melo
21350280,Madureira,Rio de Janeiro,Travessa Almerinda Freitas
22410901,Ipanema,Rio de Janeiro,Rua Visconde de Pirajá
21061300,Complexo do Alemão,Rio de Janeiro,Rua Antônio Austregésilo
21071290,Olaria,Rio de Janeiro,Rua Sargento Ricardo Filho
21351050,Madureira,Rio de Janeiro,Estrada do Portela
20735160,Méier,Rio de Janeiro,Rua Venceslau
25040645,Vila Santo Antônio,Duque de Caxias,Rua Geraldo Lomar
20766200,Inhaúma,Rio de Janeiro,Rua Canitar
21240670,Vigário Geral,Rio de Janeiro,Rua Gregório de Matos
21340020,Madureira,Rio de Janeiro,Rua João Vicente
22610020,São Conrado,Rio de Janeiro,Rua General Olímpio Mourão Filho
20560032,Andaraí,Rio de Janeiro,Rua Barão de São Francisco
21931383,Jardim Guanabara,Rio de Janeiro,Estrada do Galeão
22715010,Taquara,Rio de Janeiro,Rua Correio do Rio
22750008,Freguesia (Jacarepaguá),Rio de Janeiro,Rua Tirol
21072480,Penha,Rio de Janeiro,Rua Castelo Branco
23092730,Campo Grande,Rio de Janeiro,Rua Benedito de Souza
21941794,Galeão,Rio de Janeiro,Rua Stela Maris
20911280,Benfica,Rio de Janeiro,Rua Senador Bernardo Monteiro
21042750,Bonsucesso,Rio de Janeiro,Rua Guilherme Frota
22790587,Recreio dos Bandeirantes,Rio de Janeiro,Avenida José Luiz Ferraz
22081010,Copacabana,Rio de Janeiro,Rua Souza Lima
21240150,Jardim América,Rio de Janeiro,Rua Antônio da Silva
21235604,Vista Alegre,Rio de Janeiro,Avenida Braz de Pina
21340130,Bento Ribeiro,Rio de Janeiro,Rua Mogiguaçu
22725240,Taquara,Rio de Janeiro,Estrada de São Gonçalo
22795295,Recreio dos Bandeirantes,Rio de Janeiro,Rua Jorge Yunes
22291000,Urca,Rio de Janeiro,Rua Osório de Almeida
22621000,Barra da Tijuca,Rio de Janeiro,Avenida Alda Garrido
20911230,Benfica,Rio de Janeiro,Rua Doutor Odilon Benevolo
21031720,Ramos,Rio de Janeiro,Rua Nabor do Rego
20961020,Riachuelo,Rio de Janeiro,Rua Magalhães Castro
23087141,Campo Grande,Rio de Janeiro,Rua Aricuri
20030021,Centro,Rio de Janeiro,Avenida Presidente Wilson
21810073,Bangu,Rio de Janeiro,Rua Julio César
21046175,Maré,Rio de Janeiro,Avenida Canal Margem Esquerda
20220590,Santo Cristo,Rio de Janeiro,Rua da América
22750310,Jacarepaguá,Rio de Janeiro,Rua Antônio Cordeiro
