Bairro Residencia,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
001 SAUDE,16,13,15,15,13,3,7,8,6,8,4,1,1,6,6,3,3,4,3,5,140
002 GAMBOA,16,8,8,17,18,14,12,18,16,25,16,15,17,13,23,26,20,14,15,15,326
003 SANTO CRISTO,20,22,23,22,25,22,21,25,17,25,20,19,24,20,13,21,20,12,10,17,398
004 CAJU,34,36,40,47,44,39,39,40,29,31,53,37,37,37,36,26,29,24,23,34,715
005 CENTRO,47,48,60,51,47,53,36,46,45,37,33,33,29,34,24,27,33,27,23,22,755
006 CATUMBI,25,17,23,29,24,30,21,20,31,30,29,23,16,16,21,21,14,17,14,20,441
007 RIO COMPRIDO,57,75,52,70,66,70,64,52,67,53,46,53,50,52,44,40,31,35,37,23,1037
008 CIDADE NOVA,3,8,6,6,7,8,14,9,3,10,6,5,3,5,5,10,4,5,6,5,128
009 ESTACIO,26,36,24,26,34,42,20,19,29,26,21,29,24,26,31,24,17,18,28,17,517
010 SAO CRISTOVAO,78,77,71,69,75,64,75,70,56,63,56,30,53,61,49,49,57,34,20,32,1139
011 MANGUEIRA,29,27,46,37,41,39,39,38,31,37,29,30,38,20,27,27,33,22,31,28,649
012 BENFICA,62,76,55,56,45,35,37,34,42,52,49,63,44,44,35,36,28,53,36,33,915
013 PAQUETA,5,5,4,6,4,6,4,5,1,3,3,2,1,6,0,7,5,0,1,3,71
014 SANTA TERESA,53,60,49,35,49,33,42,33,40,41,34,34,37,33,35,34,29,36,32,33,772
015 FLAMENGO,43,24,38,42,37,35,36,39,44,33,29,24,19,32,24,19,35,30,17,20,620
016 GLORIA,15,14,19,13,14,4,13,11,12,15,5,8,9,11,4,1,3,3,7,2,183
017 LARANJEIRAS,41,30,34,30,24,38,26,40,23,45,26,24,27,31,12,17,38,24,19,16,565
018 CATETE,26,22,13,13,16,22,22,19,22,11,10,23,24,10,11,9,22,18,10,6,329
019 COSME VELHO,12,13,5,12,20,9,6,8,9,10,8,13,11,8,10,10,8,2,6,11,191
020 BOTAFOGO,63,72,67,81,73,83,58,57,92,58,73,64,80,53,46,56,48,51,54,42,1271
021 HUMAITA,5,14,6,10,6,8,9,5,6,11,14,9,9,9,8,6,13,4,8,16,176
022 URCA,4,4,3,2,10,6,5,2,4,3,1,7,3,6,6,4,10,2,5,4,91
