Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;3
002 GAMBOA;0;1;0;1;2;1;0;0;3;1;2;0;3;0;1;15
003 SANTO CRISTO;1;0;0;2;0;1;1;1;0;2;6;2;2;1;2;21
004 CAJU;0;1;3;1;3;1;2;5;5;6;5;2;1;2;1;38
005 CENTRO;1;8;6;6;1;1;3;4;3;2;3;4;1;0;3;46
006 CATUMBI;0;3;0;0;0;0;1;3;1;2;3;2;2;1;0;18
007 RIO COMPRIDO;1;5;1;1;1;5;3;2;2;7;2;6;5;1;3;45
008 CIDADE NOVA;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;4
009 ESTACIO;1;0;2;0;1;1;0;7;2;3;0;4;3;0;0;24
010 SAO CRISTOVAO;2;2;3;1;3;1;0;5;1;6;3;2;2;0;0;31
011 MANGUEIRA;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;6
012 BENFICA;1;2;1;0;1;0;0;2;1;1;2;0;1;1;3;16
013 PAQUETA;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;4
014 SANTA TERESA;3;1;2;3;3;1;0;3;4;6;3;4;4;4;2;43
015 FLAMENGO;0;1;8;10;6;2;3;3;3;3;0;0;2;2;1;44
016 GLORIA;0;0;0;4;0;2;0;0;1;1;2;0;0;0;0;10
017 LARANJEIRAS;0;1;7;7;2;1;0;2;3;0;0;2;5;0;1;31
018 CATETE;0;0;3;1;4;1;1;1;2;2;0;0;3;1;0;19
019 COSME VELHO;0;0;0;1;0;0;1;1;0;0;2;0;0;1;0;6
020 BOTAFOGO;5;5;8;10;3;2;1;3;3;3;2;1;10;2;3;61
021 HUMAITA;1;0;1;1;0;1;0;0;1;0;0;0;2;0;0;7
022 URCA;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2
023 LEME;1;3;3;3;2;2;1;0;0;0;0;0;2;0;2;19
024 COPACABANA;3;4;7;10;8;5;2;0;1;6;3;3;18;3;3;76
025 IPANEMA;0;2;0;2;1;4;2;3;1;1;0;2;5;2;1;26
026 LEBLON;0;3;3;3;0;2;0;3;1;1;0;0;4;1;2;23
027 LAGOA;0;0;1;1;1;1;0;2;1;0;1;0;3;1;1;13
028 JARDIM BOTANICO;0;0;0;1;2;0;0;0;0;1;1;1;1;0;0;7
029 GAVEA;1;2;2;0;1;0;0;0;0;0;0;0;5;0;0;11
030 VIDIGAL;0;0;0;1;0;0;1;0;0;0;1;5;1;0;1;10
031 SAO CONRADO;0;0;0;1;1;1;0;0;0;1;0;1;2;0;0;7
032 PRACA DA BANDEIRA;0;0;0;0;2;0;1;1;0;0;1;0;1;2;0;8
033 TIJUCA;13;21;11;15;9;13;13;10;10;11;9;7;23;4;6;175
034 ALTO DA BOA VISTA;1;0;0;0;1;0;0;0;2;0;1;0;2;0;0;7
035 MARACANA;2;1;2;2;5;1;0;1;0;1;0;3;2;2;0;22
036 VILA ISABEL;5;1;8;4;7;4;3;5;5;8;1;6;3;4;4;68
037 ANDARAI;2;3;3;2;0;1;0;3;0;0;0;1;3;2;3;23
038 GRAJAU;3;0;1;5;2;0;2;0;0;1;0;0;3;0;1;18
039 MANGUINHOS;2;1;0;0;1;0;0;0;0;1;0;1;0;3;2;11
040 BONSUCESSO;2;1;1;2;3;7;0;0;6;4;2;6;1;0;1;36
