Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;8;18;24;25;23;7;16;16;15;12;8;16;12;8;8;216
002 GAMBOA;31;58;76;69;71;48;40;50;53;45;42;34;20;24;46;707
003 SANTO CRISTO;48;84;67;75;67;49;55;57;46;41;38;28;42;36;32;765
004 CAJU;87;149;161;176;125;151;137;137;109;101;108;104;93;97;78;1813
005 CENTRO;176;236;274;217;187;177;161;119;128;94;85;90;78;62;75;2159
006 CATUMBI;61;69;96;95;65;64;51;36;49;35;45;25;34;31;22;778
007 RIO COMPRIDO;205;211;252;269;227;222;197;196;186;153;125;127;112;114;129;2725
008 CIDADE NOVA;24;33;41;20;26;24;25;25;22;16;18;17;12;13;10;326
009 ESTACIO;89;105;96;128;85;78;78;76;62;43;48;56;44;34;47;1069
010 SAO CRISTOVAO;160;271;286;295;275;249;187;223;217;201;165;184;116;112;98;3039
011 MANGUEIRA;40;65;66;61;44;53;62;55;42;32;41;49;33;37;33;713
012 BENFICA;70;154;160;145;198;174;187;160;171;141;112;98;125;94;104;2093
013 PAQUETA;8;13;9;11;12;16;12;19;13;14;16;15;9;9;8;184
014 SANTA TERESA;130;242;231;217;219;200;163;161;139;144;133;116;114;102;104;2415
015 FLAMENGO;255;324;327;300;323;291;275;281;279;187;169;157;199;179;204;3750
016 GLORIA;76;84;73;108;93;69;57;40;80;39;36;17;31;28;29;860
017 LARANJEIRAS;240;290;308;326;357;302;326;300;234;167;174;153;191;170;156;3694
018 CATETE;108;149;112;143;134;121;151;108;106;73;64;72;79;89;63;1572
019 COSME VELHO;28;38;40;49;40;42;48;30;24;25;25;17;19;23;16;464
020 BOTAFOGO;538;631;613;631;677;608;577;521;495;363;342;332;381;370;377;7456
021 HUMAITA;109;115;109;97;138;125;108;103;107;68;52;49;52;63;51;1346
022 URCA;35;33;37;36;49;38;46;48;35;44;26;34;27;33;40;561
023 LEME;55;73;65;71;80;71;87;68;59;67;49;43;53;50;39;930
024 COPACABANA;655;797;745;774;763;702;687;646;642;449;423;434;510;405;475;9107
025 IPANEMA;226;250;251;295;268;207;230;243;216;175;201;147;199;205;197;3310
026 LEBLON;261;307;327;343;342;293;299;300;276;205;172;174;218;211;226;3954
027 LAGOA;155;166;172;162;170;106;174;135;115;116;96;85;96;108;103;1959
028 JARDIM BOTANICO;142;186;172;159;154;135;156;136;113;77;79;74;85;71;66;1805
029 GAVEA;124;147;164;182;200;182;99;160;131;85;86;60;96;73;88;1877
030 VIDIGAL;69;87;103;100;84;59;75;79;65;53;54;59;47;52;38;1024
031 SAO CONRADO;65;86;95;66;79;56;61;63;82;50;56;50;36;55;59;959
032 PRACA DA BANDEIRA;44;61;77;62;49;71;56;42;56;36;28;35;31;32;28;708
033 TIJUCA;774;1024;945;964;972;950;826;804;772;595;516;499;578;476;541;11236
034 ALTO DA BOA VISTA;37;48;58;64;46;64;39;38;34;35;37;28;35;22;17;602
035 MARACANA;131;152;138;151;169;141;163;176;140;123;95;90;94;88;82;1933
036 VILA ISABEL;285;374;363;373;404;358;308;334;280;255;235;196;202;197;209;4373
037 ANDARAI;119;173;200;160;216;145;185;185;144;135;118;121;115;112;113;2241
038 GRAJAU;192;238;241;259;256;201;205;195;188;136;120;118;127;127;98;2701
039 MANGUINHOS;63;103;92;100;137;121;134;143;109;115;101;105;68;88;78;1557
040 BONSUCESSO;109;175;119;132;165;313;203;193;274;239;163;219;143;77;127;2651
041 RAMOS;214;312;218;255;242;245;199;236;230;213;155;275;157;147;159;3257
042 OLARIA;191;282;287;262;237;208;242;204;183;185;149;163;158;136;132;3019
043 PENHA;248;402;318;313;274;300;277;279;245;272;205;199;206;174;152;3864
044 PENHA CIRCULAR;100;145;177;161;231;159;197;209;116;129;116;98;136;133;121;2228
045 BRAS DE PINA;144;205;234;216;224;186;230;209;142;149;152;119;115;110;111;2546
046 CORDOVIL;108;172;164;201;166;141;155;144;105;95;92;79;93;84;61;1860
047 PARADA DE LUCAS;53;78;94;118;108;102;102;118;90;83;75;86;82;72;87;1348
048 VIGARIO GERAL;72;73;95;118;99;103;132;88;69;62;75;76;89;82;87;1320
049 JARDIM AMERICA;100;152;148;183;152;134;147;128;118;100;76;76;91;58;84;1747
050 HIGIENOPOLIS;66;111;104;75;102;67;67;76;68;59;42;41;43;51;43;1015
