Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2
002 GAMBOA;0;0;0;2;3;0;0;0;0;1;0;1;1;0;0;8
003 SANTO CRISTO;0;0;0;2;3;1;1;1;2;2;2;1;1;0;0;16
004 CAJU;1;0;1;0;3;1;1;1;2;4;0;0;0;0;0;14
005 CENTRO;0;0;1;8;4;1;3;4;4;4;9;2;0;0;0;40
006 CATUMBI;0;0;0;2;2;0;2;1;4;2;2;0;0;0;1;16
007 RIO COMPRIDO;0;0;1;5;11;2;10;3;4;8;7;2;0;0;0;53
008 CIDADE NOVA;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;4
009 ESTACIO;0;0;0;3;4;2;2;1;1;3;0;1;1;0;0;18
010 SAO CRISTOVAO;0;0;2;6;5;1;2;2;4;6;2;3;0;0;0;33
011 MANGUEIRA;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;3
012 BENFICA;0;0;0;0;4;2;4;3;3;1;0;0;0;0;0;17
013 PAQUETA;0;0;0;1;2;0;0;1;0;1;0;0;0;0;0;5
014 SANTA TERESA;0;0;0;11;15;3;1;5;2;12;1;3;0;1;1;55
015 FLAMENGO;0;0;0;17;19;8;18;14;6;30;19;17;1;0;0;149
016 GLORIA;0;0;0;1;4;0;3;2;2;5;1;4;0;0;0;22
017 LARANJEIRAS;0;1;0;9;29;7;10;13;13;38;21;14;0;0;0;155
018 CATETE;0;0;0;6;14;2;4;0;6;8;5;4;1;0;0;50
019 COSME VELHO;0;0;0;4;3;2;6;0;0;6;1;2;0;0;1;25
020 BOTAFOGO;0;0;0;25;44;12;13;28;16;61;33;29;1;1;0;263
021 HUMAITA;0;0;0;5;6;1;2;4;6;10;5;7;1;0;0;47
022 URCA;0;0;0;0;4;0;0;3;0;3;6;2;0;0;0;18
023 LEME;0;0;0;2;9;2;3;1;0;11;4;3;0;0;0;35
024 COPACABANA;0;0;0;31;82;24;35;36;27;76;33;37;0;0;1;382
025 IPANEMA;0;0;1;6;20;2;5;12;7;27;21;12;1;0;0;114
026 LEBLON;1;0;0;10;20;7;8;13;4;40;26;31;1;0;0;161
027 LAGOA;0;0;0;5;7;2;3;1;5;11;5;16;2;0;0;57
