Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;3
002 GAMBOA;0;0;1;1;0;0;0;1;0;0;1;2;2;0;0;8
003 SANTO CRISTO;0;0;0;0;0;0;0;0;0;1;2;1;0;0;1;5
004 CAJU;0;0;0;0;0;0;0;1;0;1;0;2;3;0;0;7
005 CENTRO;0;3;0;2;0;3;1;0;2;2;3;2;5;1;3;27
006 CATUMBI;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2
007 RIO COMPRIDO;0;1;0;1;0;0;1;2;1;2;1;2;0;0;2;13
008 CIDADE NOVA;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
009 ESTACIO;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2
010 SAO CRISTOVAO;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;5
011 MANGUEIRA;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1;4
012 BENFICA;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;3
013 PAQUETA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
014 SANTA TERESA;0;0;0;0;1;0;2;0;0;1;1;2;1;2;1;11
015 FLAMENGO;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2
017 LARANJEIRAS;0;0;0;0;0;1;1;0;0;3;0;0;1;1;0;7
018 CATETE;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2
019 COSME VELHO;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2
020 BOTAFOGO;1;0;1;2;1;1;1;0;1;1;0;0;2;1;0;12
021 HUMAITA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
022 URCA;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
023 LEME;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3
024 COPACABANA;0;1;1;2;0;1;0;2;2;4;2;5;2;1;1;24
025 IPANEMA;1;0;1;0;2;0;0;0;0;0;1;0;0;0;1;6
026 LEBLON;0;0;0;0;2;0;0;0;1;0;0;0;0;1;1;5
029 GAVEA;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;5
030 VIDIGAL;0;0;0;1;0;1;0;0;0;0;0;2;0;0;1;5
031 SAO CONRADO;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
