Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2022;2023;2024;2025;Total
001 SAUDE;40;0;0;0;0;0;0;1;0;0;2;0;0;0;43
002 GAMBOA;72;1;0;1;0;0;1;1;0;0;5;0;1;1;83
003 SANTO CRISTO;101;1;2;0;0;0;1;0;0;1;1;0;4;0;111
004 CAJU;223;3;0;0;0;1;0;1;1;1;2;1;2;1;236
005 CENTRO;218;10;4;3;2;0;3;1;3;5;8;3;0;0;260
006 CATUMBI;129;3;2;0;0;2;0;1;0;1;4;0;1;0;143
007 RIO COMPRIDO;234;14;6;0;1;3;1;2;1;5;12;1;2;2;284
008 CIDADE NOVA;44;1;0;0;0;1;0;0;0;0;2;0;0;0;48
009 ESTACIO;131;2;1;0;0;0;0;0;2;1;2;0;1;0;140
010 SAO CRISTOVAO;336;5;3;3;0;2;5;2;2;9;8;0;0;1;376
011 MANGUEIRA;182;3;2;0;0;0;0;1;0;1;3;1;0;1;194
012 BENFICA;211;3;0;1;0;1;3;0;1;3;0;1;0;0;224
013 PAQUETA;30;0;0;0;0;1;0;0;1;1;1;0;0;0;34
014 SANTA TERESA;191;7;5;1;0;0;3;1;4;6;13;0;0;2;233
015 FLAMENGO;95;10;8;6;1;1;4;1;2;19;58;1;4;2;212
016 GLORIA;39;4;4;1;0;2;2;2;2;4;8;0;0;0;68
017 LARANJEIRAS;93;8;13;3;0;0;1;3;6;10;51;1;5;0;194
018 CATETE;64;1;7;1;0;1;1;2;4;4;15;0;1;0;101
019 COSME VELHO;32;2;0;0;0;0;0;0;2;4;3;0;0;0;43
020 BOTAFOGO;180;8;16;7;2;8;13;10;10;29;92;0;10;6;391
021 HUMAITA;30;2;2;1;0;1;3;0;0;6;9;0;1;0;55
022 URCA;20;0;0;0;0;0;2;0;1;5;7;0;2;4;41
023 LEME;27;0;9;0;0;1;3;0;2;5;9;0;0;2;58
024 COPACABANA;320;27;29;11;0;12;19;7;32;47;79;1;8;12;604
025 IPANEMA;67;6;6;6;1;1;11;4;3;17;57;3;8;5;195
026 LEBLON;89;6;8;6;0;2;5;2;6;16;52;1;5;8;206
