Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;16;33;27;39;33;22;31;20;27;16;17;16;13;12;21;343
002 GAMBOA;34;86;80;76;105;99;95;78;76;83;84;56;62;68;71;1153
003 SANTO CRISTO;72;107;89;135;104;109;106;121;109;80;76;79;51;49;66;1353
004 CAJU;113;225;226;247;277;265;274;248;229;201;186;178;181;152;173;3175
005 CENTRO;101;146;146;162;156;176;139;129;140;116;108;95;73;83;76;1846
006 CATUMBI;69;127;123;136;150;121;104;104;103;87;90;69;56;59;71;1469
007 RIO COMPRIDO;146;246;271;277;259;225;250;223;221;174;145;159;155;156;142;3049
008 CIDADE NOVA;22;36;36;28;39;33;33;32;39;27;31;14;19;20;22;431
009 ESTACIO;67;111;104;136;139;106;143;148;113;100;92;76;89;87;68;1579
010 SAO CRISTOVAO;166;356;338;360;302;288;223;274;253;213;191;179;134;110;130;3517
011 MANGUEIRA;89;174;208;197;183;173;184;183;149;115;128;101;114;123;92;2213
012 BENFICA;69;213;259;289;276;261;288;277;295;217;197;163;189;154;165;3312
013 PAQUETA;9;17;15;15;20;15;24;15;28;10;19;11;9;6;16;229
014 SANTA TERESA;121;194;198;190;217;203;166;186;177;143;133;149;132;121;138;2468
015 FLAMENGO;41;67;77;65;37;28;35;38;58;31;21;48;52;51;53;702
016 GLORIA;21;47;41;53;32;18;21;18;49;24;18;11;18;9;12;392
017 LARANJEIRAS;40;49;71;51;39;39;42;49;44;44;35;48;48;51;35;685
018 CATETE;46;56;57;61;51;32;80;88;50;70;61;61;65;58;62;898
019 COSME VELHO;25;45;28;36;34;29;27;30;24;21;24;21;19;16;26;405
020 BOTAFOGO;96;134;162;139;120;114;112;126;108;87;88;95;108;125;106;1720
021 HUMAITA;12;10;19;10;6;17;1;8;12;7;10;16;14;11;13;166
022 URCA;3;8;13;8;7;3;8;16;7;5;10;5;11;12;12;128
023 LEME;30;25;40;42;25;42;22;32;41;20;22;26;28;20;40;455
024 COPACABANA;169;286;279;312;228;218;285;277;277;218;223;235;250;224;185;3666
025 IPANEMA;31;43;60;46;31;28;26;43;38;27;17;27;44;38;33;532
026 LEBLON;23;58;48;35;35;24;32;16;20;20;23;28;27;22;31;442
027 LAGOA;9;16;11;14;12;11;11;11;18;7;3;8;13;11;14;169
028 JARDIM BOTANICO;15;24;28;20;18;12;19;26;15;11;13;11;14;22;13;261
029 GAVEA;44;63;65;61;58;68;23;53;38;30;35;59;45;30;40;712
030 VIDIGAL;65;119;127;135;108;109;102;114;84;79;60;63;89;64;75;1393
031 SAO CONRADO;14;23;29;24;11;17;15;27;18;11;4;18;14;8;20;253
032 PRACA DA BANDEIRA;13;16;45;32;28;41;28;21;27;24;27;16;23;12;23;376
033 TIJUCA;223;398;428;444;385;373;322;359;323;273;225;251;288;270;252;4814
034 ALTO DA BOA VISTA;35;49;44;65;67;60;56;42;42;35;35;22;37;25;36;650
035 MARACANA;26;27;43;32;34;29;29;30;35;23;29;26;35;31;35;464
036 VILA ISABEL;112;228;253;263;262;243;271;238;202;223;191;165;167;141;128;3087
037 ANDARAI;46;108;118;127;141;125;143;143;96;114;69;78;82;69;62;1521
038 GRAJAU;54;102;102;90;92;97;114;102;103;76;69;73;68;55;52;1249
039 MANGUINHOS;70;161;168;215;254;319;307;285;253;233;204;213;183;209;201;3275
040 BONSUCESSO;95;262;116;179;290;708;327;372;530;455;336;406;194;147;198;4615
041 RAMOS;251;368;182;284;370;448;312;330;407;519;400;467;268;181;214;5001
042 OLARIA;122;242;287;305;286;278;313;318;263;194;226;210;168;156;182;3550
043 PENHA;311;488;584;510;483;476;517;445;525;386;365;352;289;278;307;6316
044 PENHA CIRCULAR;95;188;219;219;246;223;307;268;206;221;193;186;192;155;172;3090
045 BRAS DE PINA;139;240;309;356;314;352;304;305;245;209;217;201;195;170;175;3731
046 CORDOVIL;200;278;360;288;332;361;318;281;228;230;243;201;181;158;167;3826
047 PARADA DE LUCAS;86;150;168;175;181;184;173;195;164;149;189;143;128;128;114;2327
048 VIGARIO GERAL;134;224;237;264;282;249;316;258;229;195;268;194;206;204;173;3433
049 JARDIM AMERICA;128;226;227;255;236;229;223;256;207;192;176;155;144;94;135;2883
050 HIGIENOPOLIS;37;63;72;70;59;85;63;58;56;43;51;57;50;50;49;863
