Bairro Residencia;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;2;4;7;5;3;9;5;4;9;8;6;6;14;10;6;98
002 GAMBOA;9;21;25;14;19;23;30;31;22;24;25;33;37;23;31;367
003 SANTO CRISTO;22;34;38;35;35;39;29;35;47;46;44;39;39;28;28;538
004 CAJU;15;32;21;24;22;41;40;45;45;33;35;43;50;45;52;543
005 CENTRO;20;37;33;27;54;35;51;38;45;48;33;43;40;32;37;573
006 CATUMBI;23;57;28;43;51;55;40;35;52;44;40;48;35;46;40;637
007 RIO COMPRIDO;48;91;71;71;90;86;87;82;80;67;91;90;70;79;71;1174
008 CIDADE NOVA;4;11;9;8;11;14;14;9;11;8;10;11;10;6;10;146
009 ESTACIO;23;29;33;34;64;58;52;55;53;56;53;38;38;53;37;676
010 SAO CRISTOVAO;42;71;60;59;59;50;57;75;79;69;64;62;60;42;60;909
011 MANGUEIRA;41;94;63;63;76;52;75;65;74;91;79;80;79;87;72;1091
012 BENFICA;18;53;56;49;53;46;47;49;71;63;58;60;92;59;73;847
013 PAQUETA;1;2;2;4;5;3;5;2;7;5;4;6;6;4;6;62
014 SANTA TERESA;27;46;37;49;68;59;75;82;73;76;85;65;62;65;68;937
015 FLAMENGO;11;13;13;18;20;10;14;14;17;9;20;24;12;20;14;229
016 GLORIA;10;5;5;7;9;15;3;2;7;5;4;4;8;6;6;96
017 LARANJEIRAS;11;8;12;10;13;8;21;21;15;11;14;17;11;13;14;199
018 CATETE;11;6;10;8;14;15;14;25;16;18;12;22;21;14;20;226
019 COSME VELHO;7;21;10;13;20;20;25;23;17;35;18;21;13;9;26;278
020 BOTAFOGO;18;18;27;25;31;30;37;25;30;40;32;24;32;33;42;444
021 HUMAITA;1;3;1;3;1;1;1;1;1;5;1;5;4;3;5;36
022 URCA;2;0;1;2;1;2;1;1;0;1;2;5;3;3;1;25
023 LEME;6;14;14;16;14;14;16;18;18;15;11;23;7;19;11;216
024 COPACABANA;58;73;71;72;77;76;67;67;78;72;101;81;85;68;95;1141
025 IPANEMA;8;19;21;24;12;17;18;8;10;7;5;7;8;4;10;178
026 LEBLON;8;13;16;9;9;11;9;11;7;5;7;6;8;7;7;133
027 LAGOA;0;1;0;0;1;1;1;1;5;2;0;2;3;3;1;21
028 JARDIM BOTANICO;3;2;5;3;4;3;6;3;5;2;2;4;10;8;5;65
029 GAVEA;9;8;12;17;8;8;10;7;8;10;10;11;17;10;9;154
030 VIDIGAL;11;22;19;20;31;28;24;34;15;18;27;14;54;31;26;374
031 SAO CONRADO;2;4;2;5;7;3;3;4;5;2;2;5;4;6;6;60
032 PRACA DA BANDEIRA;6;5;9;3;4;4;5;1;10;8;5;7;7;4;5;83
033 TIJUCA;132;170;165;199;163;176;157;166;174;144;145;133;149;145;133;2351
034 ALTO DA BOA VISTA;10;9;15;18;16;22;13;18;24;20;24;16;24;8;13;250
035 MARACANA;9;4;5;9;9;4;3;14;9;7;13;12;12;12;12;134
036 VILA ISABEL;71;111;118;108;93;57;72;64;66;72;62;72;87;70;97;1220
037 ANDARAI;34;42;53;49;50;38;36;34;35;32;28;41;36;38;30;576
038 GRAJAU;16;20;33;26;25;25;16;22;15;23;14;14;24;26;16;315
039 MANGUINHOS;27;57;55;40;54;51;42;54;51;86;77;68;95;79;106;942
040 BONSUCESSO;21;45;27;33;44;125;52;46;73;89;76;106;55;49;65;906
041 RAMOS;61;82;35;43;48;62;38;60;79;100;76;103;75;49;99;1010
