Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;1;2;1;0;2;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;10
002 GAMBOA;0;2;1;1;1;1;0;0;0;1;2;0;1;0;1;1;3;1;0;0;16
003 SANTO CRISTO;1;1;2;1;0;2;1;1;0;1;0;0;0;2;2;1;1;2;0;0;18
004 CAJU;5;2;2;4;1;1;2;2;1;2;3;4;1;1;1;3;2;2;2;4;45
005 CENTRO;5;6;3;2;2;1;3;5;5;1;5;3;2;2;0;1;2;2;2;2;54
006 CATUMBI;1;2;3;2;0;4;1;0;4;0;1;0;0;1;1;1;4;0;0;2;27
007 RIO COMPRIDO;7;2;2;2;4;2;4;2;4;1;2;4;6;2;0;2;2;1;0;2;51
008 CIDADE NOVA;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;5
009 ESTACIO;4;0;2;1;1;4;1;2;1;1;1;1;2;0;0;0;1;1;1;0;24
010 SAO CRISTOVAO;2;1;3;6;6;4;2;3;0;5;2;2;0;1;1;3;1;0;2;1;45
011 MANGUEIRA;0;2;1;2;2;2;2;0;1;0;2;1;1;0;1;2;2;1;1;0;23
012 BENFICA;5;5;3;3;2;4;1;5;1;1;1;3;2;1;0;3;1;1;2;1;45
013 PAQUETA;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;2;0;6
014 SANTA TERESA;1;1;2;5;2;0;3;3;2;7;2;3;1;3;3;0;1;0;2;1;42
015 FLAMENGO;1;0;3;1;4;3;2;4;2;1;0;1;0;1;3;0;0;0;1;1;28
016 GLORIA;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;6
017 LARANJEIRAS;2;2;1;2;0;2;3;1;1;3;1;2;0;1;2;1;0;3;4;0;31
018 CATETE;3;0;1;1;0;4;3;1;1;3;1;0;0;2;0;1;0;0;1;0;22
019 COSME VELHO;1;0;0;0;3;0;1;0;0;2;1;1;1;1;0;0;0;0;1;1;13
020 BOTAFOGO;1;2;5;1;3;3;0;3;3;4;3;1;6;1;6;4;0;2;2;2;52
021 HUMAITA;0;1;0;0;1;2;0;0;0;0;1;0;1;1;0;0;1;1;0;0;9
022 URCA;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;2;1;0;0;8
023 LEME;2;0;0;0;1;0;0;1;2;1;0;0;0;0;1;0;1;0;1;1;11
024 COPACABANA;8;3;7;9;7;6;5;5;7;7;5;6;6;7;3;4;6;5;5;5;116
025 IPANEMA;0;0;3;1;4;0;0;1;1;1;3;1;2;1;1;0;2;1;0;5;27
026 LEBLON;0;3;0;1;1;1;0;3;3;4;1;2;0;2;3;2;0;4;5;1;36
027 LAGOA;1;2;1;1;0;0;1;0;0;1;1;2;1;1;1;0;1;1;1;1;17
028 JARDIM BOTANICO;1;0;0;0;1;1;0;1;2;1;0;1;0;0;0;1;0;0;0;0;9
029 GAVEA;2;4;1;0;2;1;0;1;0;1;1;2;1;2;1;0;0;1;1;1;22
030 VIDIGAL;3;2;2;1;2;2;3;1;2;2;0;0;3;1;1;1;0;0;3;1;30
031 SAO CONRADO;2;1;1;0;0;1;2;0;0;0;0;0;0;5;0;1;0;0;1;0;14
032 PRACA DA BANDEIRA;0;1;0;0;2;1;0;1;1;1;1;2;0;0;0;0;0;0;1;0;11
033 TIJUCA;11;11;16;14;6;6;5;6;6;6;9;2;9;3;6;6;6;1;5;3;137
034 ALTO DA BOA VISTA;0;2;0;1;1;0;0;0;1;1;1;0;0;2;0;0;0;1;0;1;11
035 MARACANA;1;2;1;1;2;2;0;1;0;0;0;2;1;0;0;0;3;1;0;0;17
036 VILA ISABEL;2;5;7;6;8;2;5;3;4;1;4;1;6;5;4;3;2;1;2;2;73
037 ANDARAI;2;1;2;2;0;2;1;2;0;2;2;2;2;1;7;2;1;0;0;2;33
038 GRAJAU;3;4;0;1;0;3;1;2;3;2;3;3;1;2;0;1;0;1;3;0;33
039 MANGUINHOS;1;1;4;3;3;2;4;1;3;3;4;0;5;1;3;1;2;1;2;2;46
040 BONSUCESSO;8;8;5;5;5;0;5;1;2;2;2;3;0;3;4;1;2;3;2;1;62
041 RAMOS;6;8;4;3;2;6;9;1;3;1;2;0;2;4;1;2;2;3;0;2;61
042 OLARIA;4;3;1;2;3;1;3;7;4;2;4;1;3;8;2;2;4;3;2;5;64
043 PENHA;2;7;6;6;3;5;7;4;3;0;2;4;3;6;2;2;3;4;7;3;79
044 PENHA CIRCULAR;1;1;2;1;4;3;2;1;5;3;2;5;1;5;2;1;4;2;5;5;55
045 BRAS DE PINA;2;3;1;4;0;0;4;8;3;8;4;3;2;0;2;2;0;2;0;5;53
046 CORDOVIL;2;2;4;4;5;2;2;2;3;2;1;3;3;0;2;0;2;2;3;2;46
047 PARADA DE LUCAS;2;1;6;0;1;1;2;1;0;2;0;0;2;2;2;0;2;2;1;0;27
048 VIGARIO GERAL;0;1;1;3;2;0;2;2;0;2;2;3;2;3;0;1;2;2;0;0;28
049 JARDIM AMERICA;5;2;7;2;4;2;1;1;5;1;2;1;2;2;3;0;1;0;2;1;44
050 HIGIENOPOLIS;0;0;0;1;0;0;4;0;2;0;1;0;1;1;0;1;0;1;2;0;14
051 JACARE;2;4;1;0;1;1;1;1;1;3;0;0;0;1;1;3;1;0;0;0;21
052 MARIA DA GRACA;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;2;1;7
053 DEL CASTILHO;1;0;2;2;1;2;0;0;1;3;2;2;2;0;1;0;2;0;0;2;23
054 INHAUMA;4;7;3;4;1;2;6;2;3;3;2;2;0;1;2;2;1;1;2;2;50
055 ENGENHO DA RAINHA;0;1;2;0;0;1;1;2;0;0;2;2;0;0;2;1;1;0;1;0;16
056 TOMAS COELHO;2;0;0;4;3;2;0;3;1;0;1;0;1;1;0;1;0;2;2;2;25
057 SAO FRANCISCO XAVIER;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3
058 ROCHA;0;0;1;2;0;2;0;1;0;0;0;0;0;0;0;0;1;1;0;0;8
059 RIACHUELO;0;0;0;2;0;0;0;0;1;4;0;1;1;0;0;0;1;1;0;1;12
060 SAMPAIO;1;0;0;0;1;0;2;2;1;1;0;0;1;0;1;0;0;0;1;0;11
061 ENGENHO NOVO;3;2;2;3;5;2;1;0;0;1;4;2;3;2;3;1;0;3;1;1;39
062 LINS DE VASCONCELOS;3;2;0;0;3;1;1;4;2;4;1;0;1;0;2;3;0;2;0;2;31
063 MEIER;4;5;5;9;6;1;3;2;3;1;1;2;2;0;2;1;1;2;0;3;53
064 TODOS OS SANTOS;1;1;1;1;0;3;2;0;1;1;0;1;1;0;0;0;0;0;1;1;15
065 CACHAMBI;5;6;4;1;3;4;4;2;1;1;3;0;0;3;2;1;3;4;1;3;51
066 ENGENHO DE DENTRO;2;2;1;2;3;1;2;2;4;3;4;7;5;0;3;1;3;1;0;2;48
067 AGUA SANTA;0;0;0;0;0;0;1;0;0;0;0;2;2;0;1;1;0;0;1;0;8
068 ENCANTADO;1;2;0;0;0;1;0;3;0;1;3;0;1;1;1;0;1;0;1;0;16
069 PIEDADE;4;3;4;4;1;3;5;3;1;3;3;2;5;4;0;2;2;2;2;0;53
070 ABOLICAO;3;2;1;0;1;0;0;0;0;0;1;2;0;0;1;0;0;0;0;1;12
071 PILARES;0;2;0;0;0;1;4;0;3;1;0;1;0;0;0;4;0;2;2;1;21
072 VILA KOSMOS;0;1;1;0;0;0;0;0;0;2;1;2;2;3;0;0;3;0;0;1;16
073 VICENTE DE CARVALHO;2;0;3;3;3;1;1;2;3;1;0;0;0;4;2;0;0;0;0;1;26
074 VILA DA PENHA;4;3;2;1;3;3;3;2;1;0;0;0;0;1;1;2;1;1;0;0;28
075 VISTA ALEGRE;2;4;2;0;0;0;1;3;1;0;1;0;0;0;1;0;1;1;0;0;17
076 IRAJA;8;8;3;4;13;8;4;8;9;4;6;3;4;7;0;4;5;1;5;5;109
077 COLEGIO;4;1;2;2;1;1;1;2;1;1;2;1;2;1;2;1;0;3;3;4;35
078 CAMPINHO;2;1;0;0;0;0;0;0;2;0;1;0;1;1;0;0;2;1;0;0;11
079 QUINTINO BOCAIUVA;3;0;2;1;1;2;1;1;2;1;2;1;4;1;2;1;1;1;2;0;29
080 CAVALCANTE;0;1;0;1;1;1;1;1;0;0;1;1;2;3;1;1;1;1;1;1;19
081 ENGENHEIRO LEAL;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;5
082 CASCADURA;0;5;2;3;4;1;2;3;1;2;4;3;5;0;1;1;1;2;0;2;42
083 MADUREIRA;8;3;2;5;0;7;3;5;1;5;3;3;2;3;0;1;2;2;3;1;59
084 VAZ LOBO;3;0;1;0;0;0;0;2;1;0;0;2;1;1;2;2;1;0;0;2;18
085 TURIACU;0;1;1;1;2;0;2;0;0;1;0;1;0;1;0;0;0;1;0;1;12
086 ROCHA MIRANDA;0;2;1;8;2;3;1;5;5;0;3;0;3;2;2;0;2;1;1;1;42
