Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
002 GAMBOA;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;4
003 SANTO CRISTO;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
004 CAJU;2;2;1;0;0;0;0;3;0;1;0;1;0;1;1;0;1;0;0;1;14
005 CENTRO;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;5
006 CATUMBI;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;4
007 RIO COMPRIDO;0;2;0;0;0;0;1;2;0;1;0;0;0;0;1;0;0;0;0;0;7
008 CIDADE NOVA;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4
009 ESTACIO;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
010 SAO CRISTOVAO;3;5;2;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;18
011 MANGUEIRA;2;1;1;1;0;0;0;0;1;0;0;1;0;0;0;2;1;0;1;1;12
012 BENFICA;4;2;1;0;0;0;1;0;0;3;1;0;0;2;2;1;1;1;0;1;20
013 PAQUETA;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
014 SANTA TERESA;0;2;1;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;7
015 FLAMENGO;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
016 GLORIA;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2
017 LARANJEIRAS;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;6
019 COSME VELHO;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
020 BOTAFOGO;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
023 LEME;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
024 COPACABANA;1;1;1;0;0;0;0;1;0;0;2;1;2;0;1;0;1;0;0;0;11
025 IPANEMA;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;5
026 LEBLON;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
028 JARDIM BOTANICO;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
030 VIDIGAL;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0;5
031 SAO CONRADO;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2
032 PRACA DA BANDEIRA;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2
033 TIJUCA;0;2;0;0;3;1;1;1;0;0;0;1;0;0;1;0;0;3;0;2;15
034 ALTO DA BOA VISTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
036 VILA ISABEL;3;1;1;1;0;0;1;0;1;1;2;2;2;0;0;0;1;1;2;0;19
037 ANDARAI;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0;0;1;0;1;0;6
038 GRAJAU;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3
039 MANGUINHOS;2;1;1;1;0;0;0;1;0;3;3;0;0;1;2;0;0;0;2;2;19
040 BONSUCESSO;1;7;1;0;0;0;0;0;2;0;0;1;1;0;2;3;0;0;0;0;18
041 RAMOS;2;1;1;0;0;0;4;1;0;1;0;0;0;1;1;3;0;1;0;0;16
042 OLARIA;1;2;0;2;1;0;0;1;0;0;1;0;3;0;1;0;1;2;0;1;16
043 PENHA;2;1;1;1;1;4;1;1;0;0;1;4;1;1;4;2;0;2;0;1;28
044 PENHA CIRCULAR;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;4
045 BRAS DE PINA;5;1;3;0;1;0;0;1;0;1;0;2;2;0;2;0;0;0;1;1;20
046 CORDOVIL;3;1;1;1;2;0;0;1;0;0;1;2;2;4;0;3;1;1;0;0;23
047 PARADA DE LUCAS;1;2;0;0;1;0;0;1;0;0;0;1;0;1;2;1;2;2;0;1;15
048 VIGARIO GERAL;2;1;0;0;3;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;9
049 JARDIM AMERICA;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;7
050 HIGIENOPOLIS;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3
051 JACARE;1;0;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;6
052 MARIA DA GRACA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
