Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;2;1;0;2;1;0;0;0;0;1;0;0;0;1;0;0;2;1;2;0;13
002 GAMBOA;0;0;1;0;0;0;1;1;1;5;1;0;1;2;1;1;0;2;1;2;20
003 SANTO CRISTO;2;1;0;1;2;1;0;2;1;1;1;0;0;3;2;1;3;2;1;2;26
004 CAJU;3;3;2;5;2;2;1;2;0;3;2;1;2;1;2;1;3;4;0;3;42
005 CENTRO;1;2;2;6;3;1;1;2;3;1;0;1;2;2;0;0;5;1;2;2;37
006 CATUMBI;1;1;1;0;2;1;0;1;1;5;0;1;2;1;2;1;0;1;2;2;25
007 RIO COMPRIDO;2;1;2;3;6;5;0;8;4;4;3;3;3;1;2;2;2;3;2;3;59
008 CIDADE NOVA;1;0;1;0;1;0;1;2;1;0;0;0;2;0;1;0;0;0;1;3;14
009 ESTACIO;3;0;0;0;2;2;1;0;3;3;2;1;1;2;0;4;2;4;5;3;38
010 SAO CRISTOVAO;3;4;10;4;4;2;2;1;4;1;2;1;0;0;3;2;0;1;0;1;45
011 MANGUEIRA;3;3;1;4;4;3;4;2;4;4;1;2;0;3;1;2;1;2;3;2;49
012 BENFICA;2;3;3;7;4;4;3;5;3;3;3;2;0;5;0;1;2;1;3;5;59
013 PAQUETA;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;5
014 SANTA TERESA;3;5;4;3;1;2;2;5;1;3;2;3;1;3;3;4;1;0;3;3;52
015 FLAMENGO;0;2;0;1;0;0;1;2;1;0;0;0;0;0;1;0;1;0;1;2;12
016 GLORIA;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
017 LARANJEIRAS;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;2;0;1;9
018 CATETE;1;1;0;0;0;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;8
019 COSME VELHO;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;1;0;1;1;1;8
020 BOTAFOGO;2;2;2;2;0;1;0;1;3;1;4;1;0;0;1;1;4;1;4;0;30
021 HUMAITA;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
022 URCA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
023 LEME;0;4;0;0;0;0;1;0;0;0;2;0;0;1;0;2;0;1;0;0;11
024 COPACABANA;0;3;3;5;7;1;0;2;2;5;0;3;2;2;2;2;0;1;1;2;43
025 IPANEMA;1;1;0;0;0;3;0;0;1;1;0;0;1;0;0;0;0;0;0;0;8
026 LEBLON;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;2;0;0;1;1;9
027 LAGOA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;4
028 JARDIM BOTANICO;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3
029 GAVEA;0;0;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;8
030 VIDIGAL;0;1;0;1;0;0;1;0;2;1;2;2;2;2;1;0;1;3;2;0;21
031 SAO CONRADO;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3
032 PRACA DA BANDEIRA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;4
033 TIJUCA;3;2;6;6;4;3;2;3;3;2;3;6;5;5;3;5;3;1;4;2;71
034 ALTO DA BOA VISTA;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;0;0;1;0;0;8
035 MARACANA;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;6
036 VILA ISABEL;4;6;3;6;1;7;5;5;0;5;0;1;1;2;0;4;1;2;2;3;58
037 ANDARAI;1;2;4;1;0;0;1;2;0;1;1;2;2;2;2;0;0;1;1;0;23
038 GRAJAU;1;1;0;1;1;2;3;2;0;1;1;1;4;1;0;0;4;3;0;0;26
039 MANGUINHOS;5;4;5;2;5;4;11;6;1;2;3;7;6;2;2;2;3;5;4;4;83
040 BONSUCESSO;8;10;6;6;7;6;5;2;2;2;3;3;2;1;2;0;0;3;0;2;70
041 RAMOS;1;6;3;5;3;3;4;2;3;3;5;1;1;3;2;4;0;2;3;2;56
042 OLARIA;1;4;5;5;1;4;1;8;2;10;2;3;2;1;4;1;1;0;4;0;59
