Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;4
002 GAMBOA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;4
003 SANTO CRISTO;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;6
004 CAJU;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;3
005 CENTRO;3;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;11
006 CATUMBI;1;0;3;2;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;1;11
007 RIO COMPRIDO;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;2;0;0;8
009 ESTACIO;2;0;0;1;0;2;0;1;2;0;1;0;0;0;0;0;2;0;0;1;12
010 SAO CRISTOVAO;0;0;3;2;1;1;1;0;0;0;1;2;0;1;1;0;1;0;0;0;14
011 MANGUEIRA;0;0;1;1;1;1;1;0;0;0;0;1;1;2;1;1;1;2;1;0;15
012 BENFICA;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;5
014 SANTA TERESA;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;5
015 FLAMENGO;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
016 GLORIA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
017 LARANJEIRAS;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2
018 CATETE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;3
019 COSME VELHO;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;4
020 BOTAFOGO;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
021 HUMAITA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
023 LEME;0;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;5
024 COPACABANA;0;0;2;1;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;8
025 IPANEMA;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3
026 LEBLON;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
027 LAGOA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
029 GAVEA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
030 VIDIGAL;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;3
032 PRACA DA BANDEIRA;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2
033 TIJUCA;0;3;0;0;2;4;0;2;1;1;1;5;0;0;1;0;0;2;3;1;26
034 ALTO DA BOA VISTA;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;4
035 MARACANA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
036 VILA ISABEL;0;2;0;1;0;1;2;1;0;1;0;1;0;0;1;0;1;0;0;0;11
037 ANDARAI;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;6
038 GRAJAU;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;4
039 MANGUINHOS;0;2;0;1;1;0;1;1;2;0;0;1;1;0;0;0;0;1;0;0;11
040 BONSUCESSO;2;2;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;8
041 RAMOS;0;1;0;1;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;6
042 OLARIA;1;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;2;0;1;0;8
043 PENHA;0;3;4;1;1;1;0;2;1;1;0;1;0;1;1;2;0;1;0;1;21
044 PENHA CIRCULAR;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;8
045 BRAS DE PINA;0;0;0;0;4;4;1;0;0;2;1;1;1;0;2;1;0;0;0;0;17
046 CORDOVIL;0;1;0;4;0;1;2;0;0;1;2;1;0;1;0;1;2;2;1;1;20
047 PARADA DE LUCAS;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4
048 VIGARIO GERAL;1;2;2;0;0;1;0;1;2;0;2;2;1;0;0;0;0;0;0;1;15
049 JARDIM AMERICA;0;1;2;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;8
050 HIGIENOPOLIS;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
051 JACARE;0;0;0;1;1;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;6
052 MARIA DA GRACA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2
053 DEL CASTILHO;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
054 INHAUMA;1;1;2;1;0;1;0;0;0;0;0;0;2;1;1;0;2;1;0;0;13
055 ENGENHO DA RAINHA;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4
056 TOMAS COELHO;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;4
057 SAO FRANCISCO XAVIER;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3
058 ROCHA;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3
059 RIACHUELO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
060 SAMPAIO;1;0;0;1;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;1;8
061 ENGENHO NOVO;1;1;1;2;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1;0;11
062 LINS DE VASCONCELOS;1;1;1;1;2;0;0;3;0;0;0;1;0;0;0;0;3;0;1;1;15
063 MEIER;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;5
064 TODOS OS SANTOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
