Bairro Residencia;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
001 SAUDE;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;5
002 GAMBOA;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;5
003 SANTO CRISTO;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;2;1;1;10
004 CAJU;1;0;1;3;1;1;1;1;0;1;0;2;0;1;1;0;1;1;1;3;20
005 CENTRO;2;1;2;2;1;0;0;1;2;0;0;2;0;3;0;2;1;1;1;2;23
006 CATUMBI;1;1;0;1;0;1;1;0;0;2;0;1;0;0;0;0;0;0;0;1;9
007 RIO COMPRIDO;0;0;0;1;3;1;1;3;3;1;2;1;3;0;1;0;2;3;1;2;28
008 CIDADE NOVA;0;1;1;0;1;0;1;1;0;0;0;0;2;0;0;0;0;0;0;1;8
009 ESTACIO;1;0;2;1;1;1;0;1;1;1;2;1;0;0;0;0;2;1;0;0;15
010 SAO CRISTOVAO;3;2;5;1;2;0;0;0;1;1;1;0;0;1;1;2;0;0;0;0;20
011 MANGUEIRA;0;2;2;1;0;0;0;0;1;0;1;1;0;2;1;0;1;2;1;1;16
012 BENFICA;1;2;1;2;0;3;1;1;1;2;0;0;1;1;2;1;0;0;2;1;22
013 PAQUETA;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;3
014 SANTA TERESA;0;2;0;0;0;1;3;2;0;0;1;0;0;1;1;3;0;0;0;0;14
015 FLAMENGO;0;1;1;1;0;3;0;3;1;0;0;0;0;0;0;0;0;0;2;1;13
016 GLORIA;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2
017 LARANJEIRAS;1;2;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;9
018 CATETE;0;1;1;0;0;1;1;0;0;2;1;0;0;1;1;1;0;1;0;0;11
019 COSME VELHO;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;6
020 BOTAFOGO;0;1;3;0;0;2;0;0;2;0;1;0;2;0;2;1;1;1;0;0;16
021 HUMAITA;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3
022 URCA;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;3
023 LEME;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;5
024 COPACABANA;0;0;4;2;2;3;2;3;4;1;1;3;2;1;2;2;1;1;0;2;36
025 IPANEMA;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;5
026 LEBLON;0;1;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;2;1;0;10
027 LAGOA;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3
028 JARDIM BOTANICO;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2
029 GAVEA;1;2;2;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;11
030 VIDIGAL;0;0;1;2;0;1;0;0;2;0;0;0;1;0;0;0;0;3;2;0;12
031 SAO CONRADO;0;0;1;0;0;0;2;0;0;0;0;0;0;2;0;1;0;0;0;0;6
032 PRACA DA BANDEIRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;3
033 TIJUCA;1;3;8;4;3;1;3;0;1;4;4;4;5;1;4;4;3;2;9;3;67
034 ALTO DA BOA VISTA;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;5
035 MARACANA;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3
036 VILA ISABEL;2;6;2;2;3;1;1;1;0;2;3;1;2;2;1;4;1;1;1;3;39
037 ANDARAI;1;0;1;1;0;0;1;0;0;2;0;2;0;1;0;0;1;0;0;1;11
038 GRAJAU;1;1;0;1;0;0;0;0;0;0;1;2;1;1;0;0;0;0;1;0;9
039 MANGUINHOS;1;1;1;0;1;1;3;2;1;4;2;0;1;2;1;1;0;1;2;1;26
040 BONSUCESSO;2;2;1;2;3;1;2;0;1;1;3;1;0;1;1;3;0;1;0;0;25
041 RAMOS;2;4;1;1;1;1;3;1;0;2;1;0;1;4;1;0;0;0;0;1;24
042 OLARIA;0;3;1;3;3;1;2;2;2;3;0;2;3;3;2;1;2;0;1;0;34
043 PENHA;2;0;2;7;2;3;0;6;1;4;2;3;1;0;3;3;4;2;0;1;46
044 PENHA CIRCULAR;0;0;1;1;2;0;0;0;0;1;1;4;3;1;1;0;2;1;1;1;20
045 BRAS DE PINA;0;1;0;0;2;0;2;2;0;5;3;0;3;0;1;0;0;2;0;3;24
046 CORDOVIL;0;1;1;3;1;4;0;2;1;2;1;1;1;0;0;1;1;3;0;3;26
047 PARADA DE LUCAS;1;4;1;0;1;2;0;0;1;1;0;0;2;1;2;0;2;1;1;1;21
048 VIGARIO GERAL;0;0;3;1;0;0;1;2;1;3;1;2;1;0;1;2;2;0;0;0;20
049 JARDIM AMERICA;4;1;1;2;0;1;0;0;0;0;1;1;0;1;2;1;2;1;0;0;18
050 HIGIENOPOLIS;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;6
051 JACARE;0;0;1;1;2;0;1;0;2;0;0;0;1;0;0;1;1;0;0;0;10
052 MARIA DA GRACA;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3
053 DEL CASTILHO;1;0;0;0;0;0;0;0;0;2;0;1;1;0;1;1;1;0;0;0;8
054 INHAUMA;2;2;2;2;1;5;2;3;1;1;0;0;0;3;1;0;1;3;2;1;32
055 ENGENHO DA RAINHA;0;0;2;2;0;0;0;1;1;0;1;1;1;0;1;0;0;0;3;1;14
056 TOMAS COELHO;1;0;0;2;0;0;0;0;1;0;0;1;0;0;1;2;1;1;2;0;12
057 SAO FRANCISCO XAVIER;0;0;1;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;5
058 ROCHA;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;2;0;0;1;6
059 RIACHUELO;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;1;6
060 SAMPAIO;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;5
061 ENGENHO NOVO;1;0;0;1;1;2;0;0;2;0;0;2;2;2;1;1;0;2;1;2;20
062 LINS DE VASCONCELOS;1;3;1;0;2;0;0;3;1;3;1;0;0;1;1;2;0;1;0;0;20
063 MEIER;1;0;0;2;1;0;2;0;2;1;2;1;1;1;0;0;0;2;0;2;18
064 TODOS OS SANTOS;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2
065 CACHAMBI;0;1;2;1;0;1;1;0;2;2;1;0;0;0;0;1;2;1;0;2;17
066 ENGENHO DE DENTRO;0;3;1;1;0;0;1;1;2;0;0;0;0;0;2;2;2;0;0;0;15
067 AGUA SANTA;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
068 ENCANTADO;0;0;0;0;1;0;0;2;0;0;2;1;0;0;1;0;0;0;0;0;7
069 PIEDADE;0;2;1;3;0;0;2;2;4;0;3;0;2;1;0;0;0;1;2;0;23
070 ABOLICAO;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
071 PILARES;1;0;0;0;0;0;0;0;1;1;0;2;0;1;1;1;0;2;2;0;12
072 VILA KOSMOS;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;3
073 VICENTE DE CARVALHO;0;1;1;1;1;0;1;1;0;0;0;0;2;3;1;1;0;0;0;0;13
074 VILA DA PENHA;0;1;1;1;3;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;10
075 VISTA ALEGRE;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
076 IRAJA;4;0;3;1;2;1;3;5;4;3;4;2;1;3;1;0;1;1;0;1;40
077 COLEGIO;3;1;2;1;1;0;1;0;0;0;1;1;2;1;0;0;2;2;2;0;20
078 CAMPINHO;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;6
079 QUINTINO BOCAIUVA;0;0;0;0;1;1;2;0;2;1;0;1;1;1;2;2;1;0;1;0;16
080 CAVALCANTE;0;1;2;1;0;0;0;2;0;0;0;1;1;0;3;0;0;1;1;1;14
081 ENGENHEIRO LEAL;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3
082 CASCADURA;0;3;1;0;2;1;0;0;1;0;0;0;4;1;0;0;0;3;0;1;17
083 MADUREIRA;2;0;0;3;0;1;3;1;1;3;0;1;2;2;1;1;1;1;1;2;26
084 VAZ LOBO;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;6
085 TURIACU;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;2;0;0;6
086 ROCHA MIRANDA;0;0;0;2;1;2;1;4;0;1;0;0;3;2;0;1;0;4;0;0;21
