Causas evitáveis;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
1. Causas evitáveis;249;284;254;270;232;179;161;179;166;189;134;130;155;134;110;112;147;151;125;146;128;140;128;133;139;134;90;118;86;99;4702
1.1. Reduzível pelas ações de imunização;2;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;9
.. Coqueluche;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
.. Síndrome da rubéola congênita;2;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
1.2.1 Reduzíveis atenção à mulher na gestação;59;64;91;78;93;56;67;52;61;75;44;55;69;68;53;62;75;74;62;73;71;60;66;59;79;61;42;54;53;64;1940
.. Sífilis congênita;-;4;10;11;5;3;6;7;7;7;-;1;1;1;2;4;6;3;3;8;3;9;2;4;4;3;2;2;-;-;118
.. Doenças pelo vírus da imunodeficiência humana;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
.. Feto e recém-nasc afet compl placenta membranas;4;2;1;-;1;2;2;-;2;3;2;2;7;4;6;4;7;6;5;8;4;2;8;6;4;3;-;4;1;8;108
.. Feto e recém-nascido afet afecções maternas;2;2;19;12;19;2;22;5;15;15;16;14;13;22;19;17;27;28;21;21;27;20;24;16;22;22;14;15;21;22;514
.. Feto e recém-nasc afet por compl matern gravid;5;2;7;13;17;5;10;5;6;9;6;5;8;11;9;13;15;12;10;16;11;11;8;10;11;7;10;15;16;10;293
.. Crescimento fetal retardado e desnutrição fetal;-;-;1;1;-;-;-;-;-;2;1;2;2;-;1;-;-;-;-;-;1;-;1;4;4;2;-;1;1;7;31
.. Transt gest curta duração e peso baixo nascer;6;3;-;-;-;-;-;-;2;1;-;2;-;2;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;18
.. Síndrome da angústia respiratória recém-nascido;29;36;29;24;33;26;19;23;17;26;10;21;24;16;8;10;12;9;9;11;6;6;12;7;15;8;3;7;2;7;465
.. Hemorragia pulmonar originada período perinatal;1;1;3;3;3;2;-;1;2;2;-;1;1;1;1;3;2;-;-;-;1;1;1;1;2;1;2;1;1;2;40
.. Hemorragia intracran ñ traum feto e recém-nasc;2;1;2;2;5;4;2;4;3;4;-;3;3;2;1;2;-;2;2;2;2;1;-;-;1;2;1;1;1;-;55
.. Isoimunização Rh ou ABO do feto e recém-nascido;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
.. Out doenç hemolít feto recém-nasc dev isoimuniz;-;-;2;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;8
.. Enterocolite necrotizante feto e recém-nascido;10;13;16;12;10;12;6;7;7;5;8;3;9;7;6;9;6;14;12;7;16;9;9;11;14;13;10;7;10;8;286
1.2.2 Reduz por adequada atenção à mulher no parto;10;11;17;30;19;16;13;19;16;18;15;14;15;9;11;11;20;22;20;18;8;18;24;14;19;17;10;16;10;11;471
.. Feto recém-nasc afet placent prév descol placen;-;-;3;8;2;1;3;3;2;3;4;2;3;1;4;-;5;3;3;3;3;5;2;3;7;2;3;5;2;2;87
.. Feto e recém-nasc afet afecções cordão umbilic;-;-;1;1;3;2;2;-;-;-;-;-;3;1;2;1;2;1;-;-;-;-;1;-;-;-;-;1;-;1;22
.. Feto recém-nasc afet outr complicações parto;1;-;1;3;2;-;-;1;2;-;-;1;3;1;2;2;1;3;-;3;-;3;4;2;3;4;-;4;2;3;51
.. Traumatismo de parto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
.. Hipóxia intrauterina e asfixia ao nascer;8;8;8;14;12;8;5;13;11;11;6;5;4;5;3;4;9;6;12;7;2;7;9;8;5;9;5;2;4;2;212
.. Síndr aspiração neonat excet leite alim regurg;1;3;4;4;-;5;3;2;1;4;5;6;2;1;-;4;3;9;5;5;2;3;8;1;4;2;2;4;2;3;98
1.2.3 Reduzíveis adequada atenção ao recém-nascido;157;192;127;141;104;100;68;94;85;87;67;56;63;53;40;33;37;47;40;51;36;52;34;48;32;46;33;40;15;20;1998
.. Transt respir cardiovasc específ períod neonat;31;36;23;14;13;9;9;10;7;5;3;4;4;3;5;5;3;7;3;5;3;2;4;4;2;5;5;1;2;3;230
.. Infecç per neonatal exc SRC e hepat viral cong;117;148;85;112;70;81;57;68;66;63;50;40;50;37;29;25;24;34;24;41;26;42;28;37;22;30;24;26;10;10;1476
.. Hemorragia neonatal exc intracraniana ñ traumát;2;1;2;1;2;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;12
.. Outras icterícias neonatais;-;1;1;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
.. Transt endócr metab transit esp feto recém-nasc;4;1;-;1;1;1;-;6;-;4;1;-;-;1;1;-;2;-;-;-;-;-;-;1;1;1;1;1;1;1;30
.. Outr transt hemotológicos feto e recém-nascido;2;4;2;3;4;2;-;4;3;4;-;2;3;2;-;-;4;2;3;-;4;3;1;1;1;3;2;2;-;1;62
.. Transt ap digest feto recém-nasc exc enter necr;-;-;3;-;1;2;-;1;1;-;1;-;1;2;1;-;-;1;1;2;1;1;-;1;1;1;-;4;1;1;28
.. Afecç compromet tegument regul térmica feto rn;-;-;-;1;1;1;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;1;-;1;11
.. Outr transt orig período perinatal, exc P96.9;1;1;11;9;11;3;2;5;8;11;10;10;5;7;3;2;4;3;6;3;2;3;1;4;5;5;1;5;1;2;144
1.3. Reduz ações diagnóstico e tratamento adequado;14;7;12;18;14;5;10;12;3;7;3;4;3;-;3;6;6;7;2;4;4;4;1;6;4;3;2;2;2;3;171
.. Meningite (exceto por Haemophilus);3;-;3;1;2;-;-;1;1;-;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;15
.. Pneumonia;8;6;9;17;12;5;9;11;2;5;-;3;3;-;3;4;5;3;1;4;3;3;-;2;3;2;1;1;1;1;127
.. Outras infecções agudas vias aéreas inferiores;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;-;1;2;1;1;1;1;-;2;14
.. Algumas doenças pulmonares dev agentes externos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
