Bairro Residencia,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
001 SAUDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
002 GAMBOA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3
004 CAJU,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3
005 CENTRO,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
006 CATUMBI,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
007 RIO COMPRIDO,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
008 CIDADE NOVA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
009 ESTACIO,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
010 SAO CRISTOVAO,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5
011 MANGUEIRA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
012 BENFICA,1,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6
014 SANTA TERESA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4
015 FLAMENGO,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
020 BOTAFOGO,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5
024 COPACABANA,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,9
025 IPANEMA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
029 GAVEA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
030 VIDIGAL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
032 PRACA DA BANDEIRA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
033 TIJUCA,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7
035 MARACANA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
036 VILA ISABEL,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4
037 ANDARAI,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4
038 GRAJAU,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5
039 MANGUINHOS,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4
040 BONSUCESSO,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
041 RAMOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
042 OLARIA,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
043 PENHA,1,0,0,0,1,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,8
044 PENHA CIRCULAR,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
045 BRAS DE PINA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
046 CORDOVIL,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5
047 PARADA DE LUCAS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
048 VIGARIO GERAL,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,8
049 JARDIM AMERICA,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
050 HIGIENOPOLIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
