Bairro Residencia,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
002 GAMBOA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
003 SANTO CRISTO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
004 CAJU,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4
005 CENTRO,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6
006 CATUMBI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
007 RIO COMPRIDO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
008 CIDADE NOVA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
009 ESTACIO,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4
010 SAO CRISTOVAO,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
011 MANGUEIRA,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,1,7
012 BENFICA,0,1,0,0,0,2,0,1,1,1,0,0,0,1,0,0,1,0,0,0,8
014 SANTA TERESA,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,5
015 FLAMENGO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
017 LARANJEIRAS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
018 CATETE,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
019 COSME VELHO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
020 BOTAFOGO,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5
022 URCA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
023 LEME,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
024 COPACABANA,0,0,0,1,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,7
028 JARDIM BOTANICO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
029 GAVEA,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
030 VIDIGAL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
032 PRACA DA BANDEIRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
033 TIJUCA,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,7
034 ALTO DA BOA VISTA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
035 MARACANA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
036 VILA ISABEL,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6
038 GRAJAU,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4
039 MANGUINHOS,1,2,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,11
040 BONSUCESSO,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
041 RAMOS,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6
042 OLARIA,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5
043 PENHA,2,2,1,1,0,0,0,1,0,1,2,2,2,0,1,0,0,0,0,0,15
044 PENHA CIRCULAR,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6
045 BRAS DE PINA,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,6
046 CORDOVIL,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
047 PARADA DE LUCAS,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,5
048 VIGARIO GERAL,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,7
049 JARDIM AMERICA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
050 HIGIENOPOLIS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
051 JACARE,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6
052 MARIA DA GRACA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
053 DEL CASTILHO,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,6
054 INHAUMA,0,0,0,1,0,1,0,0,0,2,0,1,1,0,2,2,1,1,1,0,13
055 ENGENHO DA RAINHA,0,2,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,8
056 TOMAS COELHO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
057 SAO FRANCISCO XAVIER,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
058 ROCHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
059 RIACHUELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
060 SAMPAIO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
061 ENGENHO NOVO,0,4,0,1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,12
062 LINS DE VASCONCELOS,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,1,0,0,7
063 MEIER,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
066 ENGENHO DE DENTRO,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4
068 ENCANTADO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
069 PIEDADE,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5
071 PILARES,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3
072 VILA KOSMOS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
073 VICENTE DE CARVALHO,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,5
074 VILA DA PENHA,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
075 VISTA ALEGRE,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,5
076 IRAJA,0,2,0,1,1,2,1,0,2,0,0,1,1,0,1,2,0,0,1,1,16
077 COLEGIO,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,5
078 CAMPINHO,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
079 QUINTINO BOCAIUVA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4
080 CAVALCANTE,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
081 ENGENHEIRO LEAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
082 CASCADURA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3
083 MADUREIRA,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,6
084 VAZ LOBO,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3
085 TURIACU,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
086 ROCHA MIRANDA,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5
087 HONORIO GURGEL,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5
088 OSWALDO CRUZ,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,5
089 BENTO RIBEIRO,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,6
090 MARECHAL HERMES,1,0,1,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,8
092 ZUMBI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
093 CACUIA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
097 BANCARIOS,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
098 FREGUESIA-ILHA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
099 JARDIM GUANABARA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100 JARDIM CARIOCA,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101 TAUA,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,4
106 GUADALUPE,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,9
107 ANCHIETA,1,3,0,0,0,3,0,0,0,0,2,0,0,1,1,1,0,0,0,0,12
108 PARQUE ANCHIETA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
109 RICARDO ALBUQUERQUE,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5
110 COELHO NETO,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,5
111 ACARI,0,1,1,0,1,1,1,0,1,1,0,2,0,1,1,0,0,0,1,0,12
112 BARROS FILHO,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4
113 COSTA BARROS,0,0,0,2,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,7
114 PAVUNA,1,0,1,3,0,0,1,2,1,2,2,1,0,1,0,2,1,0,1,2,21
115 JACAREPAGUA,2,2,2,1,1,0,2,3,3,1,4,1,4,1,2,6,0,0,2,2,39
116 ANIL,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,6
117 GARDENIA AZUL,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,7
118 CIDADE DE DEUS,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,2,1,0,1,1,13
119 CURICICA,2,0,0,1,1,0,2,2,0,1,0,0,0,0,1,2,1,0,0,0,13
120 FREGUESIA-JPA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4
121 PECHINCHA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
122 TAQUARA,0,0,1,0,0,1,1,1,1,0,0,2,0,2,0,0,0,0,0,0,9
123 TANQUE,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
124 PRACA SECA,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,2,2,1,1,0,11
125 VILA VALQUEIRE,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4
