Bairro Residencia,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
001 SAUDE,131,133,111,118,86,66,56,58,71,60,38,52,41,51,37,32,40,40,30,36,1287
002 GAMBOA,92,99,120,128,158,146,167,182,164,200,171,166,161,154,154,156,131,125,116,150,2940
003 SANTO CRISTO,209,217,207,214,225,244,226,196,249,209,199,193,215,204,173,174,151,135,118,129,3887
004 CAJU,354,380,399,444,368,439,410,412,448,430,460,454,438,391,347,337,331,329,298,305,7774
005 CENTRO,532,487,475,474,461,516,440,464,425,404,393,361,295,325,271,251,244,200,178,194,7390
006 CATUMBI,270,216,238,251,246,282,259,249,276,269,242,198,180,210,171,181,148,127,138,134,4285
007 RIO COMPRIDO,621,601,566,623,645,634,568,602,624,589,543,549,510,495,416,384,398,343,352,349,10412
008 CIDADE NOVA,57,78,71,92,105,94,81,86,56,79,72,74,66,73,53,60,46,41,39,42,1365
009 ESTACIO,264,282,278,302,304,311,247,236,301,293,245,275,287,233,206,197,178,175,175,153,4942
010 SAO CRISTOVAO,768,718,722,711,731,706,706,693,724,644,591,474,581,557,505,440,438,312,264,290,11575
011 MANGUEIRA,299,290,343,341,302,353,338,340,321,304,278,322,306,266,239,254,235,228,247,199,5805
012 BENFICA,610,651,609,630,564,369,425,476,484,532,484,530,491,542,426,374,321,408,308,346,9580
013 PAQUETA,32,31,37,31,35,48,32,26,32,39,36,41,38,50,31,42,33,25,19,30,688
014 SANTA TERESA,449,455,456,460,487,472,490,473,471,523,466,410,438,399,388,367,352,313,295,316,8480
015 FLAMENGO,405,436,387,381,404,402,415,433,416,406,340,349,351,366,279,263,304,268,256,274,7135
016 GLORIA,158,168,143,153,152,146,140,123,174,138,106,86,64,141,78,69,44,57,43,47,2230
017 LARANJEIRAS,428,375,414,390,383,384,357,411,406,440,358,401,388,315,273,280,285,257,240,206,6991
018 CATETE,214,190,186,193,227,229,212,189,220,217,172,251,225,184,175,160,174,169,163,145,3895
019 COSME VELHO,96,91,87,97,127,92,106,78,103,97,93,107,84,67,92,75,65,51,49,69,1726
020 BOTAFOGO,758,769,763,797,867,838,796,827,839,878,775,754,713,663,584,571,573,534,542,534,14375
021 HUMAITA,106,141,116,120,155,153,130,132,117,151,146,115,116,127,96,84,87,73,78,69,2312
022 URCA,73,63,49,44,78,60,41,52,46,61,43,57,68,43,58,47,53,42,50,57,1085
023 LEME,143,128,119,111,140,120,115,131,134,131,132,132,119,120,118,95,104,90,89,94,2365
024 COPACABANA,1167,1143,1193,1164,1230,1205,1188,1132,1212,1158,1038,1095,1035,1059,872,865,874,866,709,772,20977
025 IPANEMA,312,300,319,354,347,333,320,340,379,335,259,292,313,275,254,291,252,260,257,247,6039
026 LEBLON,368,358,377,355,412,382,387,402,406,408,339,353,345,315,287,267,291,259,247,275,6833
027 LAGOA,196,151,188,196,185,209,185,189,184,191,121,193,150,146,148,128,138,117,128,123,3266
028 JARDIM BOTANICO,186,181,205,181,285,225,217,208,190,191,154,184,171,140,122,112,118,110,102,86,3368
029 GAVEA,258,252,257,277,282,243,228,251,265,283,265,145,229,187,147,171,167,165,114,139,4325
030 VIDIGAL,207,242,224,225,255,224,234,259,261,242,207,211,236,202,174,169,162,191,149,145,4219
031 SAO CONRADO,114,100,96,111,138,107,114,127,98,98,79,79,98,110,78,76,84,56,71,85,1919
032 PRACA DA BANDEIRA,88,107,90,98,137,95,84,132,98,87,117,93,68,97,74,70,60,62,51,57,1765
033 TIJUCA,1626,1618,1664,1593,1594,1650,1678,1578,1661,1601,1531,1345,1384,1311,1118,998,1027,1042,910,941,27870
034 ALTO DA BOA VISTA,115,121,117,112,132,122,108,118,147,131,148,109,100,104,92,102,70,99,55,67,2169
035 MARACANA,202,208,206,221,224,226,189,191,205,229,177,204,231,188,173,154,161,143,135,131,3798
036 VILA ISABEL,782,757,776,783,792,733,734,747,760,789,672,669,665,559,597,533,479,460,419,443,13149
037 ANDARAI,334,345,344,344,355,310,341,377,348,415,313,372,369,280,296,239,269,237,222,209,6319
038 GRAJAU,412,416,376,399,372,385,369,383,388,395,326,342,329,313,252,231,234,222,209,168,6521
039 MANGUINHOS,523,506,486,563,486,295,325,315,356,452,494,484,484,414,441,385,391,348,380,387,8515
040 BONSUCESSO,733,960,975,444,584,406,489,264,347,509,1157,583,613,885,796,584,742,397,277,392,12137
041 RAMOS,1078,1109,912,758,903,880,776,438,587,667,760,554,633,729,844,642,861,507,381,479,14498
042 OLARIA,634,647,630,670,608,622,616,650,637,595,554,630,599,522,483,474,492,403,379,416,11261
043 PENHA,1206,1154,1127,1209,1097,1116,1072,1043,951,892,920,903,840,914,819,714,715,651,588,609,18540
044 PENHA CIRCULAR,340,361,370,330,346,369,397,451,427,545,435,570,543,374,418,383,360,399,356,356,8130
045 BRAS DE PINA,566,601,582,556,544,552,551,631,656,628,612,607,582,476,459,452,417,390,359,364,10585
046 CORDOVIL,635,602,625,594,582,586,560,650,613,621,605,548,512,424,424,422,369,365,323,316,10376
047 PARADA DE LUCAS,314,298,288,312,297,287,282,312,349,335,322,316,351,318,280,312,280,273,262,255,6043
048 VIGARIO GERAL,424,458,434,426,384,462,374,416,476,471,419,530,409,367,351,422,371,390,391,354,8329
049 JARDIM AMERICA,504,495,517,515,474,504,449,436,511,455,411,396,444,384,353,306,291,283,180,266,8174
050 HIGIENOPOLIS,191,166,160,151,187,182,187,192,165,171,164,142,144,135,118,111,114,102,125,118,3025
051 JACARE,361,346,345,341,394,486,381,420,418,383,321,336,155,249,332,316,296,165,120,166,6331
052 MARIA DA GRACA,70,85,89,84,113,71,88,101,75,102,66,99,82,55,50,63,71,58,44,100,1566
053 DEL CASTILHO,264,298,238,257,240,266,308,310,293,308,290,282,327,305,249,264,252,231,239,236,5457
054 INHAUMA,861,984,938,968,926,1002,926,916,969,824,749,691,841,778,850,784,530,573,478,539,16127
055 ENGENHO DA RAINHA,288,274,319,309,280,297,321,299,343,366,354,338,308,284,267,253,272,248,228,217,5865
056 TOMAS COELHO,282,266,273,260,275,273,268,259,269,304,244,250,254,235,256,256,230,230,207,191,5082
057 SAO FRANCISCO XAVIER,61,59,47,69,52,64,59,61,71,79,95,81,63,63,60,55,60,49,50,55,1253
058 ROCHA,98,92,81,92,98,79,73,123,127,155,180,176,146,141,158,156,187,155,137,178,2632
059 RIACHUELO,141,120,126,141,125,131,142,108,131,132,123,92,102,99,94,77,63,76,64,66,2153
060 SAMPAIO,126,158,136,118,126,149,152,157,131,151,131,143,163,139,125,121,128,117,103,99,2673
061 ENGENHO NOVO,589,643,597,608,673,663,677,667,661,578,553,554,535,510,464,436,428,428,328,346,10938
062 LINS DE VASCONCELOS,431,523,559,531,506,481,488,485,523,504,422,457,469,418,398,375,345,332,322,304,8873
063 MEIER,616,606,550,581,585,577,509,545,548,474,429,395,325,356,246,259,242,257,196,247,8543
064 TODOS OS SANTOS,140,149,147,141,158,140,171,156,180,177,150,194,165,137,144,146,140,142,127,126,3030
065 CACHAMBI,409,399,370,367,380,360,378,427,422,371,377,374,399,341,330,316,306,294,273,274,7167
066 ENGENHO DE DENTRO,551,561,550,535,538,531,548,546,592,610,597,599,556,515,494,424,393,366,341,351,10198
067 AGUA SANTA,88,101,115,82,81,83,81,85,93,83,96,69,97,79,69,60,69,54,57,57,1599
068 ENCANTADO,132,159,137,134,149,152,142,141,137,136,142,133,153,109,108,96,91,93,95,81,2520
069 PIEDADE,585,494,546,520,484,528,515,515,579,592,495,537,475,437,421,368,347,375,338,328,9479
070 ABOLICAO,169,153,166,178,147,144,125,135,148,135,122,118,85,113,80,92,98,86,75,109,2478
071 PILARES,353,368,296,373,343,325,354,352,376,322,330,311,307,317,252,231,229,230,201,191,6061
072 VILA KOSMOS,109,103,93,98,81,105,107,116,118,130,122,124,168,101,126,123,108,115,88,109,2244
073 VICENTE DE CARVALHO,359,340,325,287,326,312,331,335,336,348,309,360,324,303,239,222,235,207,167,189,5854
