ano,idade,sexo,populacao,data_consulta
2000,0,feminino,48266,2026-09-24
2000,1,feminino,49050,2026-09-24
2000,2,feminino,49400,2026-09-24
2000,3,feminino,49849,2026-09-24
2000,4,feminino,50376,2026-09-24
2000,5,feminino,50624,2026-09-24
2000,6,feminino,50470,2026-09-24
2000,0,masculino,49592,2026-09-24
2000,1,masculino,50094,2026-09-24
2000,2,masculino,50142,2026-09-24
2000,3,masculino,50229,2026-09-24
2000,4,masculino,50381,2026-09-24
2000,5,masculino,50319,2026-09-24
2000,6,masculino,50003,2026-09-24
2000,total,total,6312372,2026-09-24
2001,0,feminino,45727,2026-09-24
2001,1,feminino,47774,2026-09-24
2001,2,feminino,48813,2026-09-24
2001,3,feminino,49339,2026-09-24
2001,4,feminino,49890,2026-09-24
2001,5,feminino,50486,2026-09-24
2001,6,feminino,50739,2026-09-24
2001,0,masculino,47349,2026-09-24
2001,1,masculino,48996,2026-09-24
2001,2,masculino,49787,2026-09-24
2001,3,masculino,50016,2026-09-24
2001,4,masculino,50217,2026-09-24
2001,5,masculino,50436,2026-09-24
2001,6,masculino,50387,2026-09-24
2001,total,total,6367184,2026-09-24
2002,0,feminino,43273,2026-09-24
2002,1,feminino,45289,2026-09-24
2002,2,feminino,47461,2026-09-24
2002,3,feminino,48673,2026-09-24
2002,4,feminino,49321,2026-09-24
2002,5,feminino,49952,2026-09-24
2002,6,feminino,50581,2026-09-24
2002,0,masculino,45143,2026-09-24
2002,1,masculino,46812,2026-09-24
2002,2,masculino,48597,2026-09-24
2002,3,masculino,49583,2026-09-24
2002,4,masculino,49945,2026-09-24
2002,5,masculino,50238,2026-09-24
2002,6,masculino,50479,2026-09-24
2002,total,total,6410594,2026-09-24
2003,0,feminino,41259,2026-09-24
2003,1,feminino,42931,2026-09-24
2003,2,feminino,45010,2026-09-24
2003,3,feminino,47359,2026-09-24
2003,4,feminino,48690,2026-09-24
2003,5,feminino,49398,2026-09-24
2003,6,feminino,50038,2026-09-24
2003,0,masculino,43285,2026-09-24
2003,1,masculino,44723,2026-09-24
2003,2,masculino,46480,2026-09-24
2003,3,masculino,48445,2026-09-24
2003,4,masculino,49552,2026-09-24
2003,5,masculino,49993,2026-09-24
2003,6,masculino,50291,2026-09-24
2003,total,total,6445241,2026-09-24
2004,0,feminino,39803,2026-09-24
2004,1,feminino,41085,2026-09-24
2004,2,feminino,42789,2026-09-24
2004,3,feminino,44993,2026-09-24
2004,4,feminino,47420,2026-09-24
2004,5,feminino,48789,2026-09-24
2004,6,feminino,49484,2026-09-24
2004,0,masculino,41899,2026-09-24
2004,1,masculino,43061,2026-09-24
2004,2,masculino,44534,2026-09-24
2004,3,masculino,46424,2026-09-24
2004,4,masculino,48482,2026-09-24
2004,5,masculino,49626,2026-09-24
2004,6,masculino,50051,2026-09-24
2004,total,total,6475300,2026-09-24
2005,0,feminino,39034,2026-09-24
2005,1,feminino,39866,2026-09-24
2005,2,feminino,41081,2026-09-24
2005,3,feminino,42874,2026-09-24
2005,4,feminino,45125,2026-09-24
2005,5,feminino,47548,2026-09-24
2005,6,feminino,48865,2026-09-24
2005,0,masculino,41157,2026-09-24
2005,1,masculino,41964,2026-09-24
2005,2,masculino,43039,2026-09-24
2005,3,masculino,44605,2026-09-24
2005,4,masculino,46537,2026-09-24
2005,5,masculino,48598,2026-09-24
2005,6,masculino,49687,2026-09-24
2005,total,total,6503064,2026-09-24
2006,0,feminino,38824,2026-09-24
2006,1,feminino,39285,2026-09-24
2006,2,feminino,40036,2026-09-24
2006,3,feminino,41282,2026-09-24
2006,4,feminino,43067,2026-09-24
2006,5,feminino,45271,2026-09-24
2006,6,feminino,47618,2026-09-24
2006,0,masculino,40603,2026-09-24
2006,1,masculino,41454,2026-09-24
2006,2,masculino,42153,2026-09-24
2006,3,masculino,43239,2026-09-24
2006,4,masculino,44783,2026-09-24
2006,5,masculino,46669,2026-09-24
2006,6,masculino,48637,2026-09-24
2006,total,total,6529151,2026-09-24
2007,0,feminino,38609,2026-09-24
2007,1,feminino,39141,2026-09-24
2007,2,feminino,39550,2026-09-24
2007,3,feminino,40286,2026-09-24
2007,4,feminino,41483,2026-09-24
2007,5,feminino,43191,2026-09-24
2007,6,feminino,45312,2026-09-24
2007,0,masculino,40446,2026-09-24
2007,1,masculino,40963,2026-09-24
2007,2,masculino,41747,2026-09-24
2007,3,masculino,42415,2026-09-24
2007,4,masculino,43445,2026-09-24
2007,5,masculino,44898,2026-09-24
2007,6,masculino,46678,2026-09-24
2007,total,total,6552265,2026-09-24
2008,0,feminino,38675,2026-09-24
2008,1,feminino,38862,2026-09-24
2008,2,feminino,39429,2026-09-24
2008,3,feminino,39793,2026-09-24
2008,4,feminino,40455,2026-09-24
2008,5,feminino,41568,2026-09-24
2008,6,feminino,43187,2026-09-24
2008,0,masculino,40595,2026-09-24
2008,1,masculino,40708,2026-09-24
2008,2,masculino,41264,2026-09-24
2008,3,masculino,41993,2026-09-24
2008,4,masculino,42577,2026-09-24
2008,5,masculino,43511,2026-09-24
2008,6,masculino,44862,2026-09-24
2008,total,total,6571817,2026-09-24
2009,0,feminino,38884,2026-09-24
2009,1,feminino,38859,2026-09-24
2009,2,feminino,39086,2026-09-24
2009,3,feminino,39617,2026-09-24
2009,4,feminino,39913,2026-09-24
2009,5,feminino,40507,2026-09-24
2009,6,feminino,41533,2026-09-24
2009,0,masculino,40886,2026-09-24
2009,1,masculino,40743,2026-09-24
2009,2,masculino,40917,2026-09-24
2009,3,masculino,41434,2026-09-24
2009,4,masculino,42103,2026-09-24
2009,5,masculino,42596,2026-09-24
2009,6,masculino,43447,2026-09-24
2009,total,total,6590415,2026-09-24
2010,0,feminino,38851,2026-09-24
2010,1,feminino,38918,2026-09-24
2010,2,feminino,38963,2026-09-24
2010,3,feminino,39194,2026-09-24
2010,4,feminino,39683,2026-09-24
2010,5,feminino,39930,2026-09-24
2010,6,feminino,40467,2026-09-24
2010,0,masculino,40898,2026-09-24
2010,1,masculino,40838,2026-09-24
2010,2,masculino,40816,2026-09-24
2010,3,masculino,40996,2026-09-24
2010,4,masculino,41479,2026-09-24
2010,5,masculino,42104,2026-09-24
2010,6,masculino,42551,2026-09-24
2010,total,total,6605732,2026-09-24
2011,0,feminino,39203,2026-09-24
2011,1,feminino,38730,2026-09-24
2011,2,feminino,38892,2026-09-24
2011,3,feminino,38974,2026-09-24
2011,4,feminino,39206,2026-09-24
2011,5,feminino,39687,2026-09-24
2011,6,feminino,39910,2026-09-24
2011,0,masculino,41250,2026-09-24
2011,1,masculino,40683,2026-09-24
2011,2,masculino,40758,2026-09-24
2011,3,masculino,40794,2026-09-24
