 VIOLENCIA INTERPESSOAL / AUTOPROVOCADA - Sinan NET
Frequência  por Bairro Resid e Ano da Notific
Munic. Residência: 330455 Rio de Janeiro
Idade detalhada: menor de 01 ano, 01 ano, 02 anos, 03 anos, 04 anos, 05 anos
Conjuge: Sim
Período:2007-2026
"Bairro Resid";"2018";"2019";"2020";"2021";"2025";"Total"
"47       BRAS DE PINA";0;0;1;0;0;1
"51       JARDIM AMERICA";0;0;0;0;1;1
"75       VICENTE DE CARVALHO";1;0;0;0;0;1
"84       CASCADURA";1;0;0;0;0;1
"86       VAZ LOBO";1;0;0;0;0;1
"91       BENTO RIBEIRO";1;0;0;0;0;1
"99       BANCARIOS";0;0;1;0;0;1
"110      PARQUE ANCHIETA";0;0;0;1;0;1
"117      JACAREPAGUA";0;0;0;1;0;1
"130      BARRA DA TIJUCA";1;0;0;0;0;1
"141      REALENGO";0;1;0;1;0;2
"144      SENADOR CAMARA";0;0;0;1;0;1
"146      CAMPO GRANDE";1;0;0;0;0;1
"149      COSMOS";0;0;1;0;0;1
"151      SANTA CRUZ";3;1;1;0;2;7
"152      SEPETIBA";0;0;0;0;1;1
"153      GUARATIBA";0;0;0;1;1;2
"Total";9;2;4;5;5;25
