 VIOLENCIA INTERPESSOAL / AUTOPROVOCADA - Sinan NET
Frequência  por Bairro Resid e Ano da Notific
Munic. Residência: 330455 Rio de Janeiro
Idade detalhada: menor de 01 ano, 01 ano, 02 anos, 03 anos, 04 anos, 05 anos
Ex-Conjuge: Sim
Período:2007-2026
"Bairro Resid";"2018";"2019";"2020";"2021";"2025";"Total"
"87       TURIACU";0;1;0;0;0;1
"91       BENTO RIBEIRO";0;0;1;0;0;1
"109      ANCHIETA";0;1;0;0;0;1
"115      COSTA BARROS";0;1;0;0;0;1
"141      REALENGO";1;0;0;1;0;2
"143      BANGU";0;0;0;1;0;1
"149      COSMOS";0;0;0;0;1;1
"150      PACIENCIA";0;0;0;0;1;1
"151      SANTA CRUZ";1;0;0;0;0;1
"153      GUARATIBA";0;0;0;0;1;1
"Total";2;3;1;2;3;11
