 VIOLENCIA INTERPESSOAL / AUTOPROVOCADA - Sinan NET
Frequência  por Bairro Resid e Ano da Notific
Munic. Residência: 330455 Rio de Janeiro
Idade detalhada: menor de 01 ano, 01 ano, 02 anos, 03 anos, 04 anos, 05 anos
Filha(a): Sim
Período:2007-2026
"Bairro Resid";"2013";"2018";"2019";"2020";"2021";"2025";"2026";"Total"
"5        CENTRO";0;0;0;0;0;1;0;1
"12       BENFICA";0;1;0;0;0;0;0;1
"33       TIJUCA";0;0;0;1;0;1;0;2
"87       TURIACU";0;0;0;1;0;0;0;1
"112      COELHO NETO";0;0;0;0;1;0;0;1
"121      CURICICA";0;0;0;0;0;0;1;1
"130      BARRA DA TIJUCA";0;0;0;0;1;0;0;1
"132      VARGEM PEQUENA";0;1;0;0;0;0;0;1
"144      SENADOR CAMARA";0;0;0;0;1;0;0;1
"149      COSMOS";0;0;0;0;1;0;0;1
"151      SANTA CRUZ";0;1;1;0;0;1;0;3
"152      SEPETIBA";0;0;0;0;1;0;0;1
"153      GUARATIBA";0;0;1;0;0;0;0;1
"156      ROCINHA";1;0;0;0;0;0;0;1
"Total";1;3;2;2;5;3;1;17
