 VIOLENCIA INTERPESSOAL / AUTOPROVOCADA - Sinan NET
Frequência  por Bairro Resid e Ano da Notific
Munic. Residência: 330455 Rio de Janeiro
Idade detalhada: menor de 01 ano, 01 ano, 02 anos, 03 anos, 04 anos, 05 anos
Irmão(a): Sim
Período:2007-2026
"Bairro Resid";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"2        GAMBOA";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"4        CAJU";0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;3
"5        CENTRO";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"6        CATUMBI";0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
"9        ESTACIO";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"10       SAO CRISTOVAO";0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;3
"12       BENFICA";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;3
"14       SANTA TERESA";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"20       BOTAFOGO";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"24       COPACABANA";0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;3
"29       GAVEA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"30       VIDIGAL";0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;3
"33       TIJUCA";0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;4
"38       VILA ISABEL";0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;3
"40       GRAJAU";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"41       MANGUINHOS";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
"42       BONSUCESSO";0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;5
"43       RAMOS";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2
"44       OLARIA";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"45       PENHA";0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;4
"48       CORDOVIL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"49       PARADA DE LUCAS";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"50       VIGARIO GERAL";0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2
"53       JACARE";0;0;0;0;0;0;3;0;2;0;0;0;0;0;1;0;6
"56       INHAUMA";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2
"58       TOMAS COELHO";0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;3
"60       ROCHA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"62       SAMPAIO";0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;3
"63       ENGENHO NOVO";0;0;0;0;0;2;2;0;0;1;0;0;0;1;0;0;6
"64       LINS DE VASCONCELOS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"68       ENGENHO DE DENTRO";0;0;0;0;0;1;0;2;0;0;0;0;1;0;0;0;4
"69       AGUA SANTA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
