 VIOLENCIA INTERPESSOAL / AUTOPROVOCADA - Sinan NET
Frequência  por Bairro Resid e Ano da Notific
Munic. Residência: 330455 Rio de Janeiro
Idade detalhada: menor de 01 ano, 01 ano, 02 anos, 03 anos, 04 anos, 05 anos
Mãe: Sim
Período:2007-2026
"Bairro Resid";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"1        SAUDE";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3
"2        GAMBOA";0;0;0;0;2;0;0;4;1;4;7;0;0;1;2;2;23
"3        SANTO CRISTO";0;0;1;4;3;6;4;0;1;0;0;1;0;0;3;0;23
"4        CAJU";0;2;1;4;3;2;2;4;2;1;0;2;5;5;1;2;36
"5        CENTRO";2;0;3;2;6;4;5;5;0;1;3;3;4;4;3;1;46
"6        CATUMBI";1;1;1;2;5;6;7;7;4;2;6;4;1;3;1;0;51
"7        RIO COMPRIDO";1;2;4;3;1;1;4;6;5;0;1;2;7;3;5;5;50
"8        CIDADE NOVA";0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;4
"9        ESTACIO";0;0;0;2;1;1;3;1;3;3;1;1;2;2;2;4;26
"10       SAO CRISTOVAO";0;0;1;1;1;2;5;4;3;3;2;1;5;8;4;4;44
"11       MANGUEIRA";2;4;1;2;2;2;4;6;2;3;3;2;2;8;4;3;50
"12       BENFICA";2;0;4;6;2;3;5;4;3;5;3;4;6;10;12;17;86
"13       PAQUETA";0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;4
"14       SANTA TERESA";0;0;1;5;0;2;3;3;1;2;1;2;3;8;3;2;36
"15       FLAMENGO";0;0;0;1;0;3;0;1;0;0;0;0;1;0;2;0;8
"16       GLORIA";0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;3
"17       LARANJEIRAS";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"18       CATETE";0;0;1;0;1;0;0;2;0;0;0;0;1;0;2;0;7
"19       COSME VELHO";0;1;0;0;0;0;0;0;2;1;0;0;1;0;0;0;5
"20       BOTAFOGO";0;0;1;0;1;2;1;1;0;0;0;0;0;3;5;2;16
"23       LEME";0;0;0;0;0;0;0;1;0;0;1;0;1;3;4;0;10
"24       COPACABANA";0;2;4;1;1;0;4;2;2;4;0;3;1;6;3;3;36
"25       IPANEMA";0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;3
"26       LEBLON";0;0;0;0;0;0;0;1;0;2;2;0;1;1;2;1;10
"27       LAGOA";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2
"28       JARDIM BOTANICO";0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;3
"29       GAVEA";0;0;1;1;1;0;1;0;0;0;1;1;1;0;1;1;9
"30       VIDIGAL";1;1;1;2;2;0;2;1;1;2;0;2;2;3;3;0;23
"31       SAO CONRADO";0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;4
"32       PRAÇA DA BANDEIRA";0;0;0;1;0;0;0;0;0;0;1;2;1;3;0;4;12
"33       TIJUCA";2;1;6;11;12;8;6;5;5;6;0;5;3;13;16;8;107
"34       ALTO DA BOA VISTA";0;5;5;4;1;1;2;7;1;0;0;0;0;0;0;2;28
"35       MARACANA";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2
"38       VILA ISABEL";1;2;1;6;5;5;11;10;5;4;1;6;8;5;3;5;78
"39       ANDARAI";0;0;1;3;7;0;1;4;1;1;4;8;3;10;8;4;55
"40       GRAJAU";0;0;0;2;0;0;0;0;2;3;4;2;5;2;5;2;27
"41       MANGUINHOS";3;1;2;3;2;2;1;8;7;3;5;4;6;8;14;4;73
"42       BONSUCESSO";5;9;11;7;8;6;14;8;9;13;14;15;4;9;17;8;157
"43       RAMOS";4;15;13;8;3;6;9;7;7;15;22;10;6;7;23;13;168
"44       OLARIA";5;8;1;3;3;5;2;6;6;11;8;13;13;11;6;1;102
"45       PENHA";33;29;15;13;6;1;10;7;6;28;29;31;45;36;34;16;339
"46       PENHA CIRCULAR";2;6;3;4;1;2;2;1;4;13;5;8;13;13;10;3;90
"47       BRAS DE PINA";11;9;5;8;2;2;8;7;7;6;9;7;18;16;14;4;133
"48       CORDOVIL";21;5;8;3;1;3;13;4;4;7;12;10;8;5;14;5;123
"49       PARADA DE LUCAS";2;1;0;2;2;0;1;1;1;4;6;5;8;4;7;4;48
"50       VIGARIO GERAL";1;3;5;4;3;1;3;1;1;2;3;6;6;14;15;4;72
"51       JARDIM AMERICA";2;4;4;4;1;2;0;1;1;0;3;2;7;13;4;3;51
"52       HIGIENOPOLIS";0;1;0;0;0;1;1;0;0;0;0;3;0;1;0;2;9
"53       JACARE";1;1;3;6;5;2;4;8;5;1;4;3;6;14;14;8;85
"54       MARIA DA GRAÇA";0;0;1;1;0;2;1;0;0;0;0;0;0;1;4;0;10
"55       DEL CASTILHO";1;0;2;1;3;2;1;3;5;2;0;1;0;2;6;3;32
"56       INHAUMA";4;11;8;13;9;16;5;15;10;8;6;16;16;13;12;11;173
"57       ENGENHO DA RAINHA";1;0;4;3;3;2;2;1;2;2;0;1;5;4;5;3;38
"58       TOMAS COELHO";1;2;0;0;0;3;4;2;3;0;1;4;3;5;4;2;34
"59       SAO FRANCISCO XAVIER";0;0;1;1;1;1;1;1;0;0;1;0;1;1;0;0;9
"60       ROCHA";0;0;1;0;1;6;0;3;0;1;2;0;2;1;2;1;20
"61       RIACHUELO";1;0;1;0;0;0;1;0;0;1;0;0;0;2;3;1;10
"62       SAMPAIO";1;2;0;4;2;3;1;2;1;0;1;0;3;5;3;5;33
"63       ENGENHO NOVO";1;5;7;3;8;4;3;3;7;7;1;2;5;10;21;3;90
"64       LINS DE VASCONCELOS";0;2;1;0;1;4;1;3;2;2;1;4;4;13;6;11;55
