 VIOLENCIA INTERPESSOAL / AUTOPROVOCADA - Sinan NET
Frequência  por Bairro Resid e Ano da Notific
Munic. Residência: 330455 Rio de Janeiro
Idade detalhada: menor de 01 ano, 01 ano, 02 anos, 03 anos, 04 anos, 05 anos
Padrasto: Sim
Período:2007-2026
"Bairro Resid";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"2        GAMBOA";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"4        CAJU";0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;4
"5        CENTRO";0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4
"6        CATUMBI";0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;5
"7        RIO COMPRIDO";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"8        CIDADE NOVA";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"9        ESTACIO";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2
"10       SAO CRISTOVAO";0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;4
"11       MANGUEIRA";1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3
"12       BENFICA";0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;4
"14       SANTA TERESA";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"17       LARANJEIRAS";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
"19       COSME VELHO";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"20       BOTAFOGO";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
"23       LEME";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"24       COPACABANA";0;0;0;0;1;0;2;1;0;2;1;0;0;0;0;1;8
"30       VIDIGAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"33       TIJUCA";0;0;0;0;0;1;1;0;1;0;1;2;0;2;1;3;12
"34       ALTO DA BOA VISTA";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"38       VILA ISABEL";1;0;3;0;0;0;2;1;0;0;1;0;0;0;2;0;10
"39       ANDARAI";0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;3
"40       GRAJAU";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"41       MANGUINHOS";0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;4
"42       BONSUCESSO";1;1;0;0;0;1;1;0;0;0;0;1;0;1;4;0;10
