 VIOLENCIA INTERPESSOAL / AUTOPROVOCADA - Sinan NET
Frequência  por Bairro Resid e Ano da Notific
Munic. Residência: 330455 Rio de Janeiro
Idade detalhada: menor de 01 ano, 01 ano, 02 anos, 03 anos, 04 anos, 05 anos
Pai: Sim
Período:2007-2026
"Bairro Resid";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"1        SAUDE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"2        GAMBOA";0;0;1;0;1;2;1;1;1;4;3;0;0;1;0;0;15
"3        SANTO CRISTO";0;0;0;3;1;2;1;0;1;0;0;0;0;0;0;0;8
"4        CAJU";0;1;0;2;0;3;0;3;2;0;1;4;4;1;3;2;26
"5        CENTRO";2;0;3;2;4;1;4;1;0;0;0;4;2;2;2;2;29
"6        CATUMBI";0;0;0;1;5;6;4;7;2;2;2;0;0;1;0;0;30
"7        RIO COMPRIDO";0;2;3;0;0;1;3;2;1;0;3;3;7;2;3;4;34
"8        CIDADE NOVA";0;0;0;1;1;0;0;0;1;0;0;0;2;0;0;0;5
"9        ESTACIO";0;0;0;1;1;1;1;3;3;0;0;0;1;3;3;1;18
"10       SAO CRISTOVAO";0;2;0;2;1;2;1;2;1;2;0;3;2;4;1;0;23
"11       MANGUEIRA";0;2;0;1;0;0;4;3;1;4;2;1;0;3;2;1;24
"12       BENFICA";0;0;1;4;1;2;3;2;4;3;2;1;5;6;10;11;55
"13       PAQUETA";0;0;0;0;0;0;0;3;0;0;0;0;1;2;0;0;6
"14       SANTA TERESA";0;0;0;4;0;0;2;1;0;1;0;2;2;4;4;1;21
"15       FLAMENGO";0;1;0;0;0;0;0;0;2;1;0;0;1;1;2;0;8
"16       GLORIA";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"17       LARANJEIRAS";0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;4
"18       CATETE";0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;3
"19       COSME VELHO";0;0;0;0;0;0;0;1;2;2;0;0;1;0;0;0;6
"20       BOTAFOGO";1;0;0;0;0;0;0;0;0;2;0;1;0;0;4;1;9
"21       HUMAITA";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"22       URCA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"23       LEME";0;0;0;0;1;1;0;0;0;0;1;0;0;1;3;0;7
