,ano,peso_muito_baixo_bruto,peso_muito_baixo_percentual,peso_baixo_bruto,peso_baixo_percentual,peso_adequado_bruto,peso_adequado_percentual,peso_elevado_bruto,peso_elevado_percentual,total
0,2008,169,0.96%,438,2.48%,15910,90.03%,1154,6.53%,17671
1,2009,196,0.85%,569,2.45%,20672,89.13%,1757,7.58%,23194
2,2010,262,1.12%,610,2.61%,20507,87.75%,1992,8.52%,23371
3,2011,181,0.98%,492,2.67%,15851,86.01%,1905,10.34%,18429
4,2012,294,1.06%,628,2.25%,24441,87.73%,2495,8.96%,27858
5,2013,964,2.02%,1462,3.07%,40112,84.21%,5098,10.7%,47636
6,2014,748,1.29%,1610,2.78%,50380,86.95%,5203,8.98%,57941
7,2015,951,1.36%,2261,3.23%,61127,87.42%,5583,7.98%,69922
8,2016,986,1.82%,2187,4.04%,46908,86.72%,4009,7.41%,54090
9,2017,1614,2.61%,2222,3.6%,53827,87.18%,4078,6.61%,61741
10,2018,9707,12.12%,2689,3.36%,62619,78.19%,5070,6.33%,80085
11,2019,2469,2.6%,4131,4.34%,81422,85.58%,7122,7.49%,95144
12,2020,2684,1.92%,5332,3.81%,121472,86.7%,10623,7.58%,140111
13,2021,2795,2.01%,5007,3.59%,121050,86.86%,10506,7.54%,139358
14,2022,3484,2.2%,5787,3.65%,137472,86.77%,11684,7.38%,158427
15,2023,4074,0.02,7575,3.72%,177453,87.15%,14517,7.13%,203619
16,2024,3639,1.69%,7749,3.6%,189359,87.98%,14479,6.73%,215226
17,2025,7115,3.31%,9100,4.23%,186262,86.58%,12655,5.88%,215132
18,2026,3332,2.75%,4526,3.74%,106781,88.13%,6530,5.39%,121169
