ano,1. Causas evitáveis,2. Causas mal definidas,3. Demais causas (não claramente evitáveis)
1996,889.0,36.0,160.0
1997,849.0,26.0,151.0
1998,714.0,23.0,130.0
1999,708.0,17.0,148.0
2000,653.0,25.0,127.0
2001,558.0,16.0,148.0
2002,557.0,9.0,137.0
2003,504.0,15.0,156.0
2004,449.0,13.0,190.0
2005,404.0,8.0,122.0
2006,444.0,8.0,110.0
2007,377.0,5.0,115.0
2008,379.0,7.0,118.0
2009,455.0,6.0,93.0
2010,417.0,6.0,114.0
2011,375.0,1.0,117.0
2012,400.0,7.0,107.0
2013,420.0,6.0,112.0
2014,377.0,2.0,113.0
2015,408.0,6.0,104.0
2016,393.0,9.0,117.0
2017,337.0,2.0,110.0
2018,366.0,1.0,85.0
2019,339.0,1.0,92.0
2020,325.0,1.0,86.0
2021,301.0,4.0,86.0
2022,285.0,1.0,74.0
2023,276.0,1.0,69.0
2024,246.0,5.0,71.0
2025,269.0,2.0,62.0
