ano,1. Causas evitáveis,2. Causas mal definidas,3. Demais causas (não claramente evitáveis)
1996,1599.0,163.0,376.0
1997,1542.0,131.0,379.0
1998,1295.0,153.0,339.0
1999,1295.0,134.0,395.0
2000,1171.0,146.0,340.0
2001,992.0,87.0,332.0
2002,923.0,100.0,323.0
2003,910.0,110.0,362.0
2004,827.0,107.0,405.0
2005,790.0,79.0,301.0
2006,779.0,65.0,284.0
2007,728.0,49.0,301.0
2008,772.0,44.0,315.0
2009,835.0,42.0,293.0
2010,727.0,54.0,316.0
2011,711.0,48.0,322.0
2012,768.0,42.0,310.0
2013,782.0,39.0,294.0
2014,685.0,34.0,303.0
2015,763.0,38.0,295.0
2016,733.0,33.0,301.0
2017,640.0,30.0,278.0
2018,665.0,25.0,278.0
2019,640.0,25.0,268.0
2020,603.0,27.0,255.0
2021,592.0,26.0,222.0
2022,518.0,14.0,235.0
2023,527.0,10.0,234.0
2024,469.0,16.0,224.0
2025,502.0,15.0,206.0
