ano,1.1. Reduzível pelas ações de imunização,1.2.1 Reduzíveis atenção à mulher na gestação,1.2.2 Reduz por adequada atenção à mulher no parto,1.2.3 Reduzíveis adequada atenção ao recém-nascido,1.3. Reduz ações diagnóstico e tratamento adequado,1.4. Reduz. ações promoção vinc. ações de atenção,2. Causas mal definidas
1996,1.0,355.0,152.0,370.0,4.0,7.0,36.0
1997,1.0,342.0,153.0,343.0,3.0,7.0,26.0
1998,0.0,316.0,154.0,236.0,2.0,6.0,23.0
1999,0.0,336.0,132.0,233.0,4.0,3.0,17.0
2000,0.0,322.0,132.0,196.0,1.0,2.0,25.0
2001,0.0,262.0,107.0,186.0,2.0,1.0,16.0
2002,0.0,303.0,93.0,158.0,1.0,2.0,9.0
2003,0.0,243.0,94.0,166.0,0.0,1.0,15.0
2004,0.0,255.0,70.0,123.0,1.0,0.0,13.0
2005,0.0,227.0,58.0,116.0,0.0,3.0,8.0
2006,0.0,255.0,68.0,117.0,3.0,1.0,8.0
2007,0.0,211.0,88.0,76.0,1.0,1.0,5.0
2008,0.0,214.0,80.0,85.0,0.0,0.0,7.0
2009,0.0,269.0,89.0,96.0,0.0,1.0,6.0
2010,0.0,260.0,74.0,81.0,0.0,2.0,6.0
2011,0.0,241.0,68.0,65.0,1.0,0.0,1.0
2012,0.0,271.0,57.0,67.0,2.0,3.0,7.0
2013,0.0,281.0,53.0,86.0,0.0,0.0,6.0
2014,0.0,238.0,53.0,85.0,1.0,0.0,2.0
2015,0.0,242.0,70.0,96.0,0.0,0.0,6.0
2016,0.0,235.0,58.0,100.0,0.0,0.0,9.0
2017,0.0,213.0,62.0,58.0,2.0,2.0,2.0
2018,0.0,229.0,66.0,70.0,1.0,0.0,1.0
2019,0.0,191.0,84.0,63.0,1.0,0.0,1.0
2020,0.0,199.0,63.0,62.0,0.0,1.0,1.0
2021,0.0,172.0,60.0,68.0,0.0,1.0,4.0
2022,0.0,167.0,56.0,59.0,2.0,1.0,1.0
2023,0.0,168.0,56.0,50.0,1.0,1.0,1.0
2024,0.0,174.0,42.0,30.0,0.0,0.0,5.0
2025,0.0,183.0,50.0,36.0,0.0,0.0,2.0
