cod_ap_sms,ano,faixa_etaria,1. Causas evitáveis,2. Causas mal definidas,3. Demais causas (não claramente evitáveis),total,percentual_evitaveis
1.0,2006,de 1 a 4 anos,8,0,8,16,50.0
1.0,2006,menores de 1 ano,56,3,22,81,69.14
1.0,2006,menores de 5 anos,64,3,30,97,65.98
1.0,2007,de 1 a 4 anos,6,2,6,14,42.86
1.0,2007,menores de 1 ano,45,3,22,70,64.29
1.0,2007,menores de 5 anos,51,5,28,84,60.71
1.0,2008,de 1 a 4 anos,7,2,6,15,46.67
1.0,2008,menores de 1 ano,47,3,18,68,69.12
1.0,2008,menores de 5 anos,54,5,24,83,65.06
1.0,2009,de 1 a 4 anos,9,2,4,15,60.0
1.0,2009,menores de 1 ano,58,1,23,82,70.73
1.0,2009,menores de 5 anos,67,3,27,97,69.07
1.0,2010,de 1 a 4 anos,12,1,5,18,66.67
1.0,2010,menores de 1 ano,38,8,16,62,61.29
1.0,2010,menores de 5 anos,50,9,21,80,62.5
1.0,2011,de 1 a 4 anos,7,2,6,15,46.67
1.0,2011,menores de 1 ano,34,4,20,58,58.62
1.0,2011,menores de 5 anos,41,6,26,73,56.16
1.0,2012,de 1 a 4 anos,7,1,5,13,53.85
1.0,2012,menores de 1 ano,38,2,10,50,76.0
1.0,2012,menores de 5 anos,45,3,15,63,71.43
1.0,2013,de 1 a 4 anos,4,1,5,10,40.0
1.0,2013,menores de 1 ano,45,1,17,63,71.43
1.0,2013,menores de 5 anos,49,2,22,73,67.12
1.0,2014,de 1 a 4 anos,4,0,3,7,57.14
1.0,2014,menores de 1 ano,36,1,13,50,72.0
1.0,2014,menores de 5 anos,40,1,16,57,70.18
1.0,2015,de 1 a 4 anos,5,0,3,8,62.5
1.0,2015,menores de 1 ano,48,2,17,67,71.64
1.0,2015,menores de 5 anos,53,2,20,75,70.67
1.0,2016,de 1 a 4 anos,1,0,4,5,20.0
1.0,2016,menores de 1 ano,37,2,8,47,78.72
1.0,2016,menores de 5 anos,38,2,12,52,73.08
1.0,2017,de 1 a 4 anos,3,1,4,8,37.5
1.0,2017,menores de 1 ano,40,0,10,50,80.0
1.0,2017,menores de 5 anos,43,1,14,58,74.14
1.0,2018,de 1 a 4 anos,2,0,6,8,25.0
1.0,2018,menores de 1 ano,28,0,11,39,71.79
1.0,2018,menores de 5 anos,30,0,17,47,63.83
1.0,2019,de 1 a 4 anos,6,0,8,14,42.86
1.0,2019,menores de 1 ano,27,2,18,47,57.45
1.0,2019,menores de 5 anos,33,2,26,61,54.1
1.0,2020,de 1 a 4 anos,2,0,2,4,50.0
1.0,2020,menores de 1 ano,27,0,10,37,72.97
1.0,2020,menores de 5 anos,29,0,12,41,70.73
1.0,2021,de 1 a 4 anos,3,0,3,6,50.0
1.0,2021,menores de 1 ano,33,1,13,47,70.21
1.0,2021,menores de 5 anos,36,1,16,53,67.92
1.0,2022,de 1 a 4 anos,1,1,7,9,11.11
1.0,2022,menores de 1 ano,33,2,9,44,75.0
1.0,2022,menores de 5 anos,34,3,16,53,64.15
1.0,2023,de 1 a 4 anos,5,0,4,9,55.56
1.0,2023,menores de 1 ano,22,0,10,32,68.75
1.0,2023,menores de 5 anos,27,0,14,41,65.85
1.0,2024,de 1 a 4 anos,2,1,3,6,33.33
1.0,2024,menores de 1 ano,33,1,2,36,91.67
1.0,2024,menores de 5 anos,35,2,5,42,83.33
1.0,2025,de 1 a 4 anos,1,0,4,5,20.0
1.0,2025,menores de 1 ano,27,0,11,38,71.05
1.0,2025,menores de 5 anos,28,0,15,43,65.12
2.1,2006,de 1 a 4 anos,3,0,4,7,42.86
2.1,2006,menores de 1 ano,40,3,19,62,64.52
2.1,2006,menores de 5 anos,43,3,23,69,62.32
2.1,2007,de 1 a 4 anos,3,1,10,14,21.43
2.1,2007,menores de 1 ano,36,0,17,53,67.92
2.1,2007,menores de 5 anos,39,1,27,67,58.21
2.1,2008,de 1 a 4 anos,3,1,4,8,37.5
2.1,2008,menores de 1 ano,35,2,24,61,57.38
2.1,2008,menores de 5 anos,38,3,28,69,55.07
2.1,2009,de 1 a 4 anos,1,0,7,8,12.5
2.1,2009,menores de 1 ano,42,2,7,51,82.35
2.1,2009,menores de 5 anos,43,2,14,59,72.88
2.1,2010,de 1 a 4 anos,8,1,6,15,53.33
2.1,2010,menores de 1 ano,42,0,15,57,73.68
2.1,2010,menores de 5 anos,50,1,21,72,69.44
2.1,2011,de 1 a 4 anos,2,2,5,9,22.22
2.1,2011,menores de 1 ano,42,3,13,58,72.41
2.1,2011,menores de 5 anos,44,5,18,67,65.67
2.1,2012,de 1 a 4 anos,3,1,2,6,50.0
2.1,2012,menores de 1 ano,24,1,16,41,58.54
2.1,2012,menores de 5 anos,27,2,18,47,57.45
2.1,2013,de 1 a 4 anos,2,1,6,9,22.22
2.1,2013,menores de 1 ano,40,0,19,59,67.8
2.1,2013,menores de 5 anos,42,1,25,68,61.76
2.1,2014,de 1 a 4 anos,2,1,2,5,40.0
2.1,2014,menores de 1 ano,42,2,14,58,72.41
2.1,2014,menores de 5 anos,44,3,16,63,69.84
2.1,2015,de 1 a 4 anos,7,0,5,12,58.33
2.1,2015,menores de 1 ano,21,3,24,48,43.75
2.1,2015,menores de 5 anos,28,3,29,60,46.67
2.1,2016,de 1 a 4 anos,3,0,4,7,42.86
2.1,2016,menores de 1 ano,29,1,19,49,59.18
2.1,2016,menores de 5 anos,32,1,23,56,57.14
2.1,2017,de 1 a 4 anos,4,1,6,11,36.36
2.1,2017,menores de 1 ano,25,1,17,43,58.14
2.1,2017,menores de 5 anos,29,2,23,54,53.7
2.1,2018,de 1 a 4 anos,5,0,2,7,71.43
2.1,2018,menores de 1 ano,28,0,21,49,57.14
2.1,2018,menores de 5 anos,33,0,23,56,58.93
2.1,2019,de 1 a 4 anos,3,0,6,9,33.33
2.1,2019,menores de 1 ano,25,2,16,43,58.14
2.1,2019,menores de 5 anos,28,2,22,52,53.85
2.1,2020,de 1 a 4 anos,2,0,4,6,33.33
2.1,2020,menores de 1 ano,30,0,13,43,69.77
2.1,2020,menores de 5 anos,32,0,17,49,65.31
2.1,2021,de 1 a 4 anos,2,1,4,7,28.57
2.1,2021,menores de 1 ano,29,1,12,42,69.05
2.1,2021,menores de 5 anos,31,2,16,49,63.27
2.1,2022,de 1 a 4 anos,1,2,2,5,20.0
2.1,2022,menores de 1 ano,21,1,8,30,70.0
2.1,2022,menores de 5 anos,22,3,10,35,62.86
2.1,2023,de 1 a 4 anos,2,0,2,4,50.0
2.1,2023,menores de 1 ano,20,1,14,35,57.14
2.1,2023,menores de 5 anos,22,1,16,39,56.41
2.1,2024,de 1 a 4 anos,2,0,1,3,66.67
2.1,2024,menores de 1 ano,23,1,17,41,56.1
2.1,2024,menores de 5 anos,25,1,18,44,56.82
2.1,2025,de 1 a 4 anos,2,0,1,3,66.67
2.1,2025,menores de 1 ano,12,4,16,32,37.5
2.1,2025,menores de 5 anos,14,4,17,35,40.0
2.2,2006,de 1 a 4 anos,5,0,7,12,41.67
2.2,2006,menores de 1 ano,26,2,7,35,74.29
2.2,2006,menores de 5 anos,31,2,14,47,65.96
2.2,2007,de 1 a 4 anos,4,1,8,13,30.77
2.2,2007,menores de 1 ano,34,3,10,47,72.34
2.2,2007,menores de 5 anos,38,4,18,60,63.33
2.2,2008,de 1 a 4 anos,4,0,3,7,57.14
2.2,2008,menores de 1 ano,26,1,13,40,65.0
2.2,2008,menores de 5 anos,30,1,16,47,63.83
2.2,2009,de 1 a 4 anos,3,1,5,9,33.33
2.2,2009,menores de 1 ano,28,1,14,43,65.12
2.2,2009,menores de 5 anos,31,2,19,52,59.62
2.2,2010,de 1 a 4 anos,2,3,4,9,22.22
2.2,2010,menores de 1 ano,19,1,10,30,63.33
2.2,2010,menores de 5 anos,21,4,14,39,53.85
2.2,2011,de 1 a 4 anos,2,0,2,4,50.0
2.2,2011,menores de 1 ano,18,1,16,35,51.43
2.2,2011,menores de 5 anos,20,1,18,39,51.28
2.2,2012,de 1 a 4 anos,2,1,6,9,22.22
2.2,2012,menores de 1 ano,18,0,12,30,60.0
2.2,2012,menores de 5 anos,20,1,18,39,51.28
2.2,2013,de 1 a 4 anos,3,0,5,8,37.5
2.2,2013,menores de 1 ano,20,1,11,32,62.5
2.2,2013,menores de 5 anos,23,1,16,40,57.5
2.2,2014,de 1 a 4 anos,1,0,8,9,11.11
2.2,2014,menores de 1 ano,11,1,8,20,55.0
2.2,2014,menores de 5 anos,12,1,16,29,41.38
2.2,2015,de 1 a 4 anos,3,0,5,8,37.5
2.2,2015,menores de 1 ano,18,1,12,31,58.06
2.2,2015,menores de 5 anos,21,1,17,39,53.85
