ano,obitos_amarela,obitos_branca,obitos_indigena,obitos_parda,obitos_preta,obitos_nao_informado,nascidos_amarela,nascidos_branca,nascidos_indigena,nascidos_parda,nascidos_preta,nascidos_nao_informado,percentual_amarela,percentual_branca,percentual_indigena,percentual_parda,percentual_preta,percentual_nao_informado,obitos_amarela_indigena,nascidos_amarela_indigena,percentual_amarela_indigena,taxa_mortalidade_amarela,taxa_mortalidade_branca,taxa_mortalidade_indigena,taxa_mortalidade_parda,taxa_mortalidade_preta,taxa_mortalidade_nao_informado,taxa_mortalidade_amarela_indigena
2006,0.0,468.0,0.0,373.0,89.0,167.0,,,,,,,,,,,,,0.0,,,,,,,,,
2007,0.0,441.0,1.0,425.0,74.0,145.0,,,,,,,,,,,,,1.0,,,,,,,,,
2008,0.0,440.0,0.0,449.0,85.0,137.0,,,,,,,,,,,,,0.0,,,,,,,,,
2009,0.0,459.0,0.0,456.0,109.0,121.0,,,,,,,,,,,,,0.0,,,,,,,,,
2010,3.0,438.0,0.0,477.0,78.0,86.0,,,,,,,,,,,,,3.0,,,,,,,,,
2011,1.0,443.0,1.0,456.0,86.0,84.0,187.0,25203.0,36.0,23058.0,6026.0,31215.0,0.53,1.76,2.78,1.98,1.43,0.27,2.0,223.0,0.9,5.35,17.58,27.78,19.78,14.27,2.69,8.97
2012,0.0,481.0,0.0,469.0,60.0,86.0,253.0,35276.0,49.0,39358.0,9710.0,1375.0,0.0,1.36,0.0,1.19,0.62,6.25,0.0,302.0,0.0,0.0,13.64,0.0,11.92,6.18,62.55,0.0
2013,0.0,422.0,0.0,535.0,61.0,91.0,350.0,34911.0,53.0,41993.0,9227.0,889.0,0.0,1.21,0.0,1.27,0.66,10.24,0.0,403.0,0.0,0.0,12.09,0.0,12.74,6.61,102.36,0.0
2014,0.0,403.0,0.0,485.0,55.0,74.0,367.0,33847.0,53.0,46182.0,8337.0,974.0,0.0,1.19,0.0,1.05,0.66,7.6,0.0,420.0,0.0,0.0,11.91,0.0,10.5,6.6,75.98,0.0
2015,3.0,419.0,0.0,529.0,49.0,97.0,289.0,33108.0,44.0,47308.0,8003.0,1551.0,1.04,1.27,0.0,1.12,0.61,6.25,3.0,333.0,0.9,10.38,12.66,0.0,11.18,6.12,62.54,9.01
2016,1.0,412.0,2.0,502.0,58.0,85.0,214.0,30312.0,49.0,43417.0,7779.0,1083.0,0.47,1.36,4.08,1.16,0.75,7.85,3.0,263.0,1.14,4.67,13.59,40.82,11.56,7.46,78.49,11.41
2017,0.0,340.0,1.0,449.0,79.0,81.0,168.0,30215.0,43.0,43963.0,8283.0,1667.0,0.0,1.13,2.33,1.02,0.95,4.86,1.0,211.0,0.47,0.0,11.25,23.26,10.21,9.54,48.59,4.74
2018,0.0,332.0,0.0,472.0,55.0,106.0,229.0,29414.0,55.0,42342.0,9054.0,1390.0,0.0,1.13,0.0,1.11,0.61,7.63,0.0,284.0,0.0,0.0,11.29,0.0,11.15,6.07,76.26,0.0
2019,2.0,367.0,0.0,427.0,51.0,84.0,321.0,26822.0,55.0,38600.0,9079.0,1600.0,0.62,1.37,0.0,1.11,0.56,5.25,2.0,376.0,0.53,6.23,13.68,0.0,11.06,5.62,52.5,5.32
2020,1.0,322.0,1.0,434.0,51.0,73.0,450.0,23945.0,73.0,35764.0,9912.0,2270.0,0.22,1.34,1.37,1.21,0.51,3.22,2.0,523.0,0.38,2.22,13.45,13.7,12.14,5.15,32.16,3.82
2021,1.0,287.0,0.0,440.0,49.0,62.0,409.0,22156.0,62.0,33633.0,9736.0,648.0,0.24,1.3,0.0,1.31,0.5,9.57,1.0,471.0,0.21,2.44,12.95,0.0,13.08,5.03,95.68,2.12
2022,2.0,297.0,1.0,375.0,77.0,53.0,407.0,21530.0,72.0,30188.0,10075.0,2418.0,0.49,1.38,1.39,1.24,0.76,2.19,3.0,479.0,0.63,4.91,13.79,13.89,12.42,7.64,21.92,6.26
2023,2.0,288.0,0.0,425.0,67.0,36.0,454.0,21743.0,72.0,29550.0,10543.0,425.0,0.44,1.32,0.0,1.44,0.64,8.47,2.0,526.0,0.38,4.41,13.25,0.0,14.38,6.35,84.71,3.8
2024,2.0,284.0,0.0,360.0,57.0,48.0,285.0,20311.0,82.0,26659.0,9742.0,553.0,0.7,1.4,0.0,1.35,0.59,8.68,2.0,367.0,0.54,7.02,13.98,0.0,13.5,5.85,86.8,5.45
2025,0.0,272.0,1.0,396.0,57.0,47.0,234.0,20448.0,69.0,27610.0,10281.0,529.0,0.0,1.33,1.45,1.43,0.55,8.88,1.0,303.0,0.33,0.0,13.3,14.49,14.34,5.54,88.85,3.3
