cod_ap_sms,subgrupo,ano,obitos
1.0,1.1. Reduzível pelas ações de imunização,2006,0
1.0,1.1. Reduzível pelas ações de imunização,2007,0
1.0,1.1. Reduzível pelas ações de imunização,2008,0
1.0,1.1. Reduzível pelas ações de imunização,2009,0
1.0,1.1. Reduzível pelas ações de imunização,2010,0
1.0,1.1. Reduzível pelas ações de imunização,2011,0
1.0,1.1. Reduzível pelas ações de imunização,2012,0
1.0,1.1. Reduzível pelas ações de imunização,2013,0
1.0,1.1. Reduzível pelas ações de imunização,2014,0
1.0,1.1. Reduzível pelas ações de imunização,2015,0
1.0,1.1. Reduzível pelas ações de imunização,2016,0
1.0,1.1. Reduzível pelas ações de imunização,2017,0
1.0,1.1. Reduzível pelas ações de imunização,2018,0
1.0,1.1. Reduzível pelas ações de imunização,2019,0
1.0,1.1. Reduzível pelas ações de imunização,2020,0
1.0,1.1. Reduzível pelas ações de imunização,2021,0
1.0,1.1. Reduzível pelas ações de imunização,2022,1
1.0,1.1. Reduzível pelas ações de imunização,2023,0
1.0,1.1. Reduzível pelas ações de imunização,2024,0
1.0,1.1. Reduzível pelas ações de imunização,2025,0
1.0,1.2.1. Red por at à mulher na gestação,2006,0
1.0,1.2.1. Red por at à mulher na gestação,2007,0
1.0,1.2.1. Red por at à mulher na gestação,2008,0
1.0,1.2.1. Red por at à mulher na gestação,2009,0
1.0,1.2.1. Red por at à mulher na gestação,2010,1
1.0,1.2.1. Red por at à mulher na gestação,2011,0
1.0,1.2.1. Red por at à mulher na gestação,2012,2
1.0,1.2.1. Red por at à mulher na gestação,2013,0
1.0,1.2.1. Red por at à mulher na gestação,2014,0
1.0,1.2.1. Red por at à mulher na gestação,2015,0
1.0,1.2.1. Red por at à mulher na gestação,2016,0
1.0,1.2.1. Red por at à mulher na gestação,2017,0
1.0,1.2.1. Red por at à mulher na gestação,2018,0
1.0,1.2.1. Red por at à mulher na gestação,2019,0
1.0,1.2.1. Red por at à mulher na gestação,2020,0
1.0,1.2.1. Red por at à mulher na gestação,2021,0
1.0,1.2.1. Red por at à mulher na gestação,2022,0
1.0,1.2.1. Red por at à mulher na gestação,2023,0
1.0,1.2.1. Red por at à mulher na gestação,2024,0
1.0,1.2.1. Red por at à mulher na gestação,2025,0
1.0,1.2.2. Red por at à mulher no parto,2006,0
1.0,1.2.2. Red por at à mulher no parto,2007,0
1.0,1.2.2. Red por at à mulher no parto,2008,0
1.0,1.2.2. Red por at à mulher no parto,2009,0
1.0,1.2.2. Red por at à mulher no parto,2010,0
1.0,1.2.2. Red por at à mulher no parto,2011,0
1.0,1.2.2. Red por at à mulher no parto,2012,0
1.0,1.2.2. Red por at à mulher no parto,2013,0
1.0,1.2.2. Red por at à mulher no parto,2014,0
1.0,1.2.2. Red por at à mulher no parto,2015,0
1.0,1.2.2. Red por at à mulher no parto,2016,0
1.0,1.2.2. Red por at à mulher no parto,2017,0
1.0,1.2.2. Red por at à mulher no parto,2018,0
1.0,1.2.2. Red por at à mulher no parto,2019,0
1.0,1.2.2. Red por at à mulher no parto,2020,0
1.0,1.2.2. Red por at à mulher no parto,2021,0
1.0,1.2.2. Red por at à mulher no parto,2022,0
1.0,1.2.2. Red por at à mulher no parto,2023,0
1.0,1.2.2. Red por at à mulher no parto,2024,0
1.0,1.2.2. Red por at à mulher no parto,2025,0
1.0,1.2.3. Red por at ao recém-nascido,2006,1
1.0,1.2.3. Red por at ao recém-nascido,2007,0
1.0,1.2.3. Red por at ao recém-nascido,2008,0
1.0,1.2.3. Red por at ao recém-nascido,2009,0
1.0,1.2.3. Red por at ao recém-nascido,2010,0
1.0,1.2.3. Red por at ao recém-nascido,2011,0
1.0,1.2.3. Red por at ao recém-nascido,2012,0
1.0,1.2.3. Red por at ao recém-nascido,2013,0
1.0,1.2.3. Red por at ao recém-nascido,2014,0
1.0,1.2.3. Red por at ao recém-nascido,2015,0
1.0,1.2.3. Red por at ao recém-nascido,2016,0
1.0,1.2.3. Red por at ao recém-nascido,2017,0
1.0,1.2.3. Red por at ao recém-nascido,2018,0
1.0,1.2.3. Red por at ao recém-nascido,2019,0
1.0,1.2.3. Red por at ao recém-nascido,2020,0
1.0,1.2.3. Red por at ao recém-nascido,2021,0
1.0,1.2.3. Red por at ao recém-nascido,2022,0
1.0,1.2.3. Red por at ao recém-nascido,2023,0
1.0,1.2.3. Red por at ao recém-nascido,2024,0
1.0,1.2.3. Red por at ao recém-nascido,2025,0
1.0,1.3. Red por ações de diag e trat adequado,2006,2
1.0,1.3. Red por ações de diag e trat adequado,2007,3
1.0,1.3. Red por ações de diag e trat adequado,2008,3
1.0,1.3. Red por ações de diag e trat adequado,2009,6
1.0,1.3. Red por ações de diag e trat adequado,2010,5
1.0,1.3. Red por ações de diag e trat adequado,2011,5
1.0,1.3. Red por ações de diag e trat adequado,2012,2
1.0,1.3. Red por ações de diag e trat adequado,2013,3
1.0,1.3. Red por ações de diag e trat adequado,2014,2
1.0,1.3. Red por ações de diag e trat adequado,2015,4
1.0,1.3. Red por ações de diag e trat adequado,2016,0
1.0,1.3. Red por ações de diag e trat adequado,2017,1
1.0,1.3. Red por ações de diag e trat adequado,2018,1
1.0,1.3. Red por ações de diag e trat adequado,2019,5
1.0,1.3. Red por ações de diag e trat adequado,2020,2
1.0,1.3. Red por ações de diag e trat adequado,2021,3
1.0,1.3. Red por ações de diag e trat adequado,2022,0
1.0,1.3. Red por ações de diag e trat adequado,2023,2
1.0,1.3. Red por ações de diag e trat adequado,2024,1
1.0,1.3. Red por ações de diag e trat adequado,2025,0
1.0,1.4. Red por ações promoção vinc a atenção,2006,5
1.0,1.4. Red por ações promoção vinc a atenção,2007,3
1.0,1.4. Red por ações promoção vinc a atenção,2008,4
1.0,1.4. Red por ações promoção vinc a atenção,2009,3
1.0,1.4. Red por ações promoção vinc a atenção,2010,6
1.0,1.4. Red por ações promoção vinc a atenção,2011,2
1.0,1.4. Red por ações promoção vinc a atenção,2012,3
1.0,1.4. Red por ações promoção vinc a atenção,2013,1
1.0,1.4. Red por ações promoção vinc a atenção,2014,2
1.0,1.4. Red por ações promoção vinc a atenção,2015,1
1.0,1.4. Red por ações promoção vinc a atenção,2016,1
1.0,1.4. Red por ações promoção vinc a atenção,2017,2
1.0,1.4. Red por ações promoção vinc a atenção,2018,1
1.0,1.4. Red por ações promoção vinc a atenção,2019,1
1.0,1.4. Red por ações promoção vinc a atenção,2020,0
1.0,1.4. Red por ações promoção vinc a atenção,2021,0
1.0,1.4. Red por ações promoção vinc a atenção,2022,0
1.0,1.4. Red por ações promoção vinc a atenção,2023,3
1.0,1.4. Red por ações promoção vinc a atenção,2024,1
1.0,1.4. Red por ações promoção vinc a atenção,2025,1
1.0,2. Causas mal definidas,2006,0
1.0,2. Causas mal definidas,2007,2
1.0,2. Causas mal definidas,2008,2
1.0,2. Causas mal definidas,2009,2
