cod_ap_sms,ano,obitos
1.0,2006,97
1.0,2007,84
1.0,2008,83
1.0,2009,97
1.0,2010,80
1.0,2011,73
1.0,2012,63
1.0,2013,73
1.0,2014,57
1.0,2015,75
1.0,2016,52
1.0,2017,58
1.0,2018,47
1.0,2019,61
1.0,2020,41
1.0,2021,53
1.0,2022,53
1.0,2023,41
1.0,2024,42
1.0,2025,43
2.1,2006,69
2.1,2007,67
2.1,2008,69
2.1,2009,59
2.1,2010,72
2.1,2011,67
2.1,2012,47
2.1,2013,68
2.1,2014,63
2.1,2015,60
2.1,2016,56
2.1,2017,54
2.1,2018,56
2.1,2019,52
2.1,2020,49
2.1,2021,49
2.1,2022,35
2.1,2023,39
2.1,2024,44
2.1,2025,35
2.2,2006,47
2.2,2007,60
2.2,2008,47
2.2,2009,52
2.2,2010,39
2.2,2011,39
2.2,2012,39
2.2,2013,40
2.2,2014,29
2.2,2015,39
2.2,2016,35
2.2,2017,40
2.2,2018,45
2.2,2019,28
2.2,2020,30
2.2,2021,29
2.2,2022,27
2.2,2023,26
2.2,2024,25
2.2,2025,20
3.1,2006,160
3.1,2007,177
3.1,2008,197
3.1,2009,179
3.1,2010,168
3.1,2011,170
3.1,2012,178
3.1,2013,175
3.1,2014,158
3.1,2015,176
3.1,2016,198
3.1,2017,165
3.1,2018,166
3.1,2019,156
3.1,2020,148
3.1,2021,116
3.1,2022,139
3.1,2023,144
3.1,2024,126
3.1,2025,115
3.2,2006,112
3.2,2007,116
3.2,2008,104
3.2,2009,122
3.2,2010,103
3.2,2011,99
3.2,2012,99
3.2,2013,102
3.2,2014,100
3.2,2015,92
3.2,2016,94
3.2,2017,93
3.2,2018,76
3.2,2019,86
3.2,2020,67
3.2,2021,67
3.2,2022,66
3.2,2023,70
3.2,2024,60
3.2,2025,67
3.3,2006,197
3.3,2007,189
3.3,2008,218
3.3,2009,203
3.3,2010,233
3.3,2011,182
3.3,2012,207
3.3,2013,224
3.3,2014,187
3.3,2015,208
3.3,2016,175
3.3,2017,179
3.3,2018,196
3.3,2019,198
3.3,2020,131
3.3,2021,164
3.3,2022,164
3.3,2023,157
3.3,2024,109
3.3,2025,131
4.0,2006,166
4.0,2007,153
4.0,2008,162
4.0,2009,181
4.0,2010,196
4.0,2011,180
4.0,2012,188
4.0,2013,167
4.0,2014,173
4.0,2015,185
4.0,2016,184
4.0,2017,184
4.0,2018,156
4.0,2019,146
4.0,2020,144
4.0,2021,141
4.0,2022,141
4.0,2023,156
4.0,2024,125
4.0,2025,150
5.1,2006,178
5.1,2007,145
5.1,2008,136
5.1,2009,161
5.1,2010,155
5.1,2011,164
5.1,2012,176
5.1,2013,157
5.1,2014,130
5.1,2015,143
5.1,2016,141
5.1,2017,112
5.1,2018,116
5.1,2019,114
5.1,2020,126
5.1,2021,116
5.1,2022,74
5.1,2023,95
5.1,2024,96
5.1,2025,88
5.2,2006,171
5.2,2007,165
5.2,2008,167
5.2,2009,151
5.2,2010,150
5.2,2011,156
5.2,2012,151
5.2,2013,141
5.2,2014,153
5.2,2015,143
5.2,2016,151
5.2,2017,155
5.2,2018,142
5.2,2019,145
5.2,2020,163
5.2,2021,134
5.2,2022,135
5.2,2023,126
5.2,2024,107
5.2,2025,115
5.3,2006,114
5.3,2007,113
5.3,2008,110
5.3,2009,128
5.3,2010,93
5.3,2011,109
5.3,2012,123
5.3,2013,128
5.3,2014,124
5.3,2015,126
5.3,2016,149
5.3,2017,90
5.3,2018,116
5.3,2019,111
5.3,2020,103
5.3,2021,99
5.3,2022,89
5.3,2023,83
5.3,2024,85
5.3,2025,92
Ignorado,2006,42
Ignorado,2007,17
Ignorado,2008,17
Ignorado,2009,16
Ignorado,2010,15
Ignorado,2011,10
Ignorado,2012,7
Ignorado,2013,4
Ignorado,2014,4
Ignorado,2015,5
Ignorado,2016,6
Ignorado,2017,5
Ignorado,2018,3
Ignorado,2019,2
Ignorado,2020,6
Ignorado,2021,4
Ignorado,2022,0
Ignorado,2023,1
Ignorado,2024,1
Ignorado,2025,0
