ano,obitos,nascidos_vivos,taxa_por_mil
2006,1353,82101,16.479701830671978
2007,1286,82019,15.679293822163157
2008,1310,82341,15.909449727353323
2009,1349,84415,15.98057217319197
2010,1304,83257,15.66234670958598
2011,1249,85939,14.533564505055912
2012,1278,86377,14.795605311599152
2013,1279,87474,14.621487527722522
2014,1178,89923,13.100096749441189
2015,1252,90539,13.828294988899811
2016,1241,83057,14.94154616709007
2017,1135,84486,13.43417844376583
2018,1119,82485,13.566102927805055
2019,1099,76574,14.352129965784732
2020,1008,72820,13.84235100247185
2021,972,68611,14.166824561659208
2022,923,64635,14.280188752224028
2023,938,62645,14.973262032085561
2024,820,57443,14.275020455059797
2025,856,58694,14.584114219511365
