ANO;IMUNO;MRJ;COBERTURA;METAS
2026;BCG;29.949;99,46%;0,90
2026;ROTAVÍRUS;25.791;85,65%;0,95
2026;DTP 1ºREF;22.205;73,74%;0,95
2026;FEBRE AMARELA;22.461;74,59%;0,95
2026;HEPATITE A;23.438;77,83%;0,95
2026;MENINGO C;25.520;84,75%;0,95
2026;PENTAVALENTE;25.472;84,59%;0,95
2026;PNEUMO 10;25.951;86,18%;0,95
2026;POLIOMIELITE;25.531;84,78%;0,95
2026;TRÍPLICE VIRAL D1;26.835;89,11%;0,95
2026;TRÍPLICE VIRAL D2;22.489;74,68%;0,95
2026;VARICELA;23.678;78,63%;0,95
2025;BCG;62.387;108,58%;0,90
2025;ROTAVÍRUS;54.793;95,31%;0,95
2025;DTP 1ºREF;50.611;88,09%;0,95
2025;FEBRE AMARELA;46.051;80,15%;0,95
2025;HEPATITE A;48.188;83,87%;0,95
2025;MENINGO C;54.391;94,66%;0,95
2025;PENTAVALENTE;54.144;94,23%;0,95
2025;PNEUMO 10;55.331;96,30%;0,95
2025;POLIOMIELITE;53.800;93,64%;0,95
2025;TRÍPLICE VIRAL D1;58.772;102,29%;0,95
2025;TRÍPLICE VIRAL D2;49.263;85,74%;0,95
2025;VARICELA;50.229;87,42%;0,95
2024;BCG;58.252;101,38%;0,90
2024;ROTAVÍRUS;53.903;93,81%;0,90
2024;DTP 1ºREF;50.795;88,40%;0,95
2024;FEBRE AMARELA;44.194;76,91%;0,95
2024;HEPATITE A;53.856;93,73%;0,95
2024;MENINGO C;54.393;94,66%;0,95
2024;PENTAVALENTE;54.633;95,08%;0,95
2024;PNEUMO 10;54.963;95,66%;0,95
2024;POLIOMIELITE;54.739;95,27%;0,95
2024;TRÍPLICE VIRAL D1;54.467;94,79%;0,95
2024;TRÍPLICE VIRAL D2;46.218;80,44%;0,95
2024;VARICELA;46.827;81,50%;0,95
