ANO;IMUNO;COBERTURA;
2016;BCG;110,27%;
2017;BCG;128,05%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2018;BCG;114,19%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2019;BCG;78,83%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2020;BCG;80,97%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2021;BCG;70,70%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2022;BCG;103,40%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2023;BCG;121,26%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2024;BCG;101,38%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2025;BCG;108,58%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2026;BCG;99,46%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2016;DTP 1ºREF;79,53%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2017;DTP 1ºREF;85,10%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2018;DTP 1ºREF;61,45%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2019;DTP 1ºREF;47,36%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2020;DTP 1ºREF;77,39%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2021;DTP 1ºREF;71,12%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2022;DTP 1ºREF;59,91%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2023;DTP 1ºREF;77,20%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2024;DTP 1ºREF;88,40%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2025;DTP 1ºREF;88,09%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2026;DTP 1ºREF;73,74%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2016;FEBRE AMARELA;0%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2017;FEBRE AMARELA;0%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2018;FEBRE AMARELA;52,48%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2019;FEBRE AMARELA;68,99%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2020;FEBRE AMARELA;60,11%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2021;FEBRE AMARELA;65,32%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2022;FEBRE AMARELA;54,60%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2023;FEBRE AMARELA;72,66%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2024;FEBRE AMARELA;76,91%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2025;FEBRE AMARELA;80,15%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2026;FEBRE AMARELA;74,59%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2016;HEPATITE A;73,34%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2017;HEPATITE A;92,26%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2018;HEPATITE A;91,23%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
2019;HEPATITE A;83,38%;https://epirio.svs.rio.br/painel/cobertura-vacinal-de-rotina-em-criancas/
