bairro,Crianças,Famílias,suprimido
Abolição,128,119,False
Acari,1268,1162,False
Alto da Boa Vista,144,125,False
Anchieta,1802,1631,False
Andaraí,348,326,False
Anil,2542,2361,False
Argentino,,,True
Bancários,357,319,False
Bangu,5975,5546,False
Barra Olímpica,107,100,False
Barra da Tijuca,274,257,False
Barra de Guaratiba,102,94,False
Barros Filho,555,503,False
Benfica,899,842,False
Bento Ribeiro,721,660,False
Bonsucesso,2293,2094,False
Botafogo,232,210,False
Brás de Pina,974,900,False
Cachambi,310,280,False
Cacuia,174,160,False
Caju,922,846,False
Camorim,423,398,False
Campinho,197,185,False
Campo Grande,8100,7469,False
Campo dos Afonsos,,,True
Cascadura,706,643,False
Catete,138,136,False
Catumbi,373,350,False
Cavalcanti,459,420,False
Centro,417,377,False
Cidade Nova,87,83,False
Cidade Universitária,23,20,False
Cidade de Deus,2072,1893,False
Cocotá,65,62,False
Coelho Neto,1105,1006,False
Colégio,764,720,False
Complexo do Alemão,1060,980,False
Copacabana,925,877,False
Cordovil,995,916,False
Cosme Velho,135,126,False
Cosmos,2512,2309,False
Costa Barros,1397,1272,False
Curicica,900,820,False
Del Castilho,463,429,False
Dendê,47,47,False
Deodoro,402,371,False
Dumas,70,67,False
Encantado,203,189,False
Engenheiro Leal,194,178,False
Engenho Novo,1002,922,False
Engenho da Rainha,576,536,False
Engenho de Dentro,826,751,False
Estácio,646,589,False
Flamengo,80,75,False
Freguesia (Ilha do Governador),389,355,False
Freguesia (Jacarepaguá),731,675,False
Galeão,556,508,False
Gamboa,404,376,False
Gardênia Azul,1305,1194,False
Glória,119,109,False
Grajaú,281,262,False
Grumari,,,True
Guadalupe,929,863,False
Guarabu,30,28,False
Guaratiba,5408,5013,False
Gávea,1437,1329,False
Higienópolis,167,158,False
Honório Gurgel,523,481,False
Humaitá,,,True
Inhaúma,1473,1368,False
Inhoaíba,2273,2083,False
Ipanema,,,True
Irajá,1198,1102,False
Itacolomi,50,47,False
Itanhangá,1539,1413,False
Jacarepaguá,2621,2428,False
Jacarezinho,211,197,False
Jacaré,1071,994,False
Jardim América,854,798,False
Jardim Botânico,34,33,False
Jardim Carioca,368,344,False
Jardim Guanabara,36,32,False
Jardim Sulacap,151,137,False
Joá,,,True
Lagoa,,,True
Laranjeiras,91,85,False
Leblon,32,31,False
Leme,134,124,False
Lins de Vasconcelos,740,681,False
Madureira,1145,1052,False
Magalhães Bastos,441,408,False
Mangueira,644,598,False
Manguinhos,1494,1361,False
Maracanã,44,41,False
Marechal Hermes,832,771,False
Maria da Graça,63,59,False
Maré,2691,2475,False
Moneró,,,True
Méier,304,280,False
Nossa Senhora das Graças,20,20,False
Olaria,966,896,False
Oswaldo Cruz,534,488,False
Paciência,3683,3389,False
Padre Miguel,1179,1097,False
Paquetá,67,62,False
Parada de Lucas,451,413,False
Parque Anchieta,336,308,False
Parque Colúmbia,88,82,False
Pavuna,2161,1996,False
Pechincha,290,273,False
Pedra de Guaratiba,566,525,False
Penha,1568,1445,False
Penha Circular,961,907,False
Piedade,951,874,False
Pilares,579,528,False
Pitangueiras,99,94,False
Portuguesa,198,188,False
Praia da Bandeira,,,True
Praça Seca,1421,1305,False
Praça da Bandeira,53,51,False
Quintino Bocaiúva,537,497,False
Ramos,2052,1901,False
Realengo,4223,3920,False
Recreio dos Bandeirantes,795,741,False
Riachuelo,91,83,False
Ribeira,20,20,False
Ricardo de Albuquerque,920,833,False
Rio Comprido,740,688,False
Rocha,333,317,False
Rocha Miranda,962,871,False
Rocinha,989,918,False
Sampaio,412,391,False
Santa Cruz,8838,8167,False
Santa Teresa,704,663,False
Santo Cristo,432,400,False
Santíssimo,1542,1433,False
Saúde,38,36,False
Senador Camará,2741,2502,False
Senador Vasconcelos,900,820,False
Sepetiba,2301,2129,False
São Conrado,61,58,False
São Cristóvão,1203,1102,False
São Francisco Xavier,100,90,False
Tanque,1187,1073,False
Taquara,1930,1758,False
Tauá,473,441,False
Tijuca,1009,919,False
Todos os Santos,65,62,False
Tomás Coelho,561,521,False
Tubiacanga,72,66,False
Turiaçu,444,392,False
Urca,,,True
Vargem Grande,591,539,False
Vargem Pequena,488,457,False
Vasco da Gama,46,40,False
Vaz Lobo,449,392,False
Vicente de Carvalho,580,535,False
Vidigal,359,341,False
Vigário Geral,993,921,False
Vila Isabel,733,680,False
Vila Kosmos,253,224,False
Vila Militar,85,80,False
Vila Valqueire,389,354,False
Vila da Penha,140,132,False
Vista Alegre,106,97,False
Zumbi,,,True
Água Santa,120,112,False
Total,138558,127774,False
