,bairro,0 a 4 anos,Percentual 0 a 4,5 a 9 anos,Percentual 5 a 9
143,Campo Grande,18505,5.250926467166458,22020,6.24833292661472
148,Santa Cruz,16093,6.462870521712241,18645,7.487741308477272
114,Jacarepaguá,11499,6.541848716548334,12539,7.13351083196796
140,Bangu,11418,5.454832098376163,13013,6.216826948342004
150,Guaratiba,10088,6.550606814241466,11311,7.344757501574666
156,Maré,8553,6.8522672648614,9832,7.876942797628585
138,Realengo,8532,5.145710701534305,10096,6.088970375373926
131,Recreio dos Bandeirantes,6450,4.565919130139314,7459,5.280184618869634
147,Paciência,6333,6.039769205092747,7448,7.103142434790902
113,Pavuna,5892,6.181219248644056,6870,7.207226109671532
141,Senador Camará,5702,5.592444021616532,7039,6.903755431104659
146,Cosmos,5662,5.930224033013187,6814,7.13679734386292
127,Barra da Tijuca,5310,3.7358060476438393,6448,4.536436420943027
121,Taquara,5078,4.72816320449911,5967,5.555917652864552
32,Tijuca,4764,3.3537486800422385,5782,4.070397747272088
145,Inhoaíba,4495,6.232062889070667,5238,7.262190303215162
126,Itanhangá,4220,6.2238216034452245,5310,7.831396377794821
153,Rocinha,4208,5.935873383081068,5013,7.071419503180939
149,Sepetiba,3682,6.2742825983232215,4354,7.419398813986778
75,Irajá,3596,4.186799240880672,4339,5.0518692731316
23,Copacabana,3528,2.743582365795429,4019,3.125413131556641
155,Complexo do Alemão,3477,6.415129151291513,4202,7.752767527675276
123,Praça Seca,3399,5.371450244156829,3938,6.2232336162075885
119,Freguesia (Jacarepaguá),3266,4.372038231908116,3944,5.2796444539637495
164,Barra Olímpica,3251,5.741685946910157,3501,6.183218240582116
139,Padre Miguel,3101,5.063105131679919,4584,7.484448217871896
42,Penha,2958,5.055459657158483,3515,6.007417408692382
106,Anchieta,2866,5.502966532900674,3428,6.582054876058447
19,Botafogo,2761,3.5875779625779627,3173,4.122920997920998
142,Santíssimo,2482,5.1643778610070745,3056,6.358718268830628
154,Jacarezinho,2375,6.718909132058391,2790,7.892950096186489
35,Vila Isabel,2358,3.585057698447691,2815,4.279871679868639
41,Olaria,2133,4.164226309007849,2661,5.195033384092772
110,Acari,2112,7.119261106991168,2834,9.55302366345311
105,Guadalupe,2073,5.052277546245522,2415,5.8857936682020915
47,Vigário Geral,2050,5.993801532074148,2299,6.721829132799252
117,Cidade de Deus,1968,6.495692642835925,2255,7.442981153249496
89,Marechal Hermes,1963,4.730234463481048,2318,5.585676763295501
112,Costa Barros,1952,7.431094868280798,2030,7.728034109943657
38,Manguinhos,1915,6.637321502842091,2245,7.781089699154305
6,Rio Comprido,1908,4.788435476584851,2388,5.993073332329468
60,Engenho Novo,1905,4.94933749025721,2036,5.289685632631853
129,Vargem Pequena,1827,6.00828729281768,2057,6.764667192843989
122,Tanque,1818,4.957055214723926,2191,5.974096796182686
65,Engenho de Dentro,1772,4.104702339587677,2161,5.005791058605514
82,Madureira,1766,4.4476905253614065,2216,5.5810205006799976
44,Brás de Pina,1760,4.6602764391251394,2094,5.544669808822751
85,Rocha Miranda,1724,4.741474147414741,2202,6.0561056105610565
53,Inhaúma,1718,4.6141863400746645,2120,5.693873714178283
