ano,imunobiologico,cobertura
2016,BCG,110.27
2019,BCG,78.83
2022,BCG,103.4
2025,BCG,108.58
2016,DTP 1ºREF,79.53
2019,DTP 1ºREF,47.36
2022,DTP 1ºREF,59.91
2025,DTP 1ºREF,88.09
2016,FEBRE AMARELA,0.0
2019,FEBRE AMARELA,68.99
2022,FEBRE AMARELA,54.6
2025,FEBRE AMARELA,80.15
2016,HEPATITE A,73.34
2019,HEPATITE A,83.38
2022,HEPATITE A,69.1
2025,HEPATITE A,83.87
2016,MENINGO C,102.98
2019,MENINGO C,80.61
2022,MENINGO C,67.2
2025,MENINGO C,94.66
2016,PNEUMO 10,119.79
2019,PNEUMO 10,82.65
2022,PNEUMO 10,68.6
2025,PNEUMO 10,96.3
2016,POLIOMIELITE,101.21
2019,POLIOMIELITE,78.67
2022,POLIOMIELITE,66.8
2025,POLIOMIELITE,93.64
2016,ROTAVÍRUS,99.21
2019,ROTAVÍRUS,78.38
2022,ROTAVÍRUS,65.8
2025,ROTAVÍRUS,95.36
2016,TRÍPLICE VIRAL D1,105.52
2019,TRÍPLICE VIRAL D1,100.42
2022,TRÍPLICE VIRAL D1,79.0
2025,TRÍPLICE VIRAL D1,102.29
2016,TRÍPLICE VIRAL D2,79.36
2019,TRÍPLICE VIRAL D2,81.28
2022,TRÍPLICE VIRAL D2,70.68
2025,TRÍPLICE VIRAL D2,85.74
2016,VARICELA,79.36
2019,VARICELA,83.5
2022,VARICELA,76.5
2025,VARICELA,87.42
