ano,BCG,DTP 1ºREF,FEBRE AMARELA,HEPATITE A,MENINGO C,PNEUMO 10,POLIOMIELITE,ROTAVÍRUS,TRÍPLICE VIRAL D1,TRÍPLICE VIRAL D2,VARICELA
2016,110.27,79.53,0.0,73.34,102.98,119.79,101.21,99.21,105.52,79.36,79.36
2017,128.05,85.1,0.0,92.26,97.35,107.76,103.76,96.2,102.92,80.11,89.72
2018,114.19,61.45,52.48,91.23,97.3,101.26,98.7,99.37,105.62,76.06,79.06
2019,78.83,47.36,68.99,83.38,80.61,82.65,78.67,78.38,100.42,81.28,83.5
2020,80.97,77.39,60.11,74.99,76.27,80.03,76.4,76.92,81.5,53.98,93.78
2021,70.7,71.12,65.32,74.11,74.72,77.52,75.52,81.9,79.02,54.19,95.14
2022,103.4,59.91,54.6,69.1,67.2,68.6,66.8,65.8,79.0,70.68,76.5
2023,121.26,77.2,72.66,92.68,92.2,92.36,91.52,90.99,96.74,66.74,90.19
2024,101.38,88.4,76.91,93.73,94.66,95.66,95.27,93.81,94.79,80.44,81.5
2025,108.58,88.09,80.15,83.87,94.66,96.3,93.64,95.36,102.29,85.74,87.42
2026,99.46,73.74,74.59,77.83,84.75,86.18,84.78,85.65,89.11,74.68,78.63
