ano,matriculas,matriculas_0_a_3,matriculas_4_a_5,matriculas_publica,matriculas_privada,populacao_0_a_3,populacao_4_a_5,populacao_0_a_5,taxa_atendimento_0_a_3,taxa_atendimento_4_a_5,taxa_atendimento_0_a_5
2007,170650,60997,109653,107599,63051,323157,173017,496174,18.9,63.4,34.4
2008,196904,74455,122449,104919,91985,321319,168111,489430,23.2,72.8,40.2
2009,193124,72318,120806,104076,89048,320426,165119,485545,22.6,73.2,39.8
2010,202850,80325,122525,105600,97250,319474,163196,482670,25.1,75.1,42.0
2011,222432,95636,126796,116243,106189,319284,161364,480648,30.0,78.6,46.3
2012,228523,100517,128006,120029,108494,320584,159958,480542,31.4,80.0,47.6
2013,241730,108859,132871,125616,116114,322541,159293,481834,33.8,83.4,50.2
2014,247280,111591,135689,127060,120220,326749,158702,485451,34.2,85.5,50.9
2015,243176,109873,133303,127291,115885,332546,159135,491681,33.0,83.8,49.5
2016,247022,110358,136664,130762,116260,334015,161298,495313,33.0,84.7,49.9
2017,253641,114609,139032,139031,114610,331642,163003,494645,34.6,85.3,51.3
2018,253518,113789,139729,139935,113583,327060,164808,491868,34.8,84.8,51.5
2019,258868,115723,143145,144314,114554,317445,168360,485805,36.5,85.0,53.3
2020,247133,107422,139711,143909,103224,307006,167316,474322,35.0,83.5,52.1
2021,230260,101421,128839,140722,89538,296299,160981,457280,34.2,80.0,50.4
2022,246522,114822,131700,136691,109831,282173,157734,439907,40.7,83.5,56.0
2023,246119,113935,132184,131935,114184,268654,155085,423739,42.4,85.2,58.1
2024,242575,114934,127641,127851,114724,259038,148499,407537,44.4,86.0,59.5
2025,230284,110097,120187,122236,108048,251936,141137,393073,43.7,85.2,58.6
