ano,1. Causas evitáveis,2. Causas mal definidas,3. Demais causas (não claramente evitáveis)
1996,461.0,108.0,159.0
1997,409.0,93.0,174.0
1998,327.0,116.0,163.0
1999,317.0,107.0,184.0
2000,286.0,108.0,152.0
2001,255.0,63.0,130.0
2002,205.0,77.0,141.0
2003,227.0,80.0,146.0
2004,212.0,87.0,149.0
2005,197.0,63.0,125.0
2006,201.0,50.0,136.0
2007,221.0,38.0,144.0
2008,238.0,29.0,145.0
2009,246.0,29.0,153.0
2010,200.0,42.0,146.0
2011,224.0,44.0,153.0
2012,221.0,31.0,153.0
2013,211.0,30.0,137.0
2014,183.0,28.0,135.0
2015,209.0,25.0,144.0
2016,212.0,21.0,144.0
2017,163.0,23.0,130.0
2018,171.0,22.0,131.0
2019,168.0,23.0,128.0
2020,139.0,16.0,115.0
2021,157.0,20.0,94.0
2022,143.0,13.0,119.0
2023,133.0,7.0,125.0
2024,137.0,8.0,105.0
2025,134.0,13.0,102.0
