ano,obitos_evitaveis_amarela,obitos_evitaveis_branca,obitos_evitaveis_indigena,obitos_evitaveis_nao_informado,obitos_evitaveis_parda,obitos_evitaveis_preta,nascidos_amarela,nascidos_branca,nascidos_indigena,nascidos_parda,nascidos_preta,nascidos_nao_informado,percentual_evitaveis_amarela,percentual_evitaveis_branca,percentual_evitaveis_indigena,percentual_evitaveis_parda,percentual_evitaveis_preta,percentual_evitaveis_nao_informado
1996,1.0,1.0,0.0,2136.0,0.0,0.0,,,,,,,,,,,,
1997,5.0,775.0,1.0,650.0,486.0,135.0,,,,,,,,,,,,
1998,4.0,672.0,0.0,536.0,470.0,105.0,,,,,,,,,,,,
1999,5.0,747.0,0.0,441.0,495.0,136.0,,,,,,,,,,,,
2000,2.0,770.0,0.0,278.0,469.0,138.0,,,,,,,,,,,,
2001,2.0,667.0,0.0,238.0,401.0,103.0,,,,,,,,,,,,
2002,1.0,526.0,0.0,279.0,447.0,93.0,,,,,,,,,,,,
2003,2.0,584.0,0.0,157.0,525.0,114.0,,,,,,,,,,,,
2004,0.0,587.0,0.0,249.0,420.0,83.0,,,,,,,,,,,,
2005,0.0,430.0,0.0,238.0,414.0,88.0,,,,,,,,,,,,
2006,0.0,480.0,0.0,173.0,384.0,91.0,,,,,,,,,,,,
2007,0.0,444.0,1.0,133.0,426.0,74.0,,,,,,,,,,,,
2008,0.0,447.0,0.0,141.0,457.0,86.0,,,,,,,,,,,,
2009,0.0,468.0,0.0,125.0,467.0,110.0,,,,,,,,,,,,
2010,3.0,443.0,0.0,91.0,482.0,78.0,,,,,,,,,,,,
2011,1.0,449.0,1.0,84.0,458.0,88.0,187.0,25203.0,36.0,23058.0,6026.0,31215.0,0.53,1.78,2.78,1.99,1.46,0.27
2012,0.0,489.0,0.0,89.0,481.0,61.0,253.0,35276.0,49.0,39358.0,9710.0,1375.0,0.0,1.39,0.0,1.22,0.63,6.47
2013,0.0,424.0,0.0,95.0,535.0,61.0,350.0,34911.0,53.0,41993.0,9227.0,889.0,0.0,1.21,0.0,1.27,0.66,10.69
2014,1.0,403.0,0.0,75.0,488.0,55.0,367.0,33847.0,53.0,46182.0,8337.0,974.0,0.27,1.19,0.0,1.06,0.66,7.7
2015,3.0,420.0,0.0,97.0,528.0,48.0,289.0,33108.0,44.0,47308.0,8003.0,1551.0,1.04,1.27,0.0,1.12,0.6,6.25
2016,1.0,415.0,2.0,84.0,507.0,58.0,214.0,30312.0,49.0,43417.0,7779.0,1083.0,0.47,1.37,4.08,1.17,0.75,7.76
2017,0.0,339.0,1.0,81.0,449.0,78.0,168.0,30215.0,43.0,43963.0,8283.0,1667.0,0.0,1.12,2.33,1.02,0.94,4.86
2018,0.0,333.0,0.0,106.0,474.0,55.0,229.0,29414.0,55.0,42342.0,9054.0,1390.0,0.0,1.13,0.0,1.12,0.61,7.63
2019,2.0,368.0,0.0,84.0,428.0,51.0,321.0,26822.0,55.0,38600.0,9079.0,1600.0,0.62,1.37,0.0,1.11,0.56,5.25
2020,1.0,324.0,1.0,73.0,434.0,52.0,450.0,23945.0,73.0,35764.0,9912.0,2270.0,0.22,1.35,1.37,1.21,0.52,3.22
2021,1.0,286.0,0.0,62.0,441.0,50.0,409.0,22156.0,62.0,33633.0,9736.0,648.0,0.24,1.29,0.0,1.31,0.51,9.57
2022,2.0,281.0,1.0,51.0,359.0,73.0,407.0,21530.0,72.0,30188.0,10075.0,2418.0,0.49,1.31,1.39,1.19,0.72,2.11
2023,2.0,269.0,0.0,33.0,406.0,61.0,454.0,21743.0,72.0,29550.0,10543.0,425.0,0.44,1.24,0.0,1.37,0.58,7.76
2024,2.0,261.0,0.0,46.0,345.0,55.0,285.0,20311.0,82.0,26659.0,9742.0,553.0,0.7,1.29,0.0,1.29,0.56,8.32
2025,0.0,251.0,1.0,44.0,374.0,53.0,234.0,20448.0,69.0,27610.0,10281.0,529.0,0.0,1.23,1.45,1.35,0.52,8.32
