ano,1.1. Reduzível pelas ações de imunização,1.2.1 Reduzíveis atenção à mulher na gestação,1.2.2 Reduz por adequada atenção à mulher no parto,1.2.3 Reduzíveis adequada atenção ao recém-nascido,1.3. Reduz ações diagnóstico e tratamento adequado,1.4. Reduz. ações promoção vinc. ações de atenção,2. Causas mal definidas
1996,7.0,24.0,2.0,16.0,283.0,129.0,108.0
1997,7.0,35.0,5.0,33.0,253.0,76.0,93.0
1998,6.0,21.0,5.0,15.0,199.0,81.0,116.0
1999,4.0,27.0,1.0,9.0,208.0,68.0,107.0
2000,2.0,28.0,13.0,18.0,151.0,74.0,108.0
2001,2.0,15.0,12.0,28.0,135.0,63.0,63.0
2002,1.0,14.0,7.0,10.0,121.0,52.0,77.0
2003,2.0,16.0,9.0,19.0,126.0,55.0,80.0
2004,4.0,20.0,3.0,14.0,113.0,58.0,87.0
2005,0.0,21.0,11.0,15.0,101.0,49.0,63.0
2006,2.0,22.0,2.0,17.0,102.0,56.0,50.0
2007,3.0,21.0,9.0,17.0,121.0,50.0,38.0
2008,3.0,28.0,17.0,26.0,96.0,68.0,29.0
2009,1.0,34.0,12.0,19.0,114.0,66.0,29.0
2010,2.0,39.0,2.0,15.0,79.0,63.0,42.0
2011,4.0,28.0,4.0,19.0,103.0,66.0,44.0
2012,3.0,27.0,7.0,21.0,93.0,70.0,31.0
2013,0.0,36.0,7.0,9.0,101.0,58.0,30.0
2014,3.0,28.0,5.0,18.0,70.0,59.0,28.0
2015,5.0,33.0,6.0,14.0,82.0,69.0,25.0
2016,1.0,28.0,10.0,18.0,89.0,66.0,21.0
2017,2.0,15.0,5.0,21.0,67.0,53.0,23.0
2018,0.0,15.0,6.0,17.0,80.0,53.0,22.0
2019,2.0,23.0,6.0,16.0,71.0,50.0,23.0
2020,1.0,27.0,8.0,14.0,38.0,51.0,16.0
2021,1.0,21.0,10.0,18.0,46.0,61.0,20.0
2022,2.0,11.0,4.0,12.0,59.0,55.0,13.0
2023,0.0,8.0,2.0,4.0,75.0,44.0,7.0
2024,0.0,14.0,1.0,8.0,60.0,54.0,8.0
2025,1.0,16.0,7.0,11.0,43.0,56.0,13.0
