ano,1.1. Reduzível pelas ações de imunização,1.2.1 Reduzíveis atenção à mulher na gestação,1.2.2 Reduz por adequada atenção à mulher no parto,1.2.3 Reduzíveis adequada atenção ao recém-nascido,1.3. Reduz ações diagnóstico e tratamento adequado,1.4. Reduz. ações promoção vinc. ações de atenção,2. Causas mal definidas
1996,10.0,438.0,164.0,543.0,301.0,143.0,163.0
1997,10.0,441.0,169.0,568.0,263.0,91.0,131.0
1998,7.0,428.0,176.0,378.0,213.0,93.0,153.0
1999,4.0,441.0,163.0,383.0,230.0,74.0,134.0
2000,2.0,443.0,164.0,318.0,166.0,78.0,146.0
2001,2.0,333.0,135.0,314.0,142.0,66.0,87.0
2002,1.0,384.0,113.0,236.0,132.0,57.0,100.0
2003,2.0,311.0,122.0,279.0,138.0,58.0,110.0
2004,4.0,336.0,89.0,222.0,117.0,59.0,107.0
2005,0.0,323.0,87.0,218.0,108.0,54.0,79.0
2006,2.0,321.0,85.0,201.0,108.0,62.0,65.0
2007,3.0,287.0,111.0,149.0,126.0,52.0,49.0
2008,3.0,311.0,112.0,174.0,99.0,73.0,44.0
2009,1.0,371.0,110.0,168.0,114.0,71.0,42.0
2010,3.0,352.0,87.0,136.0,82.0,67.0,54.0
2011,4.0,331.0,83.0,117.0,110.0,66.0,48.0
2012,6.0,373.0,84.0,125.0,101.0,79.0,42.0
2013,0.0,391.0,82.0,142.0,108.0,59.0,39.0
2014,3.0,328.0,78.0,143.0,73.0,60.0,34.0
2015,5.0,348.0,94.0,161.0,86.0,69.0,38.0
2016,1.0,334.0,76.0,154.0,93.0,75.0,33.0
2017,2.0,288.0,85.0,131.0,73.0,61.0,30.0
2018,0.0,310.0,96.0,121.0,82.0,56.0,25.0
2019,2.0,273.0,104.0,127.0,78.0,56.0,25.0
2020,1.0,305.0,90.0,108.0,42.0,57.0,27.0
2021,1.0,254.0,87.0,132.0,49.0,69.0,26.0
2022,2.0,220.0,70.0,104.0,63.0,59.0,14.0
2023,0.0,230.0,74.0,94.0,78.0,51.0,10.0
2024,0.0,241.0,53.0,53.0,62.0,60.0,16.0
2025,1.0,263.0,68.0,67.0,46.0,57.0,15.0
