ano,subgrupo,obitos,faixa_etaria
2025,1.1. Reduzível pelas ações de imunização,0.0,0-6 dias
2025,1.2.1 Reduzíveis atenção à mulher na gestação,183.0,0-6 dias
2025,1.2.2 Reduz por adequada atenção à mulher no parto,50.0,0-6 dias
2025,1.2.3 Reduzíveis adequada atenção ao recém-nascido,36.0,0-6 dias
2025,1.3. Reduz ações diagnóstico e tratamento adequado,0.0,0-6 dias
2025,1.4. Reduz. ações promoção vinc. ações de atenção,0.0,0-6 dias
2025,2. Causas mal definidas,2.0,0-6 dias
2025,1.1. Reduzível pelas ações de imunização,0.0,7-27 dias
2025,1.2.1 Reduzíveis atenção à mulher na gestação,64.0,7-27 dias
2025,1.2.2 Reduz por adequada atenção à mulher no parto,11.0,7-27 dias
2025,1.2.3 Reduzíveis adequada atenção ao recém-nascido,20.0,7-27 dias
2025,1.3. Reduz ações diagnóstico e tratamento adequado,3.0,7-27 dias
2025,1.4. Reduz. ações promoção vinc. ações de atenção,1.0,7-27 dias
2025,2. Causas mal definidas,0.0,7-27 dias
2025,1.1. Reduzível pelas ações de imunização,1.0,28-364 dias
2025,1.2.1 Reduzíveis atenção à mulher na gestação,16.0,28-364 dias
2025,1.2.2 Reduz por adequada atenção à mulher no parto,7.0,28-364 dias
2025,1.2.3 Reduzíveis adequada atenção ao recém-nascido,11.0,28-364 dias
2025,1.3. Reduz ações diagnóstico e tratamento adequado,43.0,28-364 dias
2025,1.4. Reduz. ações promoção vinc. ações de atenção,56.0,28-364 dias
2025,2. Causas mal definidas,13.0,28-364 dias
