cod_ap_sms,subgrupo,ano,obitos,faixa_etaria
1.0,1.1. Reduzível pelas ações de imunização,2006,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2007,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2008,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2009,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2010,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2011,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2012,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2013,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2014,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2015,1,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2016,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2017,1,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2018,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2019,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2020,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2021,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2022,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2023,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2024,0,menores de 1 ano
1.0,1.1. Reduzível pelas ações de imunização,2025,0,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2006,28,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2007,25,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2008,18,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2009,28,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2010,22,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2011,19,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2012,20,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2013,17,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2014,19,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2015,24,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2016,13,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2017,19,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2018,13,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2019,13,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2020,17,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2021,12,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2022,20,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2023,7,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2024,16,menores de 1 ano
1.0,1.2.1. Red por at à mulher na gestação,2025,13,menores de 1 ano
1.0,1.2.2. Red por at à mulher no parto,2006,4,menores de 1 ano
1.0,1.2.2. Red por at à mulher no parto,2007,2,menores de 1 ano
1.0,1.2.2. Red por at à mulher no parto,2008,10,menores de 1 ano
1.0,1.2.2. Red por at à mulher no parto,2009,8,menores de 1 ano
