codigo,bairro,ano,obitos_0_364,obitos_0_6,obitos_7_27,nascidos_vivos,obitos_28_364,taxa_mortalidade_infantil,taxa_mortalidade_pos_neonatal
001,SAUDE,2006,4.0,1.0,1.0,131,2.0,30.534351145038165,15.267175572519083
001,SAUDE,2007,3.0,1.0,0.0,133,2.0,22.55639097744361,15.037593984962406
001,SAUDE,2008,1.0,0.0,0.0,111,1.0,9.00900900900901,9.00900900900901
001,SAUDE,2009,2.0,2.0,0.0,118,0.0,16.949152542372882,0.0
001,SAUDE,2010,3.0,1.0,1.0,86,1.0,34.883720930232556,11.627906976744185
001,SAUDE,2011,1.0,0.0,0.0,66,1.0,15.151515151515152,15.151515151515152
001,SAUDE,2012,1.0,1.0,0.0,56,0.0,17.857142857142858,0.0
001,SAUDE,2013,0.0,0.0,0.0,58,0.0,0.0,0.0
001,SAUDE,2014,0.0,0.0,0.0,71,0.0,0.0,0.0
001,SAUDE,2015,1.0,1.0,0.0,60,0.0,16.666666666666668,0.0
001,SAUDE,2016,1.0,0.0,0.0,38,1.0,26.31578947368421,26.31578947368421
001,SAUDE,2017,0.0,0.0,0.0,52,0.0,0.0,0.0
001,SAUDE,2018,0.0,0.0,0.0,41,0.0,0.0,0.0
001,SAUDE,2019,1.0,1.0,0.0,51,0.0,19.607843137254903,0.0
001,SAUDE,2020,0.0,0.0,0.0,37,0.0,0.0,0.0
001,SAUDE,2021,0.0,0.0,0.0,32,0.0,0.0,0.0
001,SAUDE,2022,2.0,1.0,1.0,40,0.0,50.0,0.0
001,SAUDE,2023,3.0,1.0,1.0,40,1.0,75.0,25.0
001,SAUDE,2024,4.0,0.0,1.0,30,3.0,133.33333333333334,100.0
001,SAUDE,2025,0.0,0.0,0.0,36,0.0,0.0,0.0
002,GAMBOA,2006,0.0,0.0,0.0,92,0.0,0.0,0.0
002,GAMBOA,2007,2.0,1.0,0.0,99,1.0,20.202020202020204,10.101010101010102
002,GAMBOA,2008,3.0,2.0,0.0,120,1.0,25.0,8.333333333333334
002,GAMBOA,2009,2.0,0.0,0.0,128,2.0,15.625,15.625
002,GAMBOA,2010,1.0,1.0,0.0,158,0.0,6.329113924050633,0.0
002,GAMBOA,2011,1.0,0.0,1.0,146,0.0,6.8493150684931505,0.0
002,GAMBOA,2012,1.0,1.0,0.0,167,0.0,5.9880239520958085,0.0
002,GAMBOA,2013,1.0,0.0,0.0,182,1.0,5.4945054945054945,5.4945054945054945
002,GAMBOA,2014,1.0,1.0,0.0,164,0.0,6.097560975609756,0.0
002,GAMBOA,2015,7.0,4.0,1.0,200,2.0,35.0,10.0
002,GAMBOA,2016,3.0,0.0,1.0,171,2.0,17.543859649122805,11.695906432748536
002,GAMBOA,2017,0.0,0.0,0.0,166,0.0,0.0,0.0
002,GAMBOA,2018,3.0,3.0,0.0,161,0.0,18.633540372670808,0.0
002,GAMBOA,2019,2.0,0.0,1.0,154,1.0,12.987012987012989,6.493506493506494
002,GAMBOA,2020,2.0,1.0,0.0,154,1.0,12.987012987012989,6.493506493506494
002,GAMBOA,2021,2.0,0.0,0.0,156,2.0,12.82051282051282,12.82051282051282
