ano,obitos_0_364,obitos_28_364,nascidos_vivos,taxa_mortalidade_infantil,taxa_mortalidade_pos_neonatal
2006,1097.0,376.0,82068,13.366963981088853,4.581566505824438
2007,1086.0,402.0,81911,13.258292537021891,4.907765745748434
2008,1111.0,409.0,82182,13.51877540093938,4.976758900975883
2009,1145.0,421.0,84242,13.59179506659386,4.9975071816908425
2010,1082.0,387.0,83092,13.021710874693111,4.657488085495595
2011,1071.0,419.0,85725,12.493438320209973,4.887722368037329
2012,1096.0,396.0,86021,12.741074853814768,4.6035270457213935
2013,1109.0,377.0,87423,12.68544890932592,4.312366310925042
2014,1017.0,346.0,89760,11.330213903743315,3.8547237076648844
2015,1097.0,377.0,90303,12.147990653688138,4.174833615715978
2016,1060.0,372.0,82854,12.793588722330847,4.48982547613875
2017,950.0,316.0,84339,11.264065260437045,3.746783812945375
2018,965.0,323.0,82484,11.699238640221134,3.9159109645507004
2019,931.0,319.0,76477,12.173594675523361,4.171188723407037
2020,882.0,268.0,72414,12.179965200099428,3.700941806832933
2021,839.0,272.0,68412,12.26393030462492,3.975910658948723
2022,805.0,292.0,64690,12.443963518318132,4.513835214098005
2023,818.0,289.0,62787,13.028174622135156,4.602863650118656
2024,751.0,268.0,57632,13.030955024986119,4.650194336479734
2025,773.0,265.0,59171,13.063831944702642,4.478545233306856
