bairro,ano,obitos precoces,codigo,nascidos vivos,taxa_mortalidade_precoce
SAUDE,2006,1,001,131,7.633587786259541
GAMBOA,2006,0,002,92,0.0
SANTO CRISTO,2006,1,003,209,4.784688995215311
CAJU,2006,7,004,354,19.77401129943503
CENTRO,2006,4,005,532,7.518796992481203
CATUMBI,2006,3,006,270,11.11111111111111
RIO COMPRIDO,2006,6,007,621,9.66183574879227
CIDADE NOVA,2006,1,008,57,17.543859649122805
ESTACIO,2006,4,009,264,15.151515151515152
SAO CRISTOVAO,2006,3,010,768,3.90625
MANGUEIRA,2006,3,011,299,10.033444816053512
BENFICA,2006,7,012,610,11.475409836065573
PAQUETA,2006,0,013,32,0.0
SANTA TERESA,2006,3,014,449,6.6815144766147
FLAMENGO,2006,1,015,405,2.4691358024691357
GLORIA,2006,0,016,158,0.0
LARANJEIRAS,2006,1,017,428,2.336448598130841
CATETE,2006,2,018,214,9.345794392523365
COSME VELHO,2006,1,019,96,10.416666666666666
BOTAFOGO,2006,2,020,758,2.638522427440633
HUMAITA,2006,0,021,106,0.0
URCA,2006,1,022,73,13.698630136986301
LEME,2006,2,023,143,13.986013986013987
COPACABANA,2006,7,024,1167,5.998286203941731
IPANEMA,2006,1,025,312,3.205128205128205
LEBLON,2006,1,026,368,2.717391304347826
LAGOA,2006,2,027,196,10.204081632653061
JARDIM BOTANICO,2006,1,028,186,5.376344086021506
GAVEA,2006,0,029,258,0.0
VIDIGAL,2006,2,030,207,9.66183574879227
SAO CONRADO,2006,3,031,114,26.31578947368421
PRACA DA BANDEIRA,2006,1,032,88,11.363636363636363
TIJUCA,2006,9,033,1626,5.535055350553505
ALTO DA BOA VISTA,2006,1,034,115,8.695652173913043
MARACANA,2006,2,035,202,9.900990099009901
VILA ISABEL,2006,5,036,782,6.39386189258312
ANDARAI,2006,2,037,334,5.9880239520958085
GRAJAU,2006,0,038,412,0.0
MANGUINHOS,2006,2,039,523,3.8240917782026767
BONSUCESSO,2006,7,040,733,9.549795361527966
RAMOS,2006,1,041,1078,0.9276437847866419
OLARIA,2006,5,042,634,7.886435331230284
PENHA,2006,5,043,1206,4.1459369817578775
PENHA CIRCULAR,2006,0,044,340,0.0
BRAS DE PINA,2006,8,045,566,14.134275618374557
CORDOVIL,2006,5,046,635,7.874015748031496
PARADA DE LUCAS,2006,3,047,314,9.554140127388534
VIGARIO GERAL,2006,4,048,424,9.433962264150942
JARDIM AMERICA,2006,7,049,504,13.888888888888888
HIGIENOPOLIS,2006,1,050,191,5.235602094240838
JACARE,2006,2,051,361,5.54016620498615
MARIA DA GRACA,2006,0,052,70,0.0
DEL CASTILHO,2006,0,053,264,0.0
INHAUMA,2006,8,054,861,9.291521486643438
ENGENHO DA RAINHA,2006,2,055,288,6.944444444444444
TOMAS COELHO,2006,2,056,282,7.092198581560283
SAO FRANCISCO XAVIER,2006,1,057,61,16.393442622950822
ROCHA,2006,0,058,98,0.0
RIACHUELO,2006,0,059,141,0.0
SAMPAIO,2006,2,060,126,15.873015873015872
ENGENHO NOVO,2006,4,061,589,6.791171477079796
LINS DE VASCONCELOS,2006,2,062,431,4.640371229698376
MEIER,2006,3,063,616,4.87012987012987
TODOS OS SANTOS,2006,1,064,140,7.142857142857142
CACHAMBI,2006,3,065,409,7.334963325183374
ENGENHO DE DENTRO,2006,3,066,551,5.44464609800363
AGUA SANTA,2006,0,067,88,0.0
ENCANTADO,2006,1,068,132,7.575757575757576
PIEDADE,2006,4,069,585,6.837606837606837
ABOLICAO,2006,4,070,169,23.668639053254438
PILARES,2006,0,071,353,0.0
VILA KOSMOS,2006,0,072,109,0.0
VICENTE DE CARVALHO,2006,2,073,359,5.571030640668524
VILA DA PENHA,2006,4,074,527,7.590132827324478
VISTA ALEGRE,2006,0,075,219,0.0
IRAJA,2006,6,076,1217,4.930156121610517
COLEGIO,2006,3,077,396,7.575757575757576
CAMPINHO,2006,3,078,205,14.634146341463415
QUINTINO BOCAIUVA,2006,3,079,336,8.928571428571429
CAVALCANTE,2006,1,080,237,4.219409282700422
ENGENHEIRO LEAL,2006,0,081,42,0.0
CASCADURA,2006,2,082,414,4.830917874396135
MADUREIRA,2006,9,083,901,9.988901220865706
VAZ LOBO,2006,6,084,271,22.14022140221402
TURIACU,2006,0,085,161,0.0
ROCHA MIRANDA,2006,2,086,595,3.361344537815126
HONORIO GURGEL,2006,2,087,331,6.042296072507553
OSWALDO CRUZ,2006,4,088,335,11.940298507462687
BENTO RIBEIRO,2006,4,089,558,7.168458781362007
MARECHAL HERMES,2006,0,090,521,0.0
RIBEIRA,2006,0,091,41,0.0
CACUIA,2006,1,093,138,7.246376811594203
PITANGUEIRAS,2006,0,094,81,0.0
PRAIA DA BANDEIRA,2006,0,095,61,0.0
COCOTA,2006,1,096,93,10.752688172043012
BANCARIOS,2006,1,097,191,5.235602094240838
FREGUESIA-ILHA,2006,2,098,461,4.3383947939262475
JARDIM GUANABARA,2006,0,099,275,0.0
JARDIM CARIOCA,2006,2,100,303,6.600660066006601
TAUA,2006,1,101,254,3.937007874015748
MONERO,2006,0,102,35,0.0
PORTUGUESA,2006,0,103,181,0.0
GALEAO,2006,0,104,275,0.0
CIDADE UNIVERSITARIA,2006,0,105,11,0.0
GUADALUPE,2006,4,106,714,5.602240896358543
ANCHIETA,2006,3,107,1072,2.798507462686567
PARQUE ANCHIETA,2006,2,108,179,11.1731843575419
RICARDO ALBUQUERQUE,2006,3,109,349,8.595988538681949
COELHO NETO,2006,1,110,388,2.577319587628866
ACARI,2006,4,111,421,9.501187648456057
BARROS FILHO,2006,1,112,213,4.694835680751174
COSTA BARROS,2006,1,113,755,1.3245033112582782
PAVUNA,2006,12,114,1116,10.752688172043012
JACAREPAGUA,2006,20,115,2126,9.40733772342427
ANIL,2006,2,116,432,4.62962962962963
GARDENIA AZUL,2006,2,117,364,5.4945054945054945
CIDADE DE DEUS,2006,2,118,662,3.0211480362537766
CURICICA,2006,1,119,819,1.221001221001221
FREGUESIA-JPA,2006,3,120,656,4.573170731707317
PECHINCHA,2006,2,121,411,4.866180048661801
TAQUARA,2006,11,122,1489,7.387508394895903
TANQUE,2006,3,123,369,8.130081300813009
PRACA SECA,2006,3,124,681,4.405286343612335
VILA VALQUEIRE,2006,1,125,424,2.3584905660377355
JOA,2006,0,126,9,0.0
ITANHANGA,2006,0,127,350,0.0
BARRA DA TIJUCA,2006,4,128,1374,2.911208151382824
CAMORIM,2006,0,129,64,0.0
VARGEM PEQUENA,2006,1,130,222,4.504504504504505
VARGEM GRANDE,2006,1,131,239,4.184100418410042
RECREIO BANDEIRANTES,2006,6,132,895,6.70391061452514
DEODORO,2006,2,134,190,10.526315789473683
VILA MILITAR,2006,0,135,37,0.0
CAMPO DOS AFONSOS,2006,0,136,6,0.0
JARDIM SULACAP,2006,4,137,222,18.01801801801802
MAGALHAES BASTOS,2006,3,138,406,7.389162561576354
REALENGO,2006,25,139,2306,10.841283607979184
PADRE MIGUEL,2006,12,140,1055,11.374407582938389
BANGU,2006,33,141,3290,10.030395136778116
SENADOR CAMARA,2006,13,142,1170,11.11111111111111
SANTISSIMO,2006,7,143,813,8.610086100861007
CAMPO GRANDE,2006,47,144,5640,8.333333333333334
SENADOR VASCONCELOS,2006,0,145,218,0.0
INHOAIBA,2006,2,146,599,3.33889816360601
COSMOS,2006,6,147,678,8.849557522123893
PACIENCIA,2006,13,148,1215,10.699588477366255
SANTA CRUZ,2006,14,149,3433,4.07806583163414
SEPETIBA,2006,4,150,818,4.88997555012225
GUARATIBA,2006,5,151,946,5.2854122621564485
BARRA DE GUARATIBA,2006,1,152,68,14.705882352941176
PEDRA DE GUARATIBA,2006,5,153,662,7.552870090634442
ROCINHA,2006,9,154,1196,7.525083612040134
JACAREZINHO,2006,3,155,246,12.195121951219512
COMPLEXO DO ALEMAO,2006,3,156,162,18.51851851851852
COMPLEXO DA MARE,2006,3,157,1795,1.671309192200557
PARQUE COLUMBIA,2006,0,158,0,
VASCO DA GAMA,2006,0,159,0,
GERICINo,2006,0,160,0,
LAPA,2006,0,161,0,
VILA KENNEDY,2006,0,162,0,
ILHA DE GUARATIBA,2006,0,164,0,
BARRA OLIMPICA,2006,0,165,0,
ILHA DO GOVERNADOR - IGNORADO,2006,1,998,91,10.989010989010989
IGNORADO BAIRRO-MRJ,2006,2,999,633,3.1595576619273302
,2006,179,,10563,16.945943387295276
SAUDE,2007,1,001,133,7.518796992481203
GAMBOA,2007,1,002,99,10.101010101010102
SANTO CRISTO,2007,1,003,217,4.608294930875576
CAJU,2007,5,004,380,13.157894736842104
CENTRO,2007,3,005,487,6.160164271047228
CATUMBI,2007,1,006,216,4.62962962962963
RIO COMPRIDO,2007,3,007,601,4.9916805324459235
CIDADE NOVA,2007,1,008,78,12.82051282051282
ESTACIO,2007,0,009,282,0.0
SAO CRISTOVAO,2007,5,010,718,6.963788300835654
MANGUEIRA,2007,1,011,290,3.4482758620689653
BENFICA,2007,3,012,651,4.608294930875576
PAQUETA,2007,2,013,31,64.51612903225806
SANTA TERESA,2007,5,014,455,10.989010989010989
FLAMENGO,2007,1,015,436,2.293577981651376
GLORIA,2007,2,016,168,11.904761904761903
LARANJEIRAS,2007,2,017,375,5.333333333333333
CATETE,2007,0,018,190,0.0
COSME VELHO,2007,0,019,91,0.0
BOTAFOGO,2007,2,020,769,2.6007802340702213
HUMAITA,2007,0,021,141,0.0
URCA,2007,0,022,63,0.0
LEME,2007,0,023,128,0.0
COPACABANA,2007,3,024,1143,2.6246719160104988
IPANEMA,2007,1,025,300,3.3333333333333335
LEBLON,2007,1,026,358,2.793296089385475
LAGOA,2007,2,027,151,13.245033112582782
JARDIM BOTANICO,2007,0,028,181,0.0
GAVEA,2007,1,029,252,3.968253968253968
VIDIGAL,2007,2,030,242,8.264462809917356
SAO CONRADO,2007,1,031,100,10.0
PRACA DA BANDEIRA,2007,0,032,107,0.0
TIJUCA,2007,9,033,1618,5.562422744128554
ALTO DA BOA VISTA,2007,1,034,121,8.264462809917356
MARACANA,2007,2,035,208,9.615384615384617
VILA ISABEL,2007,6,036,757,7.926023778071334
ANDARAI,2007,2,037,345,5.797101449275362
GRAJAU,2007,3,038,416,7.211538461538462
MANGUINHOS,2007,4,039,506,7.905138339920948
BONSUCESSO,2007,13,040,960,13.541666666666668
RAMOS,2007,7,041,1109,6.311992786293959
OLARIA,2007,1,042,647,1.5455950540958268
PENHA,2007,6,043,1154,5.199306759098787
PENHA CIRCULAR,2007,0,044,361,0.0
BRAS DE PINA,2007,3,045,601,4.9916805324459235
CORDOVIL,2007,4,046,602,6.644518272425249
PARADA DE LUCAS,2007,1,047,298,3.3557046979865772
VIGARIO GERAL,2007,5,048,458,10.91703056768559
JARDIM AMERICA,2007,4,049,495,8.080808080808081
HIGIENOPOLIS,2007,0,050,166,0.0
JACARE,2007,1,051,346,2.890173410404624
MARIA DA GRACA,2007,0,052,85,0.0
DEL CASTILHO,2007,0,053,298,0.0
INHAUMA,2007,8,054,984,8.130081300813009
ENGENHO DA RAINHA,2007,0,055,274,0.0
TOMAS COELHO,2007,2,056,266,7.518796992481203
SAO FRANCISCO XAVIER,2007,0,057,59,0.0
ROCHA,2007,0,058,92,0.0
RIACHUELO,2007,1,059,120,8.333333333333334
SAMPAIO,2007,0,060,158,0.0
ENGENHO NOVO,2007,1,061,643,1.5552099533437014
LINS DE VASCONCELOS,2007,5,062,523,9.560229445506693
MEIER,2007,4,063,606,6.600660066006601
TODOS OS SANTOS,2007,0,064,149,0.0
CACHAMBI,2007,7,065,399,17.543859649122805
ENGENHO DE DENTRO,2007,2,066,561,3.5650623885918002
AGUA SANTA,2007,0,067,101,0.0
ENCANTADO,2007,2,068,159,12.578616352201259
PIEDADE,2007,1,069,494,2.0242914979757085
ABOLICAO,2007,2,070,153,13.071895424836601
PILARES,2007,4,071,368,10.869565217391305
VILA KOSMOS,2007,2,072,103,19.41747572815534
VICENTE DE CARVALHO,2007,1,073,340,2.941176470588235
VILA DA PENHA,2007,1,074,541,1.8484288354898337
VISTA ALEGRE,2007,4,075,191,20.942408376963353
IRAJA,2007,16,076,1194,13.40033500837521
COLEGIO,2007,1,077,429,2.331002331002331
CAMPINHO,2007,2,078,196,10.204081632653061
QUINTINO BOCAIUVA,2007,1,079,303,3.3003300330033003
