ano,obitos precoces,nascidos vivos,taxa_mortalidade_precoce
2006,728,92584,7.8631296984360155
2007,676,91743,7.368409578932453
2008,661,92144,7.173554436534121
2009,723,94538,7.647718377795172
2010,687,91774,7.485780286355613
2011,635,85682,7.411124857029481
2012,646,85994,7.512152010605391
2013,648,87389,7.4151208962226365
2014,622,89731,6.931829579521013
2015,640,90272,7.089684509039348
2016,638,82826,7.70289522613672
2017,576,84323,6.830876510560582
2018,554,82462,6.71824597996653
2019,533,76459,6.971056383159602
2020,522,72393,7.210641912892131
2021,476,68384,6.960692559663079
2022,449,72460,6.196522219155397
2023,419,70503,5.943009517325503
2024,389,64245,6.054945910187564
2025,420,65470,6.415151978005193
