bairro,ano,obitos_tardios,codigo,nascidos vivos,taxa_obitos_tardios
SAUDE,2006,1,001,131,7.633587786259541
GAMBOA,2006,0,002,92,0.0
SANTO CRISTO,2006,0,003,209,0.0
CAJU,2006,1,004,354,2.824858757062147
CENTRO,2006,2,005,532,3.7593984962406015
CATUMBI,2006,1,006,270,3.7037037037037037
RIO COMPRIDO,2006,0,007,621,0.0
CIDADE NOVA,2006,0,008,57,0.0
ESTACIO,2006,1,009,264,3.787878787878788
SAO CRISTOVAO,2006,3,010,768,3.90625
MANGUEIRA,2006,0,011,299,0.0
BENFICA,2006,1,012,610,1.639344262295082
PAQUETA,2006,0,013,32,0.0
SANTA TERESA,2006,0,014,449,0.0
FLAMENGO,2006,0,015,405,0.0
GLORIA,2006,0,016,158,0.0
LARANJEIRAS,2006,1,017,428,2.336448598130841
CATETE,2006,0,018,214,0.0
COSME VELHO,2006,0,019,96,0.0
BOTAFOGO,2006,0,020,758,0.0
HUMAITA,2006,0,021,106,0.0
URCA,2006,0,022,73,0.0
LEME,2006,0,023,143,0.0
COPACABANA,2006,0,024,1167,0.0
IPANEMA,2006,0,025,312,0.0
LEBLON,2006,0,026,368,0.0
LAGOA,2006,0,027,196,0.0
JARDIM BOTANICO,2006,0,028,186,0.0
GAVEA,2006,1,029,258,3.875968992248062
VIDIGAL,2006,0,030,207,0.0
SAO CONRADO,2006,0,031,114,0.0
PRACA DA BANDEIRA,2006,0,032,88,0.0
TIJUCA,2006,1,033,1626,0.6150061500615006
ALTO DA BOA VISTA,2006,0,034,115,0.0
MARACANA,2006,0,035,202,0.0
VILA ISABEL,2006,2,036,782,2.557544757033248
ANDARAI,2006,1,037,334,2.9940119760479043
GRAJAU,2006,1,038,412,2.4271844660194173
MANGUINHOS,2006,1,039,523,1.9120458891013383
BONSUCESSO,2006,2,040,733,2.728512960436562
RAMOS,2006,2,041,1078,1.8552875695732838
OLARIA,2006,0,042,634,0.0
PENHA,2006,2,043,1206,1.658374792703151
PENHA CIRCULAR,2006,0,044,340,0.0
BRAS DE PINA,2006,0,045,566,0.0
CORDOVIL,2006,0,046,635,0.0
PARADA DE LUCAS,2006,1,047,314,3.1847133757961785
VIGARIO GERAL,2006,0,048,424,0.0
JARDIM AMERICA,2006,4,049,504,7.936507936507936
HIGIENOPOLIS,2006,1,050,191,5.235602094240838
JACARE,2006,0,051,361,0.0
MARIA DA GRACA,2006,0,052,70,0.0
DEL CASTILHO,2006,1,053,264,3.787878787878788
INHAUMA,2006,2,054,861,2.3228803716608595
ENGENHO DA RAINHA,2006,0,055,288,0.0
TOMAS COELHO,2006,1,056,282,3.5460992907801416
SAO FRANCISCO XAVIER,2006,0,057,61,0.0
ROCHA,2006,0,058,98,0.0
RIACHUELO,2006,0,059,141,0.0
SAMPAIO,2006,0,060,126,0.0
ENGENHO NOVO,2006,1,061,589,1.697792869269949
LINS DE VASCONCELOS,2006,1,062,431,2.320185614849188
MEIER,2006,1,063,616,1.6233766233766236
TODOS OS SANTOS,2006,0,064,140,0.0
CACHAMBI,2006,0,065,409,0.0
ENGENHO DE DENTRO,2006,0,066,551,0.0
AGUA SANTA,2006,0,067,88,0.0
ENCANTADO,2006,0,068,132,0.0
PIEDADE,2006,0,069,585,0.0
ABOLICAO,2006,0,070,169,0.0
PILARES,2006,1,071,353,2.8328611898017
VILA KOSMOS,2006,0,072,109,0.0
VICENTE DE CARVALHO,2006,0,073,359,0.0
VILA DA PENHA,2006,0,074,527,0.0
VISTA ALEGRE,2006,1,075,219,4.5662100456621
IRAJA,2006,4,076,1217,3.286770747740345
COLEGIO,2006,3,077,396,7.575757575757576
CAMPINHO,2006,0,078,205,0.0
QUINTINO BOCAIUVA,2006,0,079,336,0.0
CAVALCANTE,2006,0,080,237,0.0
ENGENHEIRO LEAL,2006,0,081,42,0.0
CASCADURA,2006,0,082,414,0.0
MADUREIRA,2006,2,083,901,2.2197558268590454
VAZ LOBO,2006,0,084,271,0.0
TURIACU,2006,0,085,161,0.0
ROCHA MIRANDA,2006,0,086,595,0.0
HONORIO GURGEL,2006,3,087,331,9.06344410876133
OSWALDO CRUZ,2006,1,088,335,2.985074626865672
BENTO RIBEIRO,2006,2,089,558,3.5842293906810037
MARECHAL HERMES,2006,2,090,521,3.838771593090211
CACUIA,2006,0,093,138,0.0
PITANGUEIRAS,2006,0,094,81,0.0
PRAIA DA BANDEIRA,2006,0,095,61,0.0
COCOTA,2006,0,096,93,0.0
BANCARIOS,2006,0,097,191,0.0
FREGUESIA-ILHA,2006,1,098,461,2.1691973969631237
JARDIM GUANABARA,2006,1,099,275,3.6363636363636362
JARDIM CARIOCA,2006,2,100,303,6.600660066006601
TAUA,2006,0,101,254,0.0
MONERO,2006,0,102,35,0.0
PORTUGUESA,2006,2,103,181,11.049723756906078
GALEAO,2006,1,104,275,3.6363636363636362
CIDADE UNIVERSITARIA,2006,0,105,11,0.0
GUADALUPE,2006,4,106,714,5.602240896358543
ANCHIETA,2006,2,107,1072,1.8656716417910448
PARQUE ANCHIETA,2006,1,108,179,5.58659217877095
RICARDO ALBUQUERQUE,2006,0,109,349,0.0
COELHO NETO,2006,1,110,388,2.577319587628866
ACARI,2006,0,111,421,0.0
BARROS FILHO,2006,0,112,213,0.0
COSTA BARROS,2006,0,113,755,0.0
PAVUNA,2006,1,114,1116,0.8960573476702509
JACAREPAGUA,2006,5,115,2126,2.3518344308560675
ANIL,2006,1,116,432,2.314814814814815
GARDENIA AZUL,2006,0,117,364,0.0
CIDADE DE DEUS,2006,1,118,662,1.5105740181268883
CURICICA,2006,4,119,819,4.884004884004884
FREGUESIA-JPA,2006,1,120,656,1.524390243902439
PECHINCHA,2006,0,121,411,0.0
TAQUARA,2006,2,122,1489,1.343183344526528
TANQUE,2006,2,123,369,5.420054200542006
PRACA SECA,2006,1,124,681,1.4684287812041115
VILA VALQUEIRE,2006,1,125,424,2.3584905660377355
ITANHANGA,2006,0,127,350,0.0
BARRA DA TIJUCA,2006,4,128,1374,2.911208151382824
CAMORIM,2006,0,129,64,0.0
VARGEM PEQUENA,2006,0,130,222,0.0
VARGEM GRANDE,2006,1,131,239,4.184100418410042
RECREIO BANDEIRANTES,2006,1,132,895,1.1173184357541899
DEODORO,2006,1,134,190,5.263157894736842
VILA MILITAR,2006,0,135,37,0.0
CAMPO DOS AFONSOS,2006,0,136,6,0.0
JARDIM SULACAP,2006,0,137,222,0.0
MAGALHAES BASTOS,2006,0,138,406,0.0
REALENGO,2006,6,139,2306,2.6019080659150045
PADRE MIGUEL,2006,5,140,1055,4.739336492890995
BANGU,2006,7,141,3290,2.127659574468085
SENADOR CAMARA,2006,2,142,1170,1.7094017094017093
SANTISSIMO,2006,4,143,813,4.920049200492005
CAMPO GRANDE,2006,19,144,5640,3.368794326241135
SENADOR VASCONCELOS,2006,0,145,218,0.0
INHOAIBA,2006,1,146,599,1.669449081803005
COSMOS,2006,3,147,678,4.424778761061947
PACIENCIA,2006,7,148,1215,5.761316872427984
SANTA CRUZ,2006,7,149,3433,2.03903291581707
SEPETIBA,2006,4,150,818,4.88997555012225
GUARATIBA,2006,1,151,946,1.0570824524312896
BARRA DE GUARATIBA,2006,0,152,68,0.0
PEDRA DE GUARATIBA,2006,2,153,662,3.0211480362537766
ROCINHA,2006,6,154,1196,5.016722408026756
JACAREZINHO,2006,0,155,246,0.0
COMPLEXO DO ALEMAO,2006,0,156,162,0.0
COMPLEXO DA MARE,2006,1,157,1795,0.5571030640668524
PARQUE COLUMBIA,2006,0,158,0,
VASCO DA GAMA,2006,0,159,0,
LAPA,2006,0,161,0,
VILA KENNEDY,2006,0,162,0,
BARRA OLIMPICA,2006,0,165,0,
ILHA DO GOVERNADOR - IGNORADO,2006,0,998,91,0.0
IGNORADO BAIRRO-MRJ,2006,0,999,633,0.0
,2006,78,,10563,7.384265833570009
SAUDE,2007,0,001,133,0.0
GAMBOA,2007,0,002,99,0.0
SANTO CRISTO,2007,0,003,217,0.0
CAJU,2007,0,004,380,0.0
CENTRO,2007,1,005,487,2.053388090349076
CATUMBI,2007,1,006,216,4.62962962962963
RIO COMPRIDO,2007,0,007,601,0.0
CIDADE NOVA,2007,1,008,78,12.82051282051282
ESTACIO,2007,0,009,282,0.0
SAO CRISTOVAO,2007,2,010,718,2.785515320334262
MANGUEIRA,2007,2,011,290,6.896551724137931
BENFICA,2007,2,012,651,3.0721966205837172
PAQUETA,2007,0,013,31,0.0
SANTA TERESA,2007,2,014,455,4.395604395604396
FLAMENGO,2007,1,015,436,2.293577981651376
GLORIA,2007,0,016,168,0.0
LARANJEIRAS,2007,2,017,375,5.333333333333333
CATETE,2007,1,018,190,5.263157894736842
COSME VELHO,2007,0,019,91,0.0
BOTAFOGO,2007,1,020,769,1.3003901170351106
HUMAITA,2007,1,021,141,7.092198581560283
URCA,2007,0,022,63,0.0
LEME,2007,1,023,128,7.8125
COPACABANA,2007,0,024,1143,0.0
IPANEMA,2007,0,025,300,0.0
LEBLON,2007,1,026,358,2.793296089385475
LAGOA,2007,0,027,151,0.0
JARDIM BOTANICO,2007,0,028,181,0.0
GAVEA,2007,2,029,252,7.936507936507936
VIDIGAL,2007,0,030,242,0.0
SAO CONRADO,2007,0,031,100,0.0
PRACA DA BANDEIRA,2007,0,032,107,0.0
TIJUCA,2007,3,033,1618,1.854140914709518
ALTO DA BOA VISTA,2007,1,034,121,8.264462809917356
MARACANA,2007,0,035,208,0.0
VILA ISABEL,2007,6,036,757,7.926023778071334
ANDARAI,2007,0,037,345,0.0
GRAJAU,2007,1,038,416,2.403846153846154
MANGUINHOS,2007,1,039,506,1.976284584980237
BONSUCESSO,2007,2,040,960,2.0833333333333335
RAMOS,2007,4,041,1109,3.6068530207394045
OLARIA,2007,3,042,647,4.63678516228748
PENHA,2007,0,043,1154,0.0
PENHA CIRCULAR,2007,0,044,361,0.0
BRAS DE PINA,2007,1,045,601,1.663893510815308
CORDOVIL,2007,1,046,602,1.6611295681063123
PARADA DE LUCAS,2007,4,047,298,13.422818791946309
VIGARIO GERAL,2007,0,048,458,0.0
JARDIM AMERICA,2007,1,049,495,2.0202020202020203
HIGIENOPOLIS,2007,0,050,166,0.0
JACARE,2007,0,051,346,0.0
MARIA DA GRACA,2007,0,052,85,0.0
DEL CASTILHO,2007,0,053,298,0.0
INHAUMA,2007,2,054,984,2.032520325203252
ENGENHO DA RAINHA,2007,0,055,274,0.0
TOMAS COELHO,2007,0,056,266,0.0
SAO FRANCISCO XAVIER,2007,0,057,59,0.0
ROCHA,2007,0,058,92,0.0
RIACHUELO,2007,0,059,120,0.0
SAMPAIO,2007,0,060,158,0.0
ENGENHO NOVO,2007,0,061,643,0.0
LINS DE VASCONCELOS,2007,3,062,523,5.736137667304016
MEIER,2007,0,063,606,0.0
TODOS OS SANTOS,2007,0,064,149,0.0
CACHAMBI,2007,1,065,399,2.506265664160401
ENGENHO DE DENTRO,2007,3,066,561,5.347593582887701
AGUA SANTA,2007,0,067,101,0.0
ENCANTADO,2007,0,068,159,0.0
PIEDADE,2007,2,069,494,4.048582995951417
ABOLICAO,2007,1,070,153,6.5359477124183005
PILARES,2007,0,071,368,0.0
VILA KOSMOS,2007,0,072,103,0.0
VICENTE DE CARVALHO,2007,1,073,340,2.941176470588235
VILA DA PENHA,2007,1,074,541,1.8484288354898337
VISTA ALEGRE,2007,0,075,191,0.0
IRAJA,2007,0,076,1194,0.0
COLEGIO,2007,1,077,429,2.331002331002331
CAMPINHO,2007,1,078,196,5.1020408163265305
QUINTINO BOCAIUVA,2007,0,079,303,0.0
CAVALCANTE,2007,1,080,200,5.0
ENGENHEIRO LEAL,2007,0,081,37,0.0
CASCADURA,2007,3,082,417,7.194244604316547
MADUREIRA,2007,0,083,808,0.0
VAZ LOBO,2007,0,084,266,0.0
TURIACU,2007,1,085,161,6.211180124223602
ROCHA MIRANDA,2007,0,086,589,0.0
HONORIO GURGEL,2007,0,087,318,0.0
OSWALDO CRUZ,2007,3,088,374,8.02139037433155
BENTO RIBEIRO,2007,1,089,554,1.8050541516245489
MARECHAL HERMES,2007,0,090,577,0.0
CACUIA,2007,1,093,149,6.7114093959731544
PITANGUEIRAS,2007,1,094,122,8.196721311475411
PRAIA DA BANDEIRA,2007,0,095,51,0.0
COCOTA,2007,0,096,91,0.0
