ano,obitos_tardios,nascidos vivos,taxa_obitos_tardios
2006,250,92534,2.7017096418613695
2007,228,91702,2.4863143660988856
2008,292,92107,3.1702259328824085
2009,256,94496,2.7091093802912294
2010,237,91729,2.583697631065421
2011,230,85642,2.685598187805049
2012,287,85948,3.339228370642714
2013,263,87347,3.010979197911777
2014,254,89686,2.832103115313427
2015,270,90225,2.9925187032418954
2016,219,82791,2.6452150596079282
2017,232,84271,2.753022985368632
2018,251,82428,3.0450817683311495
2019,233,76426,3.048700703948918
2020,250,72357,3.455090730682588
2021,231,68340,3.3801580333625987
2022,166,72431,2.291836368405793
2023,203,70451,2.881435323842103
2024,177,64138,2.759674451962955
2025,170,65344,2.6016160626836435
