,ano,nascidos abaixo peso,percentual abaixo do peso
0,2006,9306,10.046312789454934
1,2007,9285,10.117244535489354
2,2008,9280,10.064530123095276
3,2009,9639,10.190510424155285
4,2010,9192,10.011981265657335
5,2011,7950,9.273840769903762
6,2012,8094,9.409330279815393
7,2013,8017,9.170355627237683
8,2014,8253,9.19451871657754
9,2015,8393,9.29426486384727
10,2016,7684,9.274144881357568
11,2017,7716,9.148792373634972
12,2018,7646,9.269676543329615
13,2019,7155,9.35575401754776
14,2020,6842,9.448449194907061
15,2021,6509,9.51441267613869
16,2022,7588,10.467939521024169
17,2023,7498,10.631690889755406
18,2024,6533,10.163031641828194
19,2025,6723,10.263025325537729
